--- ABOUT ---
"JSW Steel is primarily engaged in the business of manufacture and sale of Iron and Steel Products. [1] It is the flagship business of the diversified, US$ 23 billion JSW Group.The Group has interests in energy, infrastructure, cement, paints, sports, and venture capital. [2]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"3,14,901","1,288","1,328 / 984",34.6

Book Value,Dividend Yield,ROCE,ROE
409,0.55,10.9,10.1

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"46,962","42,213","44,584","41,940","46,269","42,943","39,684","41,378","44,819","43,147","45,152","45,991","51,180"
Expenses +,"39,031","35,201","36,722","34,776","40,243","37,445","34,309","35,799","38,684","35,671","38,125","39,612","42,716"
Operating Profit,"7,931","7,012","7,862","7,164","6,026","5,498","5,375","5,579","6,135","7,476","7,027","6,379","8,464"
OPM %,17%,17%,18%,17%,13%,13%,14%,13%,14%,17%,16%,14%,17%
Other Income +,465,331,826,194,242,164,-189,50,186,350,284,-256,"18,229"
Interest,"2,138","1,963","2,084","1,996","2,062","2,073","2,130","2,115","2,094","2,217","2,413","2,304","2,168"
Depreciation,"2,009","1,900","2,019","2,059","2,194","2,209","2,267","2,336","2,497","2,537","2,554","2,362","2,148"
Profit before tax,"4,249","3,480","4,585","3,303","2,012","1,380",789,"1,178","1,730","3,072","2,344","1,457","22,377"
Tax %,12%,30%,40%,26%,34%,37%,49%,39%,13%,28%,30%,-65%,14%
Net Profit +,"3,741","2,428","2,773","2,450","1,322",867,404,719,"1,501","2,209","1,646","2,410","19,243"
EPS in Rs,15.16,9.67,11.29,9.88,5.31,3.46,1.80,2.93,6.15,8.93,6.64,8.75,66.94
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"52,972","41,546","55,604","71,933","84,757","73,326","79,839","146,371","165,960","175,006","168,824","185,470"
Expenses +,"43,608","35,124","43,296","57,017","65,827","61,513","59,661","107,257","147,490","146,849","146,099","156,124"
Operating Profit,"9,364","6,422","12,308","14,916","18,930","11,813","20,178","39,114","18,470","28,157","22,725","29,346"
OPM %,18%,15%,22%,21%,22%,16%,25%,27%,11%,16%,13%,16%
Other Income +,103,"-1,966",18,-177,196,-289,473,"1,600","1,561","1,500",73,"18,607"
Interest,"3,493","3,601","3,768","3,701","3,917","4,265","3,957","4,968","6,902","8,105","8,412","9,102"
Depreciation,"3,434","3,323","3,430","3,387","4,041","4,246","4,679","6,001","7,474","8,172","9,309","9,601"
Profit before tax,"2,539","-2,468","5,128","7,651","11,168","3,013","12,015","29,745","5,655","13,380","5,077","29,250"
Tax %,32%,-80%,33%,20%,33%,-30%,34%,30%,27%,33%,31%,13%
Net Profit +,"1,722",-481,"3,467","6,113","7,524","3,919","7,873","20,938","4,139","8,973","3,491","25,508"
EPS in Rs,7.43,-1.39,14.57,25.71,31.60,16.67,32.73,85.49,17.14,36.03,14.33,91.26
Dividend Payout %,19%,-67%,19%,16%,16%,15%,25%,25%,25%,25%,24%,10%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,303,301,301,302,301,301,302,301,301,305,305,305
Reserves,"21,987","18,665","22,346","27,696","34,494","36,298","45,308","66,996","65,394","77,364","79,191","99,748"
Borrowings +,"38,754","42,204","43,334","39,393","47,396","61,423","66,727","72,237","80,853","87,984","98,752","99,310"
