--- ABOUT ---
"Incorporated in 2006, DOMS Industries Limited is a stationery and art product company primarily engaged in designing, developing, manufacturing, and selling a wide range of these products under the flagship brand, DOMS. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"13,801","2,274","2,770",60.0

Book Value,Dividend Yield,ROCE,ROE
201,0.14,24.3,20.7

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,336,379,382,372,404,445,458,501,509,562,568,592,604
Expenses +,275,317,317,302,328,359,372,413,420,464,468,489,503
Operating Profit,62,62,65,69,76,86,86,88,88,99,100,103,101
OPM %,18%,16%,17%,19%,19%,19%,19%,18%,17%,18%,18%,17%,17%
Other Income +,1,1,1,2,6,6,6,6,5,4,6,4,4
Interest,3,4,4,5,4,4,4,4,4,3,2,2,3
Depreciation,11,11,12,14,14,15,16,18,21,20,22,22,23
Profit before tax,49,49,50,52,63,73,72,73,69,79,82,82,79
Tax %,26%,25%,25%,26%,25%,26%,26%,26%,25%,26%,26%,25%,26%
Net Profit +,36,36,38,39,47,54,54,54,51,59,61,61,58
EPS in Rs,912.21,929.13,6.40,6.15,7.44,8.54,8.46,8.36,7.98,9.44,9.60,9.54,9.35
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,654,403,684,"1,212","1,537","1,913","2,326"
Expenses +,578,373,614,"1,025","1,264","1,564","1,924"
Operating Profit,76,30,70,187,273,349,403
OPM %,12%,7%,10%,15%,18%,18%,17%
Other Income +,1,6,3,5,10,22,19
Interest,4,9,10,12,17,15,11
Depreciation,25,35,38,41,51,69,88
Profit before tax,48,-8,24,139,214,287,322
Tax %,21%,-21%,29%,26%,26%,26%,26%
Net Profit +,38,-6,17,103,160,214,240
EPS in Rs,967.52,-242.15,385.50,"2,572.08",25.23,33.34,37.93
Dividend Payout %,0%,0%,39%,10%,10%,9%,10%

--- BALANCE SHEET ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,0.37,0.37,0.37,0.37,61,61,61
Reserves,240,233,247,337,754,942,"1,159"
Borrowings +,58,134,123,140,172,212,141
Other Liabilities +,101,90,127,163,204,297,351
Total Liabilities,400,458,497,640,"1,190","1,511","1,712"
Fixed Assets +,196,229,227,320,498,690,793
CWIP,1,3,4,7,25,60,162
Investments,0,0,0,2,1,1,2
Other Assets +,203,226,267,311,665,759,756
Total Assets,400,458,497,640,"1,190","1,511","1,712"

--- CASH FLOW ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,37,15,51,173,183,183,254
Cash from Investing Activity +,-55,-19,-34,-136,-458,-140,-149
Cash from Financing Activity +,17,25,-31,-12,297,-40,-113
Net Cash Flow,-1,21,-13,25,22,4,-7
Free Cash Flow,-19,-1,16,38,29,-26,-38
CFO/OP,70%,58%,78%,111%,91%,74%,63%

--- RATIOS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,20,38,26,11,15,26,26
Inventory Days,120,180,134,88,92,99,105
Days Payable,62,85,69,42,37,37,35
Cash Conversion Cycle,78,133,92,57,70,88,96
Working Capital Days,22,-0,16,2,25,39,44
ROCE %,,-1%,9%,34%,31%,26%,24%

--- SHAREHOLDING PATTERN ---
,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,74.95%,74.95%,74.95%,74.95%,70.38%,70.38%,70.38%,70.38%,70.38%,70.38%
FIIs +,6.13%,5.86%,6.55%,7.59%,9.96%,9.90%,9.08%,8.50%,8.38%,7.62%
DIIs +,15.14%,16.63%,15.11%,14.10%,15.71%,15.82%,16.24%,17.71%,18.28%,19.14%
Public +,3.77%,2.55%,3.38%,3.36%,3.95%,3.90%,4.29%,3.39%,2.96%,2.86%
No. of Shareholders,"51,954","34,841","37,585","49,974","61,888","61,774","69,946","65,567","57,647","57,685"

--- CAGR BOXES ---




