--- ABOUT ---
"Founded in 2009, Northern Arc Capital Limited offers retail loans to underserved households and businesses in India. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"4,768",295,322,11.7

Book Value,Dividend Yield,ROCE,ROE
241,0.00,9.71,11.1

Face Value
10.0

--- QUARTERLY RESULTS ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue +,401,437,492,564,578,585,576,603,605,627,721,742
Interest,164,174,184,204,209,205,214,200,216,208,231,239
Expenses +,126,154,200,242,246,244,267,367,283,295,354,326
Financing Profit,111,108,108,118,123,136,95,36,106,125,136,177
Financing Margin %,28%,25%,22%,21%,21%,23%,17%,6%,18%,20%,19%,24%
Other Income +,4,3,5,1,5,1,5,4,2,1,4,3
Depreciation,3,4,5,5,4,3,6,5,4,5,5,5
Profit before tax,112,107,108,114,123,134,94,35,104,121,135,176
Tax %,19%,26%,24%,25%,24%,28%,22%,-10%,25%,25%,24%,24%
Net Profit +,91,79,82,86,94,96,73,38,78,91,102,133
EPS in Rs,9.85,8.59,8.45,9.94,10.45,6.05,4.69,2.34,5.02,5.68,6.24,8.20
Gross NPA %,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2017,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue +,370,602,634,682,911,"1,306","1,891","2,344","2,690"
Interest,176,303,310,324,411,559,730,832,895
Expenses +,96,135,174,255,247,419,739,"1,120","1,251"
Financing Profit,98,164,151,103,252,329,422,392,544
Financing Margin %,26%,27%,24%,15%,28%,25%,22%,17%,20%
Other Income +,0,16,0,3,6,5,15,11,10
Depreciation,1,5,7,7,10,12,17,18,19
Profit before tax,97,175,144,100,248,321,420,386,536
Tax %,34%,34%,29%,23%,27%,25%,24%,22%,25%
Net Profit +,64,115,103,77,182,242,318,301,404
EPS in Rs,8.14,12.65,10.61,7.68,19.40,25.83,34.49,18.87,25.13
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2017,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,78,78,87,88,89,89,89,161,162
Reserves,397,"1,014","1,336","1,412","1,568","1,784","2,142","3,273","3,734"
Borrowing,"2,363","3,001","3,004","4,015","6,066","7,117","9,130","9,860","12,258"
Other Liabilities +,106,186,170,182,251,381,345,344,591
Total Liabilities,"2,945","4,279","4,597","5,696","7,973","9,371","11,707","13,638","16,745"
Fixed Assets +,5,5,25,22,24,51,57,76,81
CWIP,0,3,1,1,0,1,2,6,0
Investments,"1,150","1,193","1,171","1,383","1,766","1,790","1,785","2,052","2,943"
Other Assets +,"1,789","3,077","3,400","4,291","6,183","7,529","9,863","11,504","13,720"
Total Assets,"2,945","4,279","4,597","5,696","7,973","9,371","11,707","13,638","16,745"

--- CASH FLOW ---
,Mar 2017,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,,-336,-54,-711,"-1,326","-1,296","-2,134","-1,047","-1,541"
Cash from Investing Activity +,,-36,-26,-201,-386,-115,36,-388,-851
Cash from Financing Activity +,,375,223,977,"2,028",928,"2,045","1,586","2,292"
Net Cash Flow,,4,142,65,317,-483,-53,151,-100
Free Cash Flow,,-343,-65,-715,"-1,338","-1,285","-2,148","-1,065","-1,556"
CFO/OP,,-59%,1%,-158%,-191%,-136%,-177%,-77%,-96%

--- RATIOS ---
,Mar 2017,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
ROE %,13%,9%,7%,5%,11%,13%,15%,11%,11%

--- SHAREHOLDING PATTERN ---
,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
FIIs +,4.68%,4.28%,5.23%,9.16%,7.58%,7.70%,7.51%
DIIs +,23.36%,23.13%,22.52%,6.89%,7.44%,8.29%,7.11%
Public +,71.91%,72.54%,72.20%,83.97%,84.95%,84.00%,85.37%
Others +,0.06%,0.06%,0.06%,0.00%,0.01%,0.01%,0.01%
No. of Shareholders,"1,24,981","1,15,060","1,10,098","1,11,037","1,04,045","1,01,790","96,297"

--- CAGR BOXES ---




