--- ABOUT ---
"NTPC (National Thermal Power Corporation) Ltd along with its subsidiaries/ associates & JVs is primarily involved in generation and sale of bulk power to State power utilities. Other business of the group includes providing consultancy, project management & supervision, energy trading, oil & gas exploration and coal mining. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"3,54,704",366,414,13.1

Book Value,Dividend Yield,ROCE,ROE
210,2.28,8.33,14.0

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"44,253","43,075","44,983","42,820","47,628","48,529","44,706","45,069","49,834","47,065","44,786","45,846","49,688"
Expenses +,"32,311","30,664","32,303","31,458","33,638","35,091","33,041","31,729","35,080","34,485","31,970","31,276","41,181"
Operating Profit,"11,942","12,411","12,680","11,362","13,990","13,438","11,665","13,341","14,754","12,580","12,816","14,570","8,507"
OPM %,27%,29%,28%,27%,29%,28%,26%,30%,30%,27%,29%,32%,17%
Other Income +,"1,084",994,"1,024","2,532","1,400","1,187","3,218",986,"4,180","3,240","2,734","1,738","1,917"
Interest,"2,860","2,922","2,921","3,250","2,955","3,136","3,621","2,764","3,648","3,468","3,432","3,164","3,737"
Depreciation,"3,848","3,821","4,038","4,074","4,271","4,204","4,216","4,318","4,663","4,587","4,816","5,093","5,134"
Profit before tax,"6,318","6,661","6,746","6,571","8,164","7,284","7,046","7,245","10,623","7,765","7,301","8,050","1,553"
Tax %,23%,26%,30%,21%,20%,24%,24%,29%,26%,21%,28%,30%,-584%
Net Profit +,"4,872","4,907","4,726","5,209","6,490","5,506","5,380","5,170","7,897","6,108","5,225","5,597","10,615"
EPS in Rs,5.01,5.03,4.76,5.32,6.36,5.65,5.44,5.22,7.85,6.20,5.23,5.66,10.81
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"79,957","73,396","82,042","88,083","100,287","109,464","111,531","132,669","176,207","178,525","188,138","187,385"
Expenses +,"62,605","54,829","60,445","65,598","77,576","77,878","77,487","92,307","128,611","127,056","133,783","134,563"
Operating Profit,"17,352","18,568","21,598","22,485","22,710","31,586","34,044","40,362","47,596","51,469","54,355","52,822"
OPM %,22%,25%,26%,26%,23%,29%,31%,30%,27%,29%,29%,28%
Other Income +,"2,338","1,188","1,592","5,576","2,818","8,209","5,021","4,809","2,561","5,177","8,526","5,278"
Interest,"3,669","3,366","3,753","4,447","5,605","8,189","9,224","9,376","11,447","12,301","13,282","13,801"
Depreciation,"5,565","5,771","6,010","7,460","8,669","10,356","12,450","13,788","14,792","16,204","17,401","19,629"
Profit before tax,"10,456","10,618","13,426","16,154","11,255","21,250","17,390","22,007","23,917","28,142","32,198","24,669"
Tax %,4%,-2%,20%,35%,-25%,44%,14%,23%,28%,24%,26%,-12%
Net Profit +,"9,992","10,781","10,714","10,502","14,034","11,902","14,969","16,960","17,121","21,332","23,953","27,546"
EPS in Rs,10.09,10.92,10.83,10.66,13.88,11.72,15.09,17.20,17.44,21.46,24.16,27.90
Dividend Payout %,21%,26%,37%,40%,44%,27%,41%,41%,42%,36%,35%,32%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,"8,245","8,245","8,245","8,245","9,895","9,895","9,697","9,697","9,697","9,697","9,697","9,697"
Reserves,"73,849","83,330","89,593","95,318","101,462","108,945","116,042","125,677","137,326","151,013","174,374","193,479"
Borrowings +,"102,252","99,424","113,773","130,049","173,058","200,630","210,208","210,707","222,913","237,131","250,096","271,005"
Other Liabilities +,"35,366","33,666","36,990","48,880","62,509","58,202","62,075","69,751","77,253","81,437","89,330","84,463"
Total Liabilities,"219,712","224,665","248,601","282,492","346,923","377,671","398,022","415,831","447,189","479,278","523,497","558,644"
Fixed Assets +,"91,853","92,929","104,532","128,245","150,985","187,803","203,245","224,923","240,424","258,934","271,437","318,821"
CWIP,"67,555","75,046","86,896","83,386","118,397","98,508","97,506","91,126","89,179","87,664","100,859","84,833"
Investments,"1,902","6,473","7,614","8,876","8,132","9,307","10,589","10,626","13,935","15,885","19,704","24,180"
Other Assets +,"58,403","50,217","49,560","61,985","69,409","82,053","86,681","89,156","103,651","116,795","131,498","130,810"
Total Assets,"219,712","224,665","248,601","282,492","346,923","377,671","398,022","415,831","447,189","479,278","523,497","558,644"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,"14,889","24,125","20,167","19,670","18,686","24,583","32,444","41,788","47,152","40,099","50,436","50,902"
Cash from Investing Activity +,"-15,977","-19,162","-24,480","-20,678","-24,063","-30,322","-21,034","-22,891","-26,145","-31,456","-45,800","-37,578"
Cash from Financing Activity +,"-1,474","-3,899","3,138","1,028","4,927","6,004","-11,049","-19,172","-21,217","-8,246","-4,073","-11,328"
Net Cash Flow,"-2,563","1,064","-1,176",19,-451,266,360,-274,-210,398,563,"1,995"
Free Cash Flow,"-4,431","3,110","-4,161",912,"-2,842","6,521","9,162","17,457","22,432","9,358","9,431","6,895"
CFO/OP,97%,137%,106%,79%,98%,89%,104%,109%,108%,85%,101%,103%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,42,41,40,37,45,68,92,77,62,68,67,71
Inventory Days,,,,,,,,,,,,
Days Payable,,,,,,,,,,,,
