--- ABOUT ---
"Incorporated in 2005, Vikram Solar Ltd manufactures solar PV modules and also provides EPC and O&M services. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"7,262",200,408,15.3

Book Value,Dividend Yield,ROCE,ROE
87.4,0.00,30.5,21.5

Face Value
10.0

--- QUARTERLY RESULTS ---
,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,631,573,"1,026","1,194","1,134","1,110","1,106","1,453"
Expenses +,519,501,941,970,891,875,901,"1,218"
Operating Profit,111,72,85,224,242,235,205,234
OPM %,18%,13%,8%,19%,21%,21%,19%,16%
Other Income +,6,11,12,8,4,16,15,18
Interest,45,34,28,48,32,32,40,57
Depreciation,37,37,39,42,34,35,37,57
Profit before tax,36,11,30,141,181,184,143,139
Tax %,36%,36%,36%,36%,26%,30%,31%,21%
Net Profit +,23,7,19,91,133,128,98,110
EPS in Rs,0.72,0.23,0.60,2.86,4.21,3.55,2.71,3.05
Raw PDF,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"1,640","1,610","1,730","2,073","2,511","3,423","4,802"
Expenses +,"1,500","1,433","1,672","1,886","2,112","2,931","3,886"
Operating Profit,140,177,59,187,399,492,917
OPM %,9%,11%,3%,9%,16%,14%,19%
Other Income +,22,17,13,18,1,36,53
Interest,95,99,103,122,155,155,161
Depreciation,37,39,48,64,138,156,162
Profit before tax,30,56,-79,19,107,217,647
Tax %,26%,32%,-21%,23%,26%,36%,27%
Net Profit +,22,38,-63,14,80,140,470
EPS in Rs,8.06,16.23,-2.43,0.56,3.08,4.42,12.98
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,28,24,259,259,259,317,362
Reserves,334,391,92,106,187,925,"2,805"
Borrowings +,494,672,749,738,854,272,645
Other Liabilities +,720,712,"1,137","1,373","1,286","1,318","1,916"
Total Liabilities,"1,576","1,798","2,237","2,476","2,585","2,832","5,728"
Fixed Assets +,357,381,547,644,505,554,"1,127"
CWIP,11,67,4,18,28,63,418
Investments,0,0,0,0,0,0,0
Other Assets +,"1,209","1,350","1,687","1,814","2,052","2,215","4,184"
Total Assets,"1,576","1,798","2,237","2,476","2,585","2,832","5,728"

--- CASH FLOW ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,227,13,201,195,152,299,630
Cash from Investing Activity +,-36,-40,-155,-110,-64,-169,"-1,748"
Cash from Financing Activity +,-174,4,-36,-102,-81,-100,"1,115"
Net Cash Flow,16,-23,10,-17,7,30,-4
Free Cash Flow,182,-40,41,82,81,152,-92
CFO/OP,165%,4%,358%,106%,41%,66%,85%

--- RATIOS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,118,167,194,169,172,131,92
Inventory Days,66,58,70,84,86,61,90
Days Payable,144,149,198,101,141,118,171
Cash Conversion Cycle,41,75,66,152,117,74,11
Working Capital Days,8,26,0,62,64,61,37
ROCE %,,16%,2%,13%,23%,26%,31%

--- SHAREHOLDING PATTERN ---
,Sep 2025,Dec 2025,Mar 2026
Promoters +,63.12%,63.01%,63.01%
FIIs +,2.08%,1.82%,2.94%
DIIs +,6.20%,4.71%,4.80%
Public +,28.59%,30.45%,29.25%
No. of Shareholders,"3,06,426","2,87,437","2,85,301"

--- CAGR BOXES ---




