--- ABOUT ---
"Sonata Software Ltd is primarily engaged in the business of providing Information Technology (IT) Services and Solutions to its various customers in the United States of America, Europe, Middle East, Australia and India. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"8,340",297,453 / 207,16.4

Book Value,Dividend Yield,ROCE,ROE
67.9,1.48,30.6,28.2

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"1,914","2,016","1,913","2,493","2,192","2,527","2,170","2,843","2,617","2,965","2,119","3,081","2,536"
Expenses +,"1,762","1,837","1,715","2,286","2,047","2,351","1,993","2,679","2,445","2,806","1,947","2,880","2,328"
Operating Profit,152,178,197,208,144,176,177,164,173,160,173,200,209
OPM %,8%,9%,10%,8%,7%,7%,8%,6%,7%,5%,8%,6%,8%
Other Income +,25,28,23,-155,55,19,19,21,11,24,31,-20,6
Interest,7,21,21,22,22,20,19,16,10,5,14,13,19
Depreciation,19,31,33,34,34,33,33,32,23,26,26,27,25
Profit before tax,150,154,167,-3,144,142,144,137,151,153,164,141,170
Tax %,24%,22%,25%,"1,389%",23%,25%,26%,23%,29%,28%,27%,26%,23%
Net Profit +,114,120,124,-46,110,106,106,105,108,109,120,104,130
EPS in Rs,4.06,4.28,4.43,-1.65,3.94,3.77,3.80,3.74,3.83,3.90,4.29,3.72,4.65
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"1,682","1,940","2,371","2,454","2,961","3,743","4,228","5,553","7,449","8,613","10,157","10,701"
Expenses +,"1,514","1,749","2,191","2,223","2,625","3,370","3,848","5,090","6,845","7,885","9,468","9,960"
Operating Profit,168,192,180,231,336,373,380,464,604,728,690,741
OPM %,10%,10%,8%,9%,11%,10%,9%,8%,8%,8%,7%,7%
Other Income +,23,47,67,47,30,58,28,102,71,-50,71,42
Interest,3,8,9,5,3,15,15,18,19,85,65,51
Depreciation,6,6,11,12,13,37,40,47,59,132,121,104
Profit before tax,182,225,226,260,349,379,352,500,597,461,574,627
Tax %,27%,30%,31%,26%,29%,27%,31%,25%,24%,33%,26%,26%
Net Profit +,133,159,157,192,249,277,244,376,452,308,425,464
EPS in Rs,4.77,5.66,5.57,6.87,8.89,9.88,8.70,13.42,16.12,11.00,15.14,16.56
Dividend Payout %,55%,60%,60%,57%,53%,76%,60%,58%,48%,103%,29%,25%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,11,11,10,10,10,10,10,10,14,28,28,28
Reserves,418,460,580,643,758,659,895,"1,089","1,287","1,379","1,678","1,877"
Borrowings +,24,176,55,34,16,86,185,159,590,765,516,723
