--- ABOUT ---
"Titagarh Rail Systems Ltd (Formerly Titagarh Wagons Limited), incorporated in 1997, is mainly engaged in the manufacturing and selling of Freight Wagons, Passenger Coaches, Metro Trains, Train Electricals, Steel Castings, Specialised Equipments & Bridges, Ships, etc. The company caters to both domestic and export markets. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"12,423",922,971 / 569,77.7

Book Value,Dividend Yield,ROCE,ROE
182,0.11,10.6,6.47

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,974,911,935,955,"1,052",903,"1,057",902,"1,006",679,799,832,875
Expenses +,882,805,821,844,935,806,932,809,987,615,725,741,783
Operating Profit,92,106,115,111,118,97,125,94,18,64,74,91,92
OPM %,9%,12%,12%,12%,11%,11%,12%,10%,2%,9%,9%,11%,11%
Other Income +,7,4,7,14,12,12,10,23,-128,11,14,-0,14
Interest,22,19,20,18,16,13,17,21,22,18,18,18,17
Depreciation,6,7,7,7,7,7,8,6,8,12,12,13,14
Profit before tax,70,84,95,100,108,90,111,89,-140,45,57,60,75
Tax %,31%,27%,25%,25%,27%,26%,27%,29%,-12%,32%,35%,25%,28%
Net Profit +,48,62,71,75,79,67,81,63,-124,31,37,45,54
EPS in Rs,4.03,5.17,5.55,5.56,5.86,4.98,5.99,4.66,-9.09,2.29,2.74,3.35,4.01
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,761,959,"1,714","1,268","1,559","1,766","1,521","1,468","2,780","3,853","3,868","3,186"
Expenses +,721,929,"1,605","1,365","1,550","1,645","1,440","1,303","2,529","3,404","3,459","2,855"
Operating Profit,40,30,108,-97,9,121,81,165,251,449,409,331
OPM %,5%,3%,6%,-8%,1%,7%,5%,11%,9%,12%,11%,10%
Other Income +,-0,20,24,25,25,-60,25,-61,34,38,75,-15
Interest,18,17,31,44,65,88,81,57,81,73,73,71
Depreciation,26,46,52,51,24,29,30,18,22,27,30,51
Profit before tax,-4,-13,50,-167,-56,-57,-6,29,181,386,382,194
Tax %,177%,52%,45%,-12%,-59%,-36%,237%,102%,31%,26%,28%,37%
Net Profit +,-10,-20,27,-147,-23,-36,-19,-1,126,286,275,123
EPS in Rs,-0.33,-1.69,2.33,-12.43,-2.47,-2.96,-1.26,-0.03,10.89,21.25,20.52,9.13
Dividend Payout %,-48%,-47%,34%,-2%,-12%,0%,0%,0%,5%,4%,5%,11%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,20,23,23,23,23,23,24,24,24,27,27,27
Reserves,669,930,944,832,793,743,817,818,940,"2,191","2,456","2,429"
Borrowings +,125,233,372,624,896,730,847,920,353,166,627,623
