--- ABOUT ---
"Incorporated in 1989, Sudeep Pharma Limited is a manufacturer of pharmaceutical excipients, food-grade minerals, and specialty nutrition ingredients serving over 100 countries. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"9,521",843,883,55.1

Book Value,Dividend Yield,ROCE,ROE
78.2,0.00,28.1,25.2

Face Value
1.00

--- QUARTERLY RESULTS ---
,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,149,116,158,125,163,172,182
Expenses +,85,76,99,81,107,112,120
Operating Profit,63,39,59,44,55,60,63
OPM %,43%,34%,37%,35%,34%,35%,34%
Other Income +,2,2,4,5,10,7,6
Interest,1,1,2,2,2,1,2
Depreciation,3,3,3,3,4,4,4
Profit before tax,62,38,58,44,60,62,63
Tax %,21%,24%,24%,29%,21%,23%,23%
Net Profit +,49,29,44,31,47,48,49
EPS in Rs,128.13,2.95,4.54,3.17,4.71,4.20,4.33
Raw PDF,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2024,Mar 2025,Mar 2026
Sales +,123,215,343,459,502,642
Expenses +,98,171,276,277,311,420
Operating Profit,25,44,67,182,191,222
OPM %,21%,20%,20%,40%,38%,35%
Other Income +,3,3,7,6,9,29
Interest,1,1,2,5,7,8
Depreciation,3,4,5,9,11,15
Profit before tax,25,43,69,175,183,228
Tax %,27%,22%,27%,24%,24%,24%
Net Profit +,18,33,50,133,139,174
EPS in Rs,128.02,236.60,356.04,945.36,14.27,15.31
Dividend Payout %,0%,0%,0%,0%,0%,10%

--- BALANCE SHEET ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2024,Mar 2025,Mar 2026
Equity Capital,1,1,1,1,10,11
Reserves,80,113,162,355,481,872
Borrowings +,20,31,84,78,140,150
Other Liabilities +,30,67,97,80,86,141
Total Liabilities,131,213,344,514,717,"1,175"
Fixed Assets +,60,68,137,180,189,344
CWIP,8,24,8,45,88,178
Investments,6,19,0,0,0,0
Other Assets +,57,102,199,289,439,653
Total Assets,131,213,344,514,717,"1,175"

--- CASH FLOW ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,10,35,-3,66,49,70
Cash from Investing Activity +,-22,-40,-38,-49,-79,-331
Cash from Financing Activity +,12,13,51,-13,53,247
Net Cash Flow,-0,8,10,4,23,-14
Free Cash Flow,1,24,-77,13,-15,-49
CFO/OP,62%,104%,22%,61%,47%,56%

--- RATIOS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2024,Mar 2025,Mar 2026
Debtor Days,90,94,114,115,135,129
Inventory Days,77,79,104,150,309,347
Days Payable,70,79,76,115,145,110
Cash Conversion Cycle,97,93,142,151,298,366
Working Capital Days,46,13,30,99,144,175
ROCE %,,36%,36%,,36%,28%

--- SHAREHOLDING PATTERN ---
,Dec 2025,Mar 2026
Promoters +,76.16%,76.16%
FIIs +,1.67%,1.55%
DIIs +,17.59%,18.11%
Public +,4.57%,4.18%
No. of Shareholders,"43,599","36,503"

--- CAGR BOXES ---




