--- ABOUT ---
"Incorporated in 1998, Landmark Cars Limited is the leading premium automotive retail business in India with dealerships for Mercedes-Benz, Honda, Jeep, Volkswagen, and Renault. The company also caters to the commercial vehicle retail business of Ashok Leyland in India. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,767",426,675,45.2

Book Value,Dividend Yield,ROCE,ROE
141,0.12,9.26,6.86

Face Value
5.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,854,694,771,959,864,832,907,"1,195","1,091","1,062","1,211","1,345","1,279"
Expenses +,793,650,716,894,810,783,855,"1,129","1,037","1,001","1,157","1,271","1,203"
Operating Profit,61,44,54,65,54,49,52,66,55,61,54,74,76
OPM %,7%,6%,7%,7%,6%,6%,6%,6%,5%,6%,4%,5%,6%
Other Income +,1,0,3,1,3,1,-1,3,6,5,5,3,2
Interest,10,11,14,15,14,16,18,20,21,20,20,20,19
Depreciation,23,23,25,26,27,29,32,34,36,36,38,38,37
Profit before tax,29,10,19,25,15,5,0,16,4,10,1,19,21
Tax %,17%,27%,-10%,27%,29%,27%,31%,26%,57%,25%,-148%,26%,27%
Net Profit +,24,7,20,18,11,3,0,12,2,7,2,14,15
EPS in Rs,6.07,1.75,5.00,4.44,2.56,0.77,-0.00,2.75,0.34,1.67,0.29,3.42,3.62
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"1,611","2,827","2,219","1,956","2,977","3,382","3,288","4,026","4,896"
Expenses +,"1,561","2,745","2,142","1,842","2,800","3,144","3,069","3,803","4,631"
Operating Profit,51,82,77,114,176,238,219,222,265
OPM %,3%,3%,3%,6%,6%,7%,7%,6%,5%
Other Income +,4,7,6,6,11,4,5,8,15
Interest,17,53,45,38,35,51,53,74,80
Depreciation,13,53,63,62,70,87,101,131,149
Profit before tax,25,-18,-25,20,82,104,70,25,50
Tax %,30%,39%,17%,44%,20%,18%,18%,31%,24%
Net Profit +,18,-24,-29,11,66,85,57,17,38
EPS in Rs,22.33,-31.92,-15.69,6.19,17.88,21.32,13.56,3.85,9.00
Dividend Payout %,3%,0%,0%,0%,0%,11%,11%,13%,17%

--- BALANCE SHEET ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,8,18,18,18,18,20,21,21,21
Reserves,133,170,151,163,229,450,518,533,564
Borrowings +,121,409,327,345,476,430,627,870,876
Other Liabilities +,343,408,334,360,362,361,383,463,519
Total Liabilities,605,"1,006",830,887,"1,085","1,261","1,549","1,887","1,979"
Fixed Assets +,143,392,370,326,497,509,594,762,778
CWIP,43,0,1,2,5,6,2,3,2
Investments,0,0,10,13,17,16,16,16,16
Other Assets +,419,614,449,546,566,730,937,"1,106","1,182"
Total Assets,605,"1,006",830,887,"1,085","1,261","1,549","1,887","1,979"

--- CASH FLOW ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,13,55,210,76,76,71,41,152,267
Cash from Investing Activity +,-57,-38,-66,-34,-34,-72,-113,-164,-63
Cash from Financing Activity +,60,-28,-148,-38,-38,1,65,23,-191
Net Cash Flow,16,-11,-5,5,5,-1,-8,11,14
Free Cash Flow,-43,22,191,41,41,3,-38,22,213
CFO/OP,41%,85%,277%,88%,57%,40%,31%,76%,107%

--- RATIOS ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,10,10,4,10,8,11,15,16,12
Inventory Days,58,50,43,64,48,59,78,71,60
Days Payable,61,10,11,22,21,15,16,15,10
Cash Conversion Cycle,6,50,37,52,35,55,77,72,61
Working Capital Days,-14,-12,-20,-8,-10,11,17,6,4
ROCE %,,8%,4%,12%,19%,20%,12%,8%,9%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,53.05%,52.87%,51.82%,51.59%,51.55%,51.62%,51.57%,51.56%,51.56%,49.81%,49.76%,49.80%
FIIs +,10.47%,8.61%,8.40%,8.74%,9.73%,9.82%,10.70%,9.85%,9.44%,10.64%,9.82%,5.05%
DIIs +,14.29%,15.47%,15.19%,15.86%,16.61%,14.28%,13.81%,13.61%,13.00%,13.42%,16.51%,20.78%
Public +,22.19%,23.04%,24.58%,23.80%,22.10%,24.28%,23.91%,24.97%,25.98%,26.12%,23.92%,24.37%
No. of Shareholders,"27,806","30,360","33,397","36,700","38,529","46,214","43,717","44,256","42,539","39,430","37,870","37,961"

--- CAGR BOXES ---




