--- ABOUT ---
"Incorporated in 1947, DIC India Ltd is in the business of manufacturing Printing Inks, and also provides Lamination Adhesive [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
470,512,679,21.3

Book Value,Dividend Yield,ROCE,ROE
231,0.59,15.2,10.8

Face Value
10.0

--- QUARTERLY RESULTS ---
""
Sales +
Expenses +
Operating Profit
OPM %
Other Income +
Interest
Depreciation
Profit before tax
Tax %
Net Profit +
EPS in Rs
Raw PDF

--- ANNUAL RESULTS ---
,Dec 2005,Dec 2006,Dec 2007,Dec 2008,Dec 2009
Sales +,310,373,443,514,503
Expenses +,287,351,412,478,461
Operating Profit,23,22,31,36,42
OPM %,7%,6%,7%,7%,8%
Other Income +,5,10,6,5,5
Interest,4,5,7,6,4
Depreciation,6,6,7,8,9
Profit before tax,18,21,22,28,34
Tax %,32%,30%,36%,35%,35%
Net Profit +,12,15,14,18,22
EPS in Rs,13.39,16.16,15.52,19.77,24.04
Dividend Payout %,20%,16%,17%,18%,17%

--- BALANCE SHEET ---
,Dec 2005,Dec 2006,Dec 2007,Dec 2008,Dec 2009
Equity Capital,7,7,7,9,9
Reserves,100,112,122,186,203
Borrowings +,44,68,21,49,43
Other Liabilities +,79,83,148,98,87
Total Liabilities,230,269,298,342,341
Fixed Assets +,47,54,55,75,73
CWIP,3,4,18,6,9
Investments,0,0,0,0,0
Other Assets +,180,211,224,261,260
Total Assets,230,269,298,342,341

--- CASH FLOW ---
,Dec 2005,Dec 2006,Dec 2007,Dec 2008,Dec 2009
Cash from Operating Activity +,7,-4,40,-7,35
Cash from Investing Activity +,-9,-10,-22,-14,-9
Cash from Financing Activity +,0,15,-8,18,-15
Net Cash Flow,-1,0,10,-3,11
Free Cash Flow,-2,-15,17,-21,25
CFO/OP,57%,11%,153%,8%,110%

--- RATIOS ---
,Dec 2005,Dec 2006,Dec 2007,Dec 2008,Dec 2009
Debtor Days,124,117,104,103,100
Inventory Days,77,80,59,70,68
Days Payable,122,75,72,64,56
Cash Conversion Cycle,80,122,90,109,112
Working Capital Days,106,116,47,104,106
ROCE %,,14%,17%,16%,15%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,71.75%,71.75%,71.75%,71.75%,71.75%,71.75%,71.75%,71.75%,71.75%,71.75%,71.75%,71.75%
Public +,28.24%,28.25%,28.26%,28.25%,28.24%,28.23%,28.23%,28.24%,28.24%,28.24%,28.25%,28.25%
No. of Shareholders,"7,480","7,155","7,063","6,918","6,975","6,381","6,417","6,652","6,374","6,473","6,420","6,337"

--- CAGR BOXES ---




