--- ABOUT ---
Gujarat Alkalies and Chemicals Ltd is a multi-product chemical manufacturing company and is one of the leading manufacturers of Caustic Soda Lye. [1] Its manufacturing facilities are located at Dahej and Vadodara in Gujarat. [2]

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"4,690",639,815,

Book Value,Dividend Yield,ROCE,ROE
707,2.47,1.40,-0.04

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"1,138",913,971,921,"1,002",977,991,"1,029","1,075","1,105","1,083","1,044","1,125"
Expenses +,936,882,955,941,998,923,945,951,974,"1,010","1,009",948,"1,015"
Operating Profit,202,31,16,-20,4,54,46,78,101,95,74,96,110
OPM %,18%,3%,2%,-2%,0%,6%,5%,8%,9%,9%,7%,9%,10%
Other Income +,8,12,71,5,3,3,49,15,24,8,59,30,25
Interest,8,10,11,11,12,11,11,10,18,14,16,18,15
Depreciation,88,89,95,96,97,97,100,98,97,102,104,104,104
Profit before tax,115,-57,-18,-123,-102,-50,-16,-15,10,-12,14,4,15
Tax %,38%,0%,-0%,-6%,-55%,-11%,15%,-27%,13%,15%,-21%,621%,3%
Net Profit +,71,-57,-18,-115,-46,-45,-18,-11,9,-14,16,-20,15
EPS in Rs,9.67,-7.78,-2.50,-15.68,-6.29,-6.06,-2.48,-1.53,1.20,-1.88,2.23,-2.72,2.04
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"1,995","2,070","2,455","3,161","2,725","2,429","3,759","4,516","3,807","4,073","4,358"
Expenses +,"1,660","1,622","1,669","2,046","2,148","2,072","2,774","3,568","3,775","3,793","3,976"
Operating Profit,335,448,786,"1,115",577,357,984,949,32,279,382
OPM %,17%,22%,32%,35%,21%,15%,26%,21%,1%,7%,9%
Other Income +,45,56,106,62,90,67,46,42,90,92,117
Interest,10,13,15,21,14,15,6,19,45,51,63
Depreciation,107,111,127,140,162,174,198,276,377,392,414
Profit before tax,262,381,749,"1,016",491,235,826,695,-300,-71,21
Tax %,16%,19%,29%,32%,32%,29%,32%,41%,-21%,-9%,112%
Net Profit +,220,307,534,690,332,166,560,410,-237,-65,-2
EPS in Rs,29.90,41.85,72.78,93.98,45.22,22.57,76.22,55.78,-32.25,-8.87,-0.33
Dividend Payout %,15%,12%,9%,9%,18%,35%,13%,42%,-43%,-178%,"-5,394%"

--- BALANCE SHEET ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,73,73,73,73,73,73,73,73,73,73,73
Reserves,"2,854","3,282","3,748","4,222","4,522","5,301","5,826","6,066","6,002","5,596","5,117"
Borrowings +,295,353,291,247,205,498,594,597,544,561,575
Other Liabilities +,671,726,859,988,"1,090","1,282","1,484","1,599","1,404","1,756","1,766"
Total Liabilities,"3,894","4,435","4,970","5,531","5,891","7,154","7,977","8,335","8,023","7,987","7,533"
Fixed Assets +,"1,821","2,073","2,104","2,300","2,610","2,587","2,702","4,250","4,617","4,584","4,343"
CWIP,83,151,252,307,445,"1,109","1,787",544,95,79,122
