--- ABOUT ---
"Wipro Ltd is a global Information technology, consulting and business process services (BPS) company. [1] It is the 4th largest Indian player in the global IT services industry behind TCS, Infosys and HCL Technologies. [2]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,89,894",181,273,14.4

Book Value,Dividend Yield,ROCE,ROE
83.9,6.08,17.9,15.5

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"23,190","22,831","22,516","22,205","22,208","21,964","22,302","22,319","22,504","22,135","22,697","23,556","24,236"
Expenses +,"18,671","18,627","18,546","18,007","17,828","17,614","17,798","17,779","17,880","17,902","18,325","19,259","19,327"
Operating Profit,"4,519","4,204","3,970","4,198","4,381","4,350","4,503","4,540","4,624","4,233","4,372","4,296","4,909"
OPM %,19%,18%,18%,19%,20%,20%,20%,20%,21%,19%,19%,18%,20%
Other Income +,632,640,740,598,653,730,962,"1,005","1,217","1,072",963,"1,008",857
Interest,286,309,303,312,331,329,357,415,377,361,361,366,370
Depreciation,847,738,897,932,840,729,831,676,722,686,692,805,728
Profit before tax,"4,018","3,798","3,509","3,552","3,862","4,022","4,278","4,453","4,743","4,258","4,282","4,134","4,668"
Tax %,23%,24%,24%,24%,26%,24%,25%,24%,24%,22%,24%,24%,25%
Net Profit +,"3,094","2,886","2,667","2,701","2,858","3,037","3,227","3,367","3,588","3,336","3,262","3,145","3,522"
EPS in Rs,2.80,2.61,2.53,2.58,2.71,2.87,3.07,3.20,3.41,3.18,3.10,2.97,3.34
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"46,951","51,244","55,448","54,487","59,019","61,138","61,935","79,312","90,488","89,760","89,088","92,624"
Expenses +,"36,652","40,448","44,128","44,100","47,406","48,795","47,164","62,628","73,649","73,008","71,067","74,813"
Operating Profit,"10,299","10,796","11,321","10,387","11,613","12,342","14,771","16,684","16,839","16,752","18,021","17,811"
OPM %,22%,21%,20%,19%,20%,20%,24%,21%,19%,19%,20%,19%
Other Income +,"2,450","2,752","2,623","2,550","2,614","2,728","2,404","2,067","2,275","2,631","3,909","3,899"
Interest,350,558,594,583,738,733,509,532,"1,008","1,255","1,477","1,458"
Depreciation,"1,175","1,496","2,310","2,112","1,947","2,086","2,763","3,078","3,340","3,407","2,958","2,911"
Profit before tax,"11,224","11,494","11,039","10,242","11,542","12,252","13,903","15,141","14,766","14,721","17,496","17,342"
Tax %,22%,22%,23%,22%,22%,20%,22%,19%,23%,25%,24%,24%
Net Profit +,"8,714","8,957","8,518","8,003","9,018","9,772","10,868","12,243","11,366","11,112","13,218","13,266"
EPS in Rs,6.58,6.76,6.55,6.63,7.46,8.51,9.85,11.15,10.34,10.57,12.54,12.58
Dividend Payout %,34%,17%,6%,6%,7%,6%,5%,27%,5%,5%,48%,87%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,494,494,486,905,"1,207","1,143","1,096","1,096","1,098","1,045","2,094","2,098"
Reserves,"36,598","45,651","51,184","47,022","55,216","54,179","53,805","64,307","76,570","73,488","80,270","85,921"
Borrowings +,"7,891","12,522","14,241","13,901","9,947","9,724","10,451","17,593","17,467","16,465","19,204","20,291"
Other Liabilities +,"13,367","12,924","12,761","13,563","16,217","15,954","17,213","24,280","21,789","23,611","26,362","33,098"
Total Liabilities,"58,350","71,590","78,672","75,391","82,586","81,000","82,566","107,276","116,924","114,609","127,929","141,408"
Fixed Assets +,"10,837","17,279","19,886","18,127","17,465","22,062","23,040","37,990","44,757","43,628","45,187","51,690"
CWIP,395,381,738,"1,378","2,142","1,881","1,853","1,602",617,723,196,412
Investments,"5,532","20,915","29,913","25,797","22,887","20,032","18,775","26,154","33,073","33,384","43,926","46,786"
Other Assets +,"41,586","33,016","28,135","30,090","40,093","37,024","38,898","41,531","38,477","36,873","38,620","42,520"
Total Assets,"58,350","71,590","78,672","75,391","82,586","81,000","82,566","107,276","116,924","114,609","127,929","141,408"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,"7,840","7,887","9,277","8,423","11,632","10,064","14,755","11,080","13,060","17,622","16,943","14,932"
Cash from Investing Activity +,"-2,537","-13,761","-11,770","3,595","5,065","3,593",685,"-22,321","-8,169","1,144","-8,044","-3,342"
Cash from Financing Activity +,-830,-159,"-2,275","-12,998","-4,937","-15,100","-12,884","4,659","-6,088","-18,257","-6,396","-14,126"
Net Cash Flow,"4,474","-6,032","-4,767",-979,"11,760","-1,442","2,556","-6,583","-1,197",509,"2,502","-2,537"
Free Cash Flow,"6,699","6,570","7,750","6,353","9,548","7,842","12,873","9,138","11,631","16,973","15,651","13,447"
CFO/OP,100%,98%,104%,108%,122%,87%,117%,82%,96%,114%,109%,99%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,71,71,62,68,62,62,56,53,51,47,48,54
