--- ABOUT ---
"Bhansali Engineering Polymers Ltd is engaged in manufacturing and sale of ABS Resins, AES Resins, ASA resins, SAN resins and their alloys with other plastics in the Indian market. Its customers include leading companies dealing in Automobiles, Home Appliances, Electronics, Healthcare and Kitchenware. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"2,634",106,120,14.6

Book Value,Dividend Yield,ROCE,ROE
43.5,3.78,23.8,17.3

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,328,294,314,292,321,340,367,346,345,308,325,301,342
Expenses +,306,238,257,245,270,278,314,294,297,255,276,251,278
Operating Profit,22,57,58,47,51,62,53,52,48,53,49,51,64
OPM %,7%,19%,18%,16%,16%,18%,14%,15%,14%,17%,15%,17%,19%
Other Income +,8,13,10,10,8,12,11,7,8,12,8,10,10
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,2,2,2,2,2,2,2,2,2,2,2,2,2
Profit before tax,28,67,65,54,57,71,62,57,54,62,55,58,72
Tax %,48%,24%,25%,26%,29%,25%,25%,28%,27%,26%,26%,28%,29%
Net Profit +,14,51,48,40,40,53,46,41,40,46,40,42,52
EPS in Rs,0.57,2.03,1.94,1.62,1.62,2.14,1.86,1.64,1.59,1.84,1.63,1.70,2.07
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,601,531,626,"1,032","1,225","1,104","1,292","1,394","1,363","1,222","1,398","1,276"
Expenses +,576,494,563,877,"1,146","1,018",845,931,"1,186","1,010","1,183","1,060"
Operating Profit,25,37,63,154,79,86,447,463,177,212,215,216
OPM %,4%,7%,10%,15%,6%,8%,35%,33%,13%,17%,15%,17%
Other Income +,2,3,8,14,8,6,11,20,30,40,38,40
Interest,14,11,10,8,1,0,1,0,1,0,0,0
Depreciation,5,6,5,6,7,10,10,10,10,10,9,8
Profit before tax,8,23,57,155,78,83,446,473,196,242,244,247
Tax %,40%,29%,37%,35%,40%,19%,25%,26%,30%,26%,26%,27%
Net Profit +,5,16,35,100,47,67,334,350,137,179,180,180
EPS in Rs,0.20,0.65,1.42,4.02,1.90,2.69,13.42,14.06,5.49,7.21,7.23,7.24
Dividend Payout %,34%,10%,9%,5%,18%,12%,5%,14%,206%,56%,55%,55%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,17,17,17,17,17,17,17,17,17,25,25,25
Reserves,168,110,145,241,282,340,665,965,"1,051",898,977,"1,058"
Borrowings +,42,32,137,0,0,0,0,0,0,0,0,0
Other Liabilities +,169,191,121,166,230,297,96,127,99,133,102,202
Total Liabilities,396,349,420,423,529,653,777,"1,108","1,167","1,056","1,104","1,285"
Fixed Assets +,122,82,93,107,144,150,141,145,140,133,137,133
CWIP,0,0,0,6,0,2,0,0,0,19,11,31
Investments,0,0,0,1,1,2,2,2,3,3,3,2
Other Assets +,274,267,326,309,384,500,634,962,"1,024",902,953,"1,119"
Total Assets,396,349,420,423,529,653,777,"1,108","1,167","1,056","1,104","1,285"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,36,56,78,192,53,88,103,298,140,231,109,168
Cash from Investing Activity +,-6,-35,-12,-16,-55,-43,-21,-300,-15,44,235,-30
Cash from Financing Activity +,-33,-23,-65,-149,-7,-10,-9,-50,-50,-324,-100,-100
Net Cash Flow,-3,-2,2,27,-8,35,74,-52,75,-49,244,39
Free Cash Flow,33,21,64,164,17,72,103,284,135,210,103,133
CFO/OP,150%,161%,143%,152%,109%,127%,48%,91%,112%,138%,81%,109%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,89,91,80,66,67,51,82,74,64,69,67,73
Inventory Days,54,74,94,39,36,85,60,96,63,60,44,79
Days Payable,116,158,67,62,70,111,19,34,23,40,21,65
Cash Conversion Cycle,27,6,107,43,33,25,123,136,104,89,89,86
Working Capital Days,32,22,34,44,45,44,107,157,136,148,117,129
ROCE %,,18%,29%,58%,28%,25%,86%,57%,19%,24%,25%,24%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,57.48%,57.48%,57.48%,57.48%,57.48%,57.48%,57.48%,57.48%,57.48%,57.48%,57.48%,57.48%
FIIs +,1.03%,0.95%,1.13%,1.12%,2.09%,1.66%,1.50%,1.53%,1.44%,1.42%,1.13%,1.36%
DIIs +,0.00%,0.04%,0.05%,0.06%,0.07%,0.13%,0.10%,0.11%,0.13%,0.00%,0.00%,0.00%
Public +,41.51%,41.54%,41.35%,41.35%,40.36%,40.75%,40.92%,40.90%,40.97%,41.10%,41.36%,41.16%
No. of Shareholders,"1,07,525","1,13,641","1,15,630","1,22,680","1,08,352","1,26,905","1,23,006","1,21,805","1,19,830","1,17,420","1,16,273","1,13,545"

--- CAGR BOXES ---




