--- ABOUT ---
"Incorporated in 2011, Crizac Ltd is an education platform that offers international student recruitment solutions to higher education institutions in various countries [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"3,755",215,388,17.1

Book Value,Dividend Yield,ROCE,ROE
33.4,3.73,52.3,40.3

Face Value
2.00

--- QUARTERLY RESULTS ---
,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,161,130,218,341,210,162,279,392
Expenses +,110,98,155,276,148,99,213,297
Operating Profit,51,32,63,65,61,63,66,95
OPM %,32%,25%,29%,19%,29%,39%,24%,24%
Other Income +,15,7,8,9,8,8,7,7
Interest,0,0,0,0,0,0,0,0
Depreciation,11,11,12,11,7,6,6,9
Profit before tax,55,28,60,62,62,65,67,93
Tax %,25%,27%,28%,20%,26%,25%,25%,20%
Net Profit +,42,20,43,50,46,48,51,74
EPS in Rs,2.37,1.16,2.47,2.85,2.62,2.76,2.85,4.29
Raw PDF,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,111,264,473,530,849,"1,042"
Expenses +,84,175,366,385,637,756
Operating Profit,27,89,107,145,213,286
OPM %,25%,34%,23%,27%,25%,27%
Other Income +,1,3,45,53,35,29
Interest,0,0,0,0,0,0
Depreciation,0,1,2,13,46,27
Profit before tax,28,91,150,184,202,287
Tax %,26%,25%,25%,37%,24%,24%
Net Profit +,21,68,112,116,153,219
EPS in Rs,"10,366.34",67.77,112.15,6.62,8.74,12.52
Dividend Payout %,0%,0%,0%,0%,0%,64%

--- BALANCE SHEET ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,0.02,10,10,35,35,35
Reserves,37,98,213,302,468,550
Borrowings +,1,0,0,0,0,2
Other Liabilities +,52,65,83,251,374,289
Total Liabilities,90,172,307,588,878,876
Fixed Assets +,27,27,26,128,93,120
CWIP,0,0,0,0,0,0
Investments,18,67,106,143,38,31
Other Assets +,45,79,175,317,747,724
Total Assets,90,172,307,588,878,876

--- CASH FLOW ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,,,,114,187,144
Cash from Investing Activity +,,,,-79,-149,24
Cash from Financing Activity +,,,,-0,-0,-151
Net Cash Flow,,,,35,39,17
Free Cash Flow,,,,-7,188,127
CFO/OP,,,,111%,123%,76%

--- RATIOS ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,128,43,21,116,110,84
Inventory Days,,,,,,
Days Payable,,,,,,
Cash Conversion Cycle,128,43,21,116,110,84
Working Capital Days,-33,-25,-10,-35,-34,48
ROCE %,,123%,90%,93%,48%,52%

--- SHAREHOLDING PATTERN ---
,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,79.94%,79.94%,79.94%,79.94%
FIIs +,2.99%,3.74%,2.48%,2.30%
DIIs +,7.05%,3.80%,3.48%,3.48%
Public +,10.03%,12.53%,14.09%,14.29%
No. of Shareholders,"2,07,716","62,406","60,761","59,200"

--- CAGR BOXES ---




