--- ABOUT ---
TD Power Systems Ltd is engaged in manufacturing AC generators and Electric motors for various applications which are specifically designed to suit the needs of the customers based on their requirements and specifications. [1]

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"19,883","1,273","1,380",83.3

Book Value,Dividend Yield,ROCE,ROE
68.6,0.10,33.4,24.7

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,250,220,274,243,264,274,306,350,348,372,452,443,589
Expenses +,206,182,227,203,222,225,251,289,283,303,370,362,491
Operating Profit,43,39,47,40,42,48,56,61,65,69,83,80,98
OPM %,17%,18%,17%,16%,16%,18%,18%,17%,19%,19%,18%,18%,17%
Other Income +,8,4,3,5,5,3,6,4,11,4,5,4,8
Interest,0,0,0,0,0,1,1,0,0,0,1,1,0
Depreciation,5,5,5,5,5,5,5,5,5,5,5,6,7
Profit before tax,46,37,45,40,41,46,56,60,70,67,82,78,99
Tax %,23%,28%,27%,25%,29%,23%,26%,25%,25%,26%,26%,28%,27%
Net Profit +,35,27,33,30,29,35,41,45,53,50,60,56,72
EPS in Rs,2.27,1.71,2.10,1.91,1.86,2.26,2.64,2.88,3.39,3.21,3.85,3.61,4.62
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,597,507,380,435,459,515,594,797,872,"1,001","1,279","1,856"
Expenses +,581,498,369,424,429,477,523,701,739,829,"1,043","1,527"
Operating Profit,16,9,11,10,30,38,71,97,134,171,235,330
OPM %,3%,2%,3%,2%,7%,7%,12%,12%,15%,17%,18%,18%
Other Income +,24,20,20,16,9,27,16,24,21,16,24,21
Interest,6,7,6,9,6,10,9,7,4,4,8,2
Depreciation,29,29,28,27,26,22,22,22,21,21,20,23
Profit before tax,6,-7,-4,-10,7,33,56,92,130,162,232,326
Tax %,114%,33%,24%,51%,57%,9%,20%,23%,25%,27%,25%,27%
Net Profit +,-1,-9,-4,-14,3,30,45,70,97,118,175,239
EPS in Rs,-0.05,-0.55,-0.27,-0.87,0.20,1.94,2.92,4.53,6.20,7.58,11.18,15.28
Dividend Payout %,"-1,059%",-110%,-135%,-41%,194%,23%,17%,15%,16%,15%,11%,7%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,33,33,33,33,31,31,31,31,31,31,31,31
Reserves,461,440,437,416,385,394,440,496,573,674,829,"1,041"
Borrowings +,57,28,45,69,61,68,52,71,0,0,12,18
Other Liabilities +,345,292,233,190,271,265,262,309,299,333,491,787
Total Liabilities,896,793,749,708,748,757,785,907,903,"1,038","1,364","1,877"
Fixed Assets +,272,258,233,213,198,180,174,166,163,186,207,294
CWIP,0,1,1,1,1,1,1,1,0,1,17,17
Investments,0,0,0,0,10,20,20,20,20,10,0,0
Other Assets +,624,534,515,495,539,557,590,720,720,842,"1,140","1,566"
Total Assets,896,793,749,708,748,757,785,907,903,"1,038","1,364","1,877"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,47,-13,-20,-3,48,56,-3,11,89,84,40,129
Cash from Investing Activity +,-3,2,9,3,-13,-0,-11,-14,-13,-34,-34,-102
Cash from Financing Activity +,-12,-35,1,7,-45,-17,-20,11,-89,-16,-7,-21
Net Cash Flow,32,-46,-9,7,-10,39,-34,8,-13,34,-1,7
Free Cash Flow,25,-27,-24,-10,37,58,-18,-4,72,40,-16,21
CFO/OP,308%,-113%,-132%,28%,164%,170%,10%,29%,93%,72%,39%,60%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,95,112,154,155,182,123,100,110,113,112,125,146
Inventory Days,62,88,113,96,129,147,174,134,123,139,165,148
Days Payable,136,145,184,140,192,146,100,97,81,78,101,121
Cash Conversion Cycle,21,55,83,111,118,123,174,147,154,173,189,173
Working Capital Days,-38,-8,11,50,60,40,64,78,100,104,120,109
ROCE %,2%,0%,1%,-0%,3%,6%,12%,16%,22%,25%,30%,33%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,58.43%,34.27%,34.27%,34.27%,34.27%,34.27%,34.26%,33.22%,26.87%,26.87%,26.87%,26.87%
FIIs +,2.61%,10.11%,11.35%,12.85%,14.84%,16.24%,17.79%,19.12%,23.70%,23.55%,24.36%,26.69%
DIIs +,16.33%,33.14%,32.81%,32.36%,31.53%,29.64%,26.90%,24.91%,25.30%,25.39%,23.19%,22.24%
Public +,22.62%,22.49%,21.58%,20.53%,19.34%,19.85%,21.02%,22.74%,24.13%,24.18%,25.56%,24.20%
Others +,0.02%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
No. of Shareholders,"34,408","51,763","60,287","68,416","80,384","91,359","1,00,585","1,00,741","1,07,425","1,08,667","1,17,170","1,15,089"

--- CAGR BOXES ---




