--- ABOUT ---
"Established in 1960, Rane (Madras) Limited (RML) is part of the Rane Group of Companies, a leading auto component group based out of Chennai. RML has two divisions namely Steering and Linkages Division (SLD) and Light Metal Casting India Division (LMCI). Through its overseas subsidiary Rane Light Metal Castings Inc. (RLMCA), RML manufactures high pressure light metal casting components from its facility in Kentucky, USA. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"3,099","1,121","1,138",28.2

Book Value,Dividend Yield,ROCE,ROE
272,1.43,14.0,15.5

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,622,588,611,521,853,818,849,837,901,881,919,"1,015","1,048"
Expenses +,566,546,579,474,784,753,777,771,823,806,841,924,952
Operating Profit,55,42,32,47,69,65,72,66,79,75,79,91,96
OPM %,9%,7%,5%,9%,8%,8%,9%,8%,9%,8%,9%,9%,9%
Other Income +,-1,-17,-85,1,-4,6,2,2,-8,3,2,3,4
Interest,13,14,13,15,16,17,18,20,18,17,15,15,12
Depreciation,28,24,24,21,33,32,32,33,36,36,37,36,38
Profit before tax,14,-13,-90,13,16,21,24,15,17,25,30,43,49
Tax %,31%,7%,-120%,29%,31%,32%,34%,97%,62%,25%,28%,29%,24%
Net Profit +,10,-14,18,9,11,15,16,0,7,19,21,31,37
EPS in Rs,5.87,-8.90,10.93,5.59,6.62,8.99,9.91,0.24,4.01,6.70,7.77,11.04,13.37
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,876,"1,195","1,400","1,555","1,277","1,267","1,742","2,354","3,463","3,406","3,863"
Expenses +,797,"1,106","1,273","1,438","1,230","1,236","1,667","2,171","3,193","3,122","3,523"
Operating Profit,79,89,127,117,47,31,75,184,270,284,340
OPM %,9%,7%,9%,8%,4%,2%,4%,8%,8%,8%,9%
Other Income +,-2,11,9,10,12,7,52,6,-102,2,12
Interest,19,30,34,35,38,28,21,35,68,76,59
Depreciation,41,57,61,66,66,66,81,97,132,132,147
Profit before tax,17,13,40,26,-45,-55,26,58,-32,78,146
Tax %,27%,66%,40%,91%,2%,10%,58%,49%,-269%,52%,26%
Net Profit +,13,4,24,2,-46,-61,11,30,55,38,107
EPS in Rs,12.05,4.11,20.87,2.02,-36.26,-41.98,6.55,18.46,33.67,23.15,38.89
Dividend Payout %,37%,146%,58%,420%,0%,0%,0%,0%,0%,35%,41%

--- BALANCE SHEET ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,11,11,12,12,13,15,16,16,16,16,28
Reserves,140,147,218,218,171,167,212,225,642,655,723
Borrowings +,338,362,357,417,470,470,585,668,851,813,752
Other Liabilities +,212,267,315,290,268,380,417,439,613,785,"1,018"
Total Liabilities,701,787,902,937,922,"1,032","1,230","1,349","2,122","2,269","2,521"
Fixed Assets +,361,365,386,386,382,415,477,490,667,693,739
CWIP,7,28,16,16,50,31,18,29,45,73,95
Investments,0,0,0,1,1,1,1,1,11,7,8
Other Assets +,333,394,499,535,489,586,733,829,"1,398","1,496","1,679"
Total Assets,701,787,902,937,922,"1,032","1,230","1,349","2,122","2,269","2,521"

--- CASH FLOW ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,31,88,65,45,69,46,-6,88,191,316,219
Cash from Investing Activity +,-74,-77,-78,-60,-103,-80,-124,-106,-148,-147,11
Cash from Financing Activity +,43,-7,14,26,34,21,134,35,-55,-176,-207
Net Cash Flow,-0,4,1,11,0,-13,5,17,-12,-7,23
Free Cash Flow,-44,10,-13,-15,-34,-34,-106,-20,-2,159,229
CFO/OP,47%,103%,62%,56%,164%,176%,12%,67%,85%,111%,78%

--- RATIOS ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,67,57,64,58,55,78,74,65,63,76,75
Inventory Days,75,76,73,71,80,81,76,67,82,87,80
Days Payable,117,118,123,89,97,150,115,91,83,100,88
Cash Conversion Cycle,25,15,14,39,38,9,35,41,62,63,67
Working Capital Days,-36,-33,-16,-16,-36,-42,-20,-14,3,-6,-17
ROCE %,,9%,13%,10%,-1%,-4%,-0%,12%,12%,11%,14%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,72.65%,72.65%,72.65%,72.65%,72.65%,72.65%,72.65%,72.65%,70.45%,70.45%,70.45%,70.45%
FIIs +,0.00%,0.01%,0.00%,0.01%,0.01%,0.21%,0.08%,0.09%,0.03%,0.04%,0.05%,0.06%
DIIs +,0.11%,0.50%,0.63%,0.47%,0.00%,0.13%,0.13%,0.12%,1.04%,1.04%,1.03%,0.97%
Public +,27.25%,26.86%,26.73%,26.88%,27.35%,27.01%,27.15%,27.15%,28.48%,28.48%,28.48%,28.51%
No. of Shareholders,"14,287","14,594","13,331","13,432","12,830","13,345","13,547","13,572","33,748","32,127","30,907","29,856"

--- CAGR BOXES ---




