--- ABOUT ---
"BEML Ltd manufactures a wide range of heavy earthmoving equipment catering to the mining and construction industry, vehicles for defense forces and coaches for the metro and Indian Railways. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"14,570","1,749","2,437 / 1,355",103

Book Value,Dividend Yield,ROCE,ROE
352,0.61,7.71,4.86

Face Value
5.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"1,388",577,917,"1,047","1,514",634,860,876,"1,653",634,839,"1,083","1,794"
Expenses +,"1,101",627,858,991,"1,143",684,787,815,"1,230",683,766,"1,080","1,523"
Operating Profit,287,-51,59,56,370,-50,73,60,422,-49,73,4,272
OPM %,21%,-9%,6%,5%,24%,-8%,8%,7%,26%,-8%,9%,0%,15%
Other Income +,19,1,10,34,5,1,15,5,4,9,7,4,10
Interest,12,10,11,8,11,9,16,17,13,10,10,12,14
Depreciation,16,16,16,16,17,17,17,19,19,20,20,21,22
Profit before tax,278,-75,42,67,348,-75,55,30,395,-70,50,-25,245
Tax %,43%,0%,-23%,28%,26%,-7%,7%,17%,27%,-9%,5%,-12%,27%
Net Profit +,158,-75,52,48,257,-70,51,24,288,-64,48,-22,180
EPS in Rs,18.93,-9.00,6.22,5.79,30.83,-8.46,6.13,2.93,34.52,-7.70,5.77,-2.69,21.59
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"2,802","2,975","2,494","3,239","3,474","3,025","3,557","4,337","3,899","4,054","4,022","4,351"
Expenses +,"2,728","2,825","2,341","2,986","3,237","2,942","3,419","4,012","3,530","3,609","3,516","4,052"
Operating Profit,74,149,153,253,238,84,138,325,369,445,506,299
OPM %,3%,5%,6%,8%,7%,3%,4%,8%,9%,11%,13%,7%
Other Income +,60,42,63,25,23,49,60,6,22,42,24,29
Interest,76,56,55,48,60,41,39,65,49,42,54,45
Depreciation,53,57,63,65,71,72,71,66,64,64,71,83
Profit before tax,5,79,98,164,130,19,87,200,278,382,404,200
Tax %,-9%,18%,14%,21%,52%,-229%,21%,36%,43%,26%,28%,29%
Net Profit +,6,64,85,130,63,64,69,129,158,282,293,141
EPS in Rs,0.71,7.73,10.18,15.57,7.58,7.67,8.27,15.46,18.96,33.83,35.12,16.97
Dividend Payout %,70%,26%,39%,26%,46%,39%,36%,32%,26%,30%,29%,32%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,42,42,42,42,42,42,42,42,42,42,42,42
Reserves,"2,035","2,088","2,141","2,159","2,146","2,211","2,173","2,315","2,380","2,626","2,846","2,892"
Borrowings +,645,569,438,446,404,341,743,832,381,71,229,309
