--- ABOUT ---
"Incorporated in 2012, Capillary Technologies India Ltd is a leading Indian software-as-a-service (SaaS) company that specializes in customer loyalty and engagement solutions. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"3,936",495,799,133

Book Value,Dividend Yield,ROCE,ROE
129,0.00,3.62,3.72

Face Value
2.00

--- QUARTERLY RESULTS ---
,Dec 2024,Mar 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,159,152,179,184,191
Expenses +,136,125,161,159,160
Operating Profit,23,28,19,25,31
OPM %,14%,18%,10%,14%,16%
Other Income +,0,-1,2,4,32
Interest,2,2,2,1,1
Depreciation,13,16,19,19,20
Profit before tax,9,9,-0,8,42
Tax %,-17%,-12%,-800%,1%,-2%
Net Profit +,10,10,0,8,43
EPS in Rs,1.40,1.34,0.04,1.01,5.46
Raw PDF,,,,,

--- ANNUAL RESULTS ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,171,223,323,525,598,735
Expenses +,184,274,387,537,533,642
Operating Profit,-13,-51,-64,-12,65,93
OPM %,-7%,-23%,-20%,-2%,11%,13%
Other Income +,10,-15,22,22,13,39
Interest,2,9,11,18,8,5
Depreciation,18,29,40,56,60,75
Profit before tax,-23,-103,-93,-64,10,51
Tax %,1%,-2%,-5%,-11%,-35%,-2%
Net Profit +,-23,-101,-88,-57,13,52
EPS in Rs,-97.84,-20.16,-16.58,-7.78,1.81,6.60
Dividend Payout %,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,2,10,11,15,15,16
Reserves,10,106,156,524,554,"1,008"
Borrowings +,20,83,149,77,100,54
Other Liabilities +,108,149,130,254,170,223
Total Liabilities,140,347,446,870,838,"1,300"
Fixed Assets +,27,215,203,298,295,460
CWIP,0,0,6,3,0,0
Investments,0,0,0,70,0,136
Other Assets +,113,132,237,499,543,704
Total Assets,140,347,446,870,838,"1,300"

--- CASH FLOW ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,1,7,-20,97,-46,150
Cash from Investing Activity +,-14,-113,-100,-180,66,-614
Cash from Financing Activity +,28,96,137,218,13,270
Net Cash Flow,15,-9,17,134,33,-194
Free Cash Flow,-11,-10,-48,60,-94,111
CFO/OP,67%,-20%,35%,-827%,-65%,168%

--- RATIOS ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,117,93,91,101,98,90
Inventory Days,,,,,,
Days Payable,,,,,,
Cash Conversion Cycle,117,93,91,101,98,90
Working Capital Days,-106,-184,-136,-66,-28,52
ROCE %,,-68%,-36%,-12%,3%,4%

--- SHAREHOLDING PATTERN ---
,Dec 2025,Mar 2026
Promoters +,52.29%,52.23%
FIIs +,3.93%,3.43%
DIIs +,17.75%,18.60%
Public +,26.03%,25.75%
No. of Shareholders,"20,521","16,620"

--- CAGR BOXES ---




