--- ABOUT ---
"Incorporated in 1985, Privi Speciality Chemicals Ltd (Formerly known as Privi Speciality Ltd.) is primarily engaged in the manufacturing, supply and exports of aroma and fragrance chemicals used in soaps, detergents, shampoos, and other fine fragrances. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"13,648","3,494","3,595",41.7

Book Value,Dividend Yield,ROCE,ROE
361,0.29,22.1,26.0

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,399,409,455,404,484,464,533,491,614,559,679,605,722
Expenses +,367,354,366,314,393,370,423,378,481,427,497,453,541
Operating Profit,32,55,89,90,91,94,110,113,133,132,182,151,180
OPM %,8%,13%,20%,22%,19%,20%,21%,23%,22%,24%,27%,25%,25%
Other Income +,3,6,7,6,8,3,4,2,15,9,0,7,4
Interest,23,24,25,24,25,22,22,22,23,24,21,19,18
Depreciation,31,31,31,32,30,32,32,32,35,36,36,36,36
Profit before tax,-19,6,40,39,44,43,61,61,90,81,125,104,130
Tax %,-21%,30%,25%,26%,28%,27%,26%,27%,29%,29%,28%,28%,27%
Net Profit +,-15,5,30,29,32,31,45,44,64,58,90,75,94
EPS in Rs,-3.50,1.18,7.80,7.36,7.93,8.02,11.42,11.37,17.01,15.84,24.02,19.95,23.96
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,597,"1,024","1,341","1,631","1,277","1,404","1,608","1,752","2,101","2,564"
Expenses +,525,894,"1,128","1,362","1,067","1,209","1,420","1,423","1,643","1,917"
Operating Profit,72,130,213,268,210,195,188,329,458,646
OPM %,12%,13%,16%,16%,16%,14%,12%,19%,22%,25%
Other Income +,10,16,14,66,43,38,21,26,20,19
Interest,20,24,29,41,24,25,70,102,92,82
Depreciation,27,43,47,63,71,75,108,123,132,144
Profit before tax,36,79,152,231,158,133,31,130,255,440
Tax %,24%,32%,38%,24%,26%,27%,31%,27%,27%,28%
Net Profit +,27,53,94,176,117,97,21,95,185,317
EPS in Rs,7.21,14.19,24.10,45.10,29.90,24.91,5.68,24.27,47.83,83.77
Dividend Payout %,14%,11%,10%,3%,7%,8%,0%,8%,10%,12%

--- BALANCE SHEET ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,38,38,39,39,39,39,39,39,39,39
Reserves,406,451,537,702,683,773,790,885,"1,064","1,373"
Borrowings +,321,330,491,569,537,933,"1,079","1,008","1,143","1,021"
Other Liabilities +,174,235,359,294,281,431,483,410,544,736
Total Liabilities,939,"1,053","1,426","1,604","1,540","2,176","2,391","2,343","2,791","3,170"
Fixed Assets +,388,437,498,725,598,704,"1,017","1,034","1,156","1,185"
CWIP,24,49,95,40,175,373,100,99,141,298
Investments,1,3,0,1,0,12,7,40,8,54
Other Assets +,527,564,833,839,768,"1,087","1,268","1,169","1,485","1,633"
Total Assets,939,"1,053","1,426","1,604","1,540","2,176","2,391","2,343","2,791","3,170"

--- CASH FLOW ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,17,107,21,247,172,5,49,354,281,550
Cash from Investing Activity +,80,-81,-139,-206,-242,-321,-133,-180,-294,-358
Cash from Financing Activity +,-89,-20,122,27,0,333,72,-171,39,-198
Net Cash Flow,7,5,4,68,-69,17,-12,4,26,-6
Free Cash Flow,17,107,46,37,-71,-304,-91,212,-17,230
CFO/OP,49%,96%,24%,120%,101%,19%,33%,116%,77%,103%

--- RATIOS ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,106,82,90,60,68,69,67,72,68,75
Inventory Days,236,132,162,135,170,279,311,245,262,229
Days Payable,115,85,95,55,83,138,114,105,134,146
Cash Conversion Cycle,227,129,157,139,155,209,264,212,197,158
Working Capital Days,31,20,40,45,65,19,16,37,35,62
ROCE %,,13%,18%,20%,12%,10%,6%,12%,16%,22%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,74.05%,74.05%,74.05%,74.05%,74.05%,74.05%,74.05%,74.05%,69.89%,69.89%,60.60%,60.60%
FIIs +,0.99%,0.97%,0.96%,0.62%,0.48%,0.43%,0.48%,0.40%,1.47%,1.33%,1.64%,1.37%
DIIs +,3.53%,3.37%,3.39%,3.37%,2.84%,2.49%,2.09%,1.95%,3.90%,4.55%,10.25%,10.67%
Public +,21.43%,21.62%,21.59%,21.95%,22.62%,23.02%,23.38%,23.62%,24.73%,24.24%,27.51%,27.36%
No. of Shareholders,"19,437","18,224","17,702","16,821","17,029","16,372","18,131","16,721","28,685","28,203","32,016","34,415"

--- CAGR BOXES ---




