--- ABOUT ---
"Established in 1881, Thomas Cook (India) Limited is a leading integrated travel and financial services company in India, offering forex, MICE, leisure travel, insurance, and visa services. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"5,249",112,188,23.6

Book Value,Dividend Yield,ROCE,ROE
54.1,0.45,14.8,9.27

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"1,313","1,899","1,843","1,893","1,664","2,106","2,004","2,061","1,969","2,408","2,074","2,146","1,771"
Expenses +,"1,277","1,775","1,741","1,777","1,573","1,970","1,879","1,945","1,871","2,281","1,966","2,031","1,692"
Operating Profit,36,124,103,116,91,136,125,116,98,127,108,114,78
OPM %,3%,7%,6%,6%,5%,6%,6%,6%,5%,5%,5%,5%,4%
Other Income +,11,33,28,48,29,28,43,18,50,45,64,11,33
Interest,23,26,23,24,26,22,24,26,24,24,24,24,23
Depreciation,30,30,31,33,33,34,35,37,36,36,39,41,42
Profit before tax,-6,101,77,107,61,109,110,71,88,111,110,60,46
Tax %,74%,28%,32%,16%,7%,33%,35%,35%,28%,34%,36%,25%,40%
Net Profit +,-10,71,51,91,58,73,72,47,66,74,71,45,31
EPS in Rs,-0.15,1.55,1.00,1.75,1.20,1.60,1.38,1.05,1.37,1.53,1.41,0.89,0.82
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015 15m,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"3,244","6,094","8,762","11,248","6,603","6,833",795,"1,888","5,048","7,299","8,140","8,398"
Expenses +,"3,001","5,910","8,425","10,876","6,520","6,726","1,147","2,075","4,870","6,862","7,662","7,971"
Operating Profit,243,184,338,372,83,107,-352,-187,178,437,478,428
OPM %,7%,3%,4%,3%,1%,2%,-44%,-10%,4%,6%,6%,5%
Other Income +,41,-31,84,"6,005",168,76,146,55,62,134,141,154
Interest,71,92,132,149,73,101,62,62,89,99,95,95
Depreciation,41,61,91,137,67,151,148,129,124,128,142,160
Profit before tax,171,1,199,"6,091",110,-69,-416,-322,27,345,382,327
Tax %,34%,"6,392%",57%,-1%,19%,-74%,-29%,-21%,61%,21%,32%,34%
Net Profit +,112,-59,86,"6,131",89,-18,-295,-254,10,271,258,220
EPS in Rs,3.31,-2.13,1.18,161.21,2.29,-0.02,-6.72,-5.18,0.14,5.51,5.41,4.65
Dividend Payout %,15%,-18%,32%,0%,16%,0%,0%,0%,291%,11%,8%,11%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,27,37,37,37,37,38,38,44,47,47,47,47
Reserves,"1,302","1,211","1,950","8,634","8,856","1,627","1,891","1,651","1,666","2,010","2,213","2,499"
Borrowings +,380,"1,042","1,404",425,361,762,612,598,539,418,465,539
Other Liabilities +,"1,417","2,609","3,575","3,000","3,753","3,066","2,194","2,321","3,404","3,889","4,303","4,813"
Total Liabilities,"3,126","4,899","6,965","12,096","13,008","5,492","4,736","4,615","5,657","6,364","7,028","7,899"
Fixed Assets +,"1,200","1,903","2,843","1,723","2,403","2,707","2,628","2,580","2,576","2,770","2,809","3,149"
CWIP,97,53,56,13,7,12,6,14,26,60,93,8
Investments,340,134,219,"7,398","7,417",100,130,129,106,134,134,287
Other Assets +,"1,489","2,810","3,847","2,962","3,180","2,673","1,971","1,892","2,948","3,400","3,992","4,455"
Total Assets,"3,126","4,899","6,965","12,096","13,008","5,492","4,736","4,615","5,657","6,364","7,028","7,899"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,131,383,273,-244,253,120,-581,-139,649,829,717,643
Cash from Investing Activity +,-607,-165,-253,-458,-263,-184,351,-123,-179,-437,-325,-408
Cash from Financing Activity +,565,548,161,477,-167,-170,335,-85,-230,-291,-183,-189
Net Cash Flow,89,766,181,-225,-178,-234,105,-347,239,101,210,46
Free Cash Flow,29,113,162,-409,179,28,-595,-201,612,730,609,566
CFO/OP,81%,268%,117%,1%,357%,185%,177%,76%,391%,201%,170%,159%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,73,50,42,28,46,25,59,45,41,32,28,29
Inventory Days,,,,,,,,,,,,
Days Payable,,,,,,,,,,,,
Cash Conversion Cycle,73,50,42,28,46,25,59,45,41,32,28,29
Working Capital Days,-15,-61,-52,-38,-66,-78,-540,-235,-102,-89,-63,-75
ROCE %,17%,9%,10%,6%,2%,1%,-14%,-11%,5%,19%,19%,15%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,72.34%,72.34%,63.83%,63.83%,63.83%,63.83%,63.83%,63.83%,63.83%,63.83%,63.83%,63.83%
FIIs +,0.47%,0.57%,1.83%,2.29%,3.16%,3.58%,4.38%,4.52%,4.41%,5.32%,7.28%,7.56%
DIIs +,9.02%,8.14%,9.26%,8.64%,9.10%,9.84%,9.48%,8.10%,7.78%,7.33%,6.83%,6.54%
Government +,0.00%,0.00%,0.06%,0.08%,0.07%,0.08%,0.09%,0.10%,0.12%,0.12%,0.11%,0.10%
Public +,16.85%,17.74%,23.88%,24.07%,22.76%,21.64%,21.21%,22.44%,22.86%,22.43%,20.98%,21.01%
Others +,1.33%,1.21%,1.11%,1.08%,1.06%,1.03%,1.00%,1.00%,0.98%,0.97%,0.96%,0.94%
No. of Shareholders,"77,943","77,928","82,595","93,080","95,491","98,842","1,04,120","1,17,253","1,17,383","1,15,989","1,09,844","1,09,061"

--- CAGR BOXES ---




