--- ABOUT ---
PVR Limited (PVR) is India’s largest and most premium film exhibition company. It pioneered the multiplex revolution in India by establishing the first multiplex cinema in 1997 at New Delhi and continues to lead the market with relentless focus on innovation and operational excellence to democratise big‑screen movie experience. It currently operates a cinema network of 1763 screens across 111 cities and 355 cinemas with ~1.8 lakh seats. [1]

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"9,318",949,"1,250",39.4

Book Value,Dividend Yield,ROCE,ROE
751,0.00,6.96,3.28

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"1,143","1,305","2,000","1,546","1,256","1,191","1,622","1,717","1,230","1,469","1,823","1,850","1,547"
Expenses +,879,952,"1,293","1,074",978,939,"1,143","1,190",941,"1,072","1,212","1,225","1,096"
Operating Profit,264,352,707,472,278,252,479,528,289,397,612,625,452
OPM %,23%,27%,35%,31%,22%,21%,30%,31%,24%,27%,34%,34%,29%
Other Income +,11,25,24,59,49,29,42,42,54,32,36,-9,244
Interest,189,194,200,197,200,204,206,203,196,191,188,180,173
Depreciation,296,291,309,317,303,314,329,320,316,308,317,316,330
Profit before tax,-210,-108,222,18,-175,-238,-15,46,-168,-70,142,119,192
Tax %,59%,-24%,25%,27%,-26%,-25%,-18%,23%,-25%,-22%,26%,20%,3%
Net Profit +,-334,-82,166,13,-130,-179,-12,36,-125,-54,106,95,186
EPS in Rs,-34.03,-8.33,16.95,1.30,-13.20,-18.21,-1.20,3.66,-12.73,-5.50,10.76,9.75,19.01
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"1,477","1,850","2,119","2,334","3,086","3,414",280,"1,329","3,751","6,107","5,780","6,646"
Expenses +,"1,271","1,551","1,799","1,933","2,499","2,338",616,"1,224","2,703","4,297","4,238","4,551"
Operating Profit,206,299,320,401,587,"1,076",-336,105,"1,048","1,810","1,542","2,095"
OPM %,14%,16%,15%,17%,19%,32%,-120%,8%,28%,30%,27%,32%
Other Income +,2,45,52,30,32,38,469,326,68,157,173,292
Interest,78,84,81,84,128,482,498,498,572,791,810,733
Depreciation,117,115,138,154,191,542,575,614,753,"1,219","1,280","1,270"
Profit before tax,12,145,153,194,299,90,-939,-681,-209,-44,-374,384
Tax %,7%,32%,37%,36%,37%,70%,-20%,-28%,61%,-26%,-25%,13%
Net Profit +,12,99,96,124,189,27,-748,-489,-336,-33,-281,333
EPS in Rs,2.86,19.58,19.08,24.84,37.81,4.95,-123.07,-80.04,-34.21,-3.26,-28.47,34.02
Dividend Payout %,33%,10%,10%,8%,5%,75%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,42,47,47,47,47,51,61,61,98,98,98,98
Reserves,368,835,918,"1,029","1,449","1,429","1,773","1,309","7,232","7,225","6,953","7,280"
Borrowings +,747,660,820,831,"1,282","1,295","5,003","5,196","8,052","8,304","7,775","6,779"
Other Liabilities +,273,356,440,442,"1,062","4,653",665,757,"1,091","1,191","1,435","1,454"
Total Liabilities,"1,429","1,897","2,225","2,348","3,840","7,428","7,502","7,323","16,474","16,818","16,261","15,612"
Fixed Assets +,860,"1,000","1,509","1,590","2,742","5,886","5,475","5,407","14,209","14,478","13,906","13,373"
CWIP,80,76,106,102,221,155,217,64,247,246,96,32
Investments,2,2,2,21,11,2,1,0,0,16,1,2
Other Assets +,486,820,609,636,866,"1,385","1,808","1,851","2,017","2,077","2,258","2,205"
Total Assets,"1,429","1,897","2,225","2,348","3,840","7,428","7,502","7,323","16,474","16,818","16,261","15,612"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,155,354,320,446,830,787,-413,167,864,"1,979","1,967","2,160"
Cash from Investing Activity +,-205,-331,-632,-363,"-1,006",-390,-289,-3,-339,-627,-303,-29
Cash from Financing Activity +,49,217,60,-66,142,-211,"1,075",-217,-694,"-1,292","-1,535","-2,065"
Net Cash Flow,-1,240,-252,18,-34,186,374,-53,-169,60,130,66
Free Cash Flow,-14,120,-313,108,395,403,-529,42,230,"1,352","1,642","1,906"
CFO/OP,79%,125%,110%,122%,156%,76%,125%,149%,82%,108%,125%,103%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,19,18,18,24,22,20,40,22,18,14,15,15
Inventory Days,43,60,50,45,46,42,354,,,,,57
Days Payable,520,502,515,576,562,432,"2,879",,,,,462
Cash Conversion Cycle,-458,-424,-448,-506,-494,-370,"-2,485",22,18,14,15,-391
Working Capital Days,-51,-41,-62,-68,-82,-92,"-1,122",-315,-152,-106,-123,-101
ROCE %,8%,17%,14%,15%,18%,20%,-9%,-3%,3%,5%,3%,7%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,27.62%,27.84%,27.84%,27.84%,27.84%,27.49%,27.49%,27.53%,27.53%,27.53%,27.53%,27.53%
FIIs +,26.83%,23.26%,21.83%,16.80%,18.07%,20.69%,19.21%,20.39%,19.71%,21.80%,21.16%,17.86%
DIIs +,33.15%,37.19%,39.22%,40.21%,38.78%,39.85%,40.03%,36.30%,36.52%,35.35%,34.51%,36.43%
Public +,12.42%,11.72%,11.10%,15.14%,15.29%,11.97%,13.28%,15.78%,16.25%,15.32%,16.80%,18.19%
No. of Shareholders,"2,11,231","1,95,705","2,02,024","2,49,669","2,63,443","2,34,795","2,48,692","2,67,019","2,64,090","2,49,222","2,41,371","2,38,892"

--- CAGR BOXES ---




