--- ABOUT ---
"Incorporated in 2007, 5paisa Capital Ltd provides broking services in the Indian capital markets [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,525",325,436,34.5

Book Value,Dividend Yield,ROCE,ROE
138,0.00,9.93,7.05

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,91,85,97,100,113,102,101,85,71,78,77,79,85
Expenses +,65,59,63,70,92,65,62,55,50,52,54,52,60
Operating Profit,25,26,34,30,21,37,38,30,21,25,23,27,26
OPM %,28%,30%,35%,30%,18%,36%,38%,35%,30%,32%,30%,34%,30%
Other Income +,1,0,0,0,0,0,0,0,0,0,0,0,0
Interest,5,4,6,8,10,7,6,5,5,7,8,8,9
Depreciation,2,2,2,2,3,3,3,3,3,2,2,2,2
Profit before tax,19,19,25,20,8,27,29,22,13,15,13,17,15
Tax %,25%,25%,23%,25%,24%,25%,25%,25%,25%,26%,26%,26%,25%
Net Profit +,14,15,19,15,6,20,22,16,10,12,9,12,11
EPS in Rs,3.13,3.16,4.13,3.23,1.24,4.29,4.68,3.46,2.15,2.46,2.02,2.62,2.32
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,7,20,61,108,195,298,338,395,360,320
Expenses +,22,51,78,99,150,251,252,284,232,219
Operating Profit,-15,-32,-17,10,45,47,87,111,127,101
OPM %,-199%,-161%,-28%,9%,23%,16%,26%,28%,35%,32%
Other Income +,-0,-0,0,0,0,0,1,0,0,0
Interest,1,1,7,15,21,23,21,29,24,33
Depreciation,0,1,1,4,5,5,9,10,12,9
Profit before tax,-16,-33,-25,-10,20,18,58,72,91,59
Tax %,-29%,-24%,-25%,-18%,26%,26%,25%,25%,25%,25%
Net Profit +,-12,-25,-19,-8,15,14,44,54,68,44
EPS in Rs,-2.20,-6.62,-4.96,-2.07,3.84,3.12,9.47,11.63,14.55,9.43
Dividend Payout %,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%

--- BALANCE SHEET ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,13,13,13,25,26,29,31,31,31,31
Reserves,76,50,32,113,131,345,433,509,572,618
Borrowings +,-0,16,92,219,234,279,169,336,217,379
Other Liabilities +,21,52,145,266,477,956,"1,009","1,172",846,879
Total Liabilities,109,131,282,624,867,"1,609","1,642","2,048","1,667","1,907"
Fixed Assets +,0,2,2,8,8,11,16,24,20,18
CWIP,0,0,0,2,-0,0,-0,0,0,-0
Investments,-0,-0,3,9,9,14,8,2,2,2
Other Assets +,109,129,277,605,851,"1,583","1,618","2,021","1,645","1,887"
Total Assets,109,131,282,624,867,"1,609","1,642","2,048","1,667","1,907"

--- CASH FLOW ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-21,-51,15,-237,2,-141,25,-92,98,-104
Cash from Investing Activity +,2,-5,1,39,-1,-12,-8,-13,-7,-7
Cash from Financing Activity +,87,-1,27,156,-4,225,-85,154,-141,127
Net Cash Flow,68,-56,43,-42,-3,73,-68,50,-51,17
Free Cash Flow,-21,-53,14,-248,-0,-147,12,-111,91,-110
CFO/OP,142%,161%,-91%,"-2,481%",5%,-294%,32%,-68%,93%,-85%

--- RATIOS ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,20,10,12,0,-0,0,0,0,0,0
Inventory Days,,,,,,,,,,
Days Payable,,,,,,,,,,
Cash Conversion Cycle,20,10,12,0,-0,0,0,0,0,0
Working Capital Days,-210,-320,-555,-477,-577,"-1,026",-941,-899,-785,-874
ROCE %,,-39%,-17%,2%,11%,8%,12%,13%,14%,10%

--- SHAREHOLDING PATTERN ---
,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Apr 2026
Promoters +,33.27%,32.84%,32.80%,32.78%,32.77%,32.76%,32.75%,32.75%,32.74%,32.78%,32.76%,36.50%
FIIs +,23.08%,22.37%,22.66%,22.70%,21.58%,21.59%,21.57%,21.62%,21.68%,12.36%,12.41%,15.07%
DIIs +,0.00%,0.20%,0.29%,0.25%,0.25%,0.25%,0.25%,0.26%,0.25%,0.01%,0.01%,0.01%
Public +,43.63%,44.57%,44.24%,44.27%,45.40%,45.38%,45.41%,45.37%,45.32%,54.83%,54.80%,48.42%
Others +,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%
No. of Shareholders,"32,049","33,164","42,465","44,686","54,757","58,385","58,095","56,884","55,170","55,308","52,243","52,531"

--- CAGR BOXES ---




