--- ABOUT ---
"Apollo, established in 1972, manufactures automatic bias and radial tyres, and tubes. It has plants in Kochi, Vadodara, Pune, and Chennai. The product profile includes prominent tyre brands in the T&B, light truck, passenger car, and farm vehicle segments in India, catering to both original equipment manufacturers, and the replacement market. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"27,024",426,540,13.0

Book Value,Dividend Yield,ROCE,ROE
263,1.41,13.8,13.2

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"6,247","6,245","6,280","6,595","6,258","6,335","6,437","6,928","6,424","6,561","6,831","7,743","7,336"
Expenses +,"5,249","5,193","5,120","5,387","5,230","5,426","5,559","5,981","5,586","5,693","5,810","6,557","6,267"
Operating Profit,998,"1,051","1,160","1,208","1,028",909,878,947,837,868,"1,021","1,186","1,069"
OPM %,16%,17%,18%,18%,16%,14%,14%,14%,13%,13%,15%,15%,15%
Other Income +,40,22,13,3,38,-10,17,4,-91,-351,-150,23,-421
Interest,139,135,133,123,115,107,120,111,109,101,101,100,90
Depreciation,372,362,360,368,388,370,376,376,377,378,383,385,397
Profit before tax,527,576,680,721,563,423,399,465,260,38,386,723,162
Tax %,22%,31%,30%,31%,37%,29%,25%,27%,29%,66%,33%,35%,-290%
Net Profit +,410,397,474,497,354,302,297,337,185,13,258,471,631
EPS in Rs,6.46,6.25,7.47,7.82,5.58,4.76,4.68,5.31,2.91,0.20,4.06,7.41,9.93
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"12,815","11,849","13,180","14,843","17,549","16,350","17,397","20,948","24,568","25,378","26,123","28,471"
Expenses +,"10,876","9,840","11,313","13,175","15,573","14,392","14,579","18,353","21,235","20,909","22,528","24,327"
Operating Profit,"1,939","2,008","1,867","1,668","1,976","1,958","2,818","2,595","3,333","4,468","3,595","4,143"
OPM %,15%,17%,14%,11%,11%,12%,16%,12%,14%,18%,14%,15%
Other Income +,-31,110,148,114,-77,24,-478,118,64,77,-80,-900
Interest,189,101,118,177,199,300,463,465,551,527,470,392
Depreciation,388,427,462,593,813,"1,138","1,315","1,400","1,419","1,478","1,498","1,543"
Profit before tax,"1,331","1,591","1,436","1,012",888,543,561,848,"1,427","2,540","1,547","1,309"
Tax %,27%,29%,23%,28%,23%,12%,38%,25%,27%,32%,28%,-5%
Net Profit +,978,"1,123","1,099",724,680,476,350,639,"1,046","1,722","1,121","1,372"
EPS in Rs,19.21,22.06,21.59,12.65,11.88,8.33,5.51,10.06,16.47,27.11,17.66,21.61
Dividend Payout %,10%,9%,14%,24%,27%,36%,63%,32%,27%,22%,28%,28%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,51,51,51,57,57,57,64,64,64,64,64,64
Reserves,"4,991","6,554","7,239","9,719","9,983","9,873","11,380","11,689","12,515","13,839","14,702","16,652"
Borrowings +,"1,106","1,547","3,437","4,661","5,111","6,764","7,334","7,061","6,421","4,905","4,410","3,675"
Other Liabilities +,"2,451","3,442","4,507","5,620","5,000","6,512","7,040","8,228","8,282","8,068","8,051","8,849"
Total Liabilities,"8,600","11,594","15,233","20,058","20,151","23,205","25,816","27,041","27,281","26,875","27,227","29,240"
Fixed Assets +,"4,382","5,214","6,692","10,403","11,754","15,448","16,420","17,591","17,653","17,006","16,411","16,646"
CWIP,218,994,"2,915","2,304","1,539","1,642","1,107",618,253,348,435,918
Investments,101,506,396,"1,342",6,19,110,481,436,532,45,62
Other Assets +,"3,899","4,880","5,230","6,008","6,852","6,096","8,181","8,350","8,940","8,989","10,335","11,614"
Total Assets,"8,600","11,594","15,233","20,058","20,151","23,205","25,816","27,041","27,281","26,875","27,227","29,240"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,"1,412","2,122",902,"1,720","1,071","2,517","2,447","2,154","2,137","3,440","1,823","3,667"
Cash from Investing Activity +,-796,"-2,226","-3,368","-3,891","-1,027","-2,817","-2,342","-1,172",-478,-704,-202,"-1,341"
Cash from Financing Activity +,-684,-255,"1,895","2,321",-62,472,152,"-1,081","-1,692","-2,659","-1,647","-2,177"
Net Cash Flow,-68,-358,-571,150,-18,173,257,-100,-34,76,-25,149
Free Cash Flow,781,507,"-2,361","-1,348","-1,203",-288,"1,291",337,"1,374","2,766","1,093","2,312"
CFO/OP,88%,125%,66%,118%,65%,133%,94%,88%,71%,86%,62%,99%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,27,33,31,35,27,21,29,36,37,38,43,41
Inventory Days,92,119,140,128,125,129,129,122,110,113,127,128
Days Payable,46,95,92,106,74,93,109,104,85,73,71,76
Cash Conversion Cycle,73,58,80,57,78,57,49,54,63,79,99,93
Working Capital Days,14,2,-5,-0,20,-22,-27,-23,-6,8,22,20
ROCE %,26%,23%,16%,9%,9%,5%,9%,7%,10%,16%,11%,14%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,37.34%,37.34%,37.34%,37.36%,37.36%,37.36%,37.36%,37.36%,36.95%,36.95%,36.93%,36.93%
FIIs +,23.41%,22.10%,17.96%,18.16%,14.46%,14.55%,14.21%,13.43%,12.27%,11.90%,12.26%,12.15%
DIIs +,17.22%,17.74%,22.02%,21.99%,25.12%,25.56%,26.12%,26.51%,27.54%,27.93%,27.89%,27.56%
Government +,1.57%,1.57%,1.57%,1.57%,1.57%,1.57%,1.57%,1.57%,1.57%,1.57%,1.57%,1.57%
Public +,20.46%,21.26%,21.10%,20.93%,21.48%,20.97%,20.73%,21.13%,21.44%,21.38%,21.06%,21.38%
Others +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.22%,0.26%,0.28%,0.40%
No. of Shareholders,"2,86,777","3,33,827","3,36,846","3,72,372","4,24,206","4,29,251","4,17,861","4,27,248","4,21,813","4,24,104","4,01,081","4,08,704"

--- CAGR BOXES ---




