--- ABOUT ---
"Incorporated in 1939, Godavari Biorefineries Ltd is a manufacturer of Bio-based Chemicals and Ethanol [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,505",294,354,44.8

Book Value,Dividend Yield,ROCE,ROE
154,0.00,6.55,4.28

Face Value
10.0

--- QUARTERLY RESULTS ---
,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,239,398,615,523,321,447,580,533,431,460,564
Expenses +,271,353,501,535,354,411,467,527,439,417,478
Operating Profit,-32,45,114,-12,-33,36,112,6,-8,43,86
OPM %,-13%,11%,18%,-2%,-10%,8%,19%,1%,-2%,9%,15%
Other Income +,1,2,11,3,1,4,9,1,-23,-6,9
Interest,20,18,20,20,20,19,13,15,12,10,11
Depreciation,15,16,14,13,12,12,13,14,14,14,14
Profit before tax,-65,13,91,-42,-64,8,96,-22,-57,13,70
Tax %,0%,-201%,28%,-37%,17%,32%,25%,-28%,-27%,39%,25%
Net Profit +,-65,38,65,-26,-75,6,72,-16,-42,8,53
EPS in Rs,-15.53,9.16,15.54,-6.23,-17.88,1.13,14.06,-3.13,-8.13,1.61,10.33
Raw PDF,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"1,459","1,538","1,702","2,015","1,687","1,870","1,988"
Expenses +,"1,356","1,381","1,568","1,867","1,553","1,766","1,861"
Operating Profit,103,158,134,147,134,104,127
OPM %,7%,10%,8%,7%,8%,6%,6%
Other Income +,14,8,6,7,14,16,-19
Interest,69,72,60,73,76,72,49
Depreciation,45,47,48,50,60,50,54
Profit before tax,3,46,32,32,12,-2,5
Tax %,-24%,41%,40%,38%,1%,"1,421%",23%
Net Profit +,4,27,19,20,12,-23,4
EPS in Rs,0.97,6.47,4.55,4.68,2.93,-4.57,0.69
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,42,42,42,42,42,51,51
Reserves,385,412,431,448,459,731,737
Borrowings +,589,569,636,736,655,490,531
Other Liabilities +,418,419,625,518,836,683,733
Total Liabilities,"1,434","1,442","1,734","1,744","1,992","1,955","2,052"
Fixed Assets +,735,708,667,866,850,862,885
CWIP,17,9,50,17,29,37,129
Investments,0,0,0,0,0,0,0
Other Assets +,683,725,"1,016",860,"1,113","1,055","1,038"
Total Assets,"1,434","1,442","1,734","1,744","1,992","1,955","2,052"

--- CASH FLOW ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,250,130,45,197,185,6,171
Cash from Investing Activity +,-23,-7,-48,-214,-44,-69,-163
Cash from Financing Activity +,-226,-121,6,28,-151,64,-6
Net Cash Flow,1,2,3,11,-10,1,3
Free Cash Flow,223,119,-5,-20,130,-65,6
CFO/OP,242%,82%,34%,135%,140%,6%,136%

--- RATIOS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,31,40,37,37,41,27,21
Inventory Days,130,146,200,137,250,195,198
Days Payable,123,132,176,105,195,140,146
Cash Conversion Cycle,39,55,61,68,95,82,74
Working Capital Days,-68,1,3,2,-14,21,16
ROCE %,,12%,9%,9%,7%,6%,7%

--- SHAREHOLDING PATTERN ---
,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,63.31%,63.31%,63.31%,63.31%,63.31%,63.31%
FIIs +,1.14%,0.96%,0.63%,0.60%,0.86%,0.98%
DIIs +,14.88%,14.17%,13.98%,11.98%,11.16%,10.39%
Public +,20.67%,21.56%,22.09%,24.11%,24.67%,25.31%
No. of Shareholders,"1,00,685","99,078","96,217","93,915","91,344","88,777"

--- CAGR BOXES ---




