--- ABOUT ---
"Campus Activewear Limited (“Campus”) was incorporated on September 24, 2008, and is one of India’s largest sports and athleisure footwear brands in terms of value and volume. The company manufactures and distributes a variety of footwear like Running Shoes, Walking Shoes, Casual Shoes, Floaters, Slippers, Flip Flops, and Sandals, available in multiple colors, styles, and at affordable prices. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"7,258",237,304,53.4

Book Value,Dividend Yield,ROCE,ROE
,0.63,31.8,29.5

Face Value
5.00

--- QUARTERLY RESULTS ---
,Mar 2021,Jun 2021,Dec 2021,Mar 2022,Jun 2022
Sales +,275,135,434,352,338
Expenses +,210,120,341,274,276
Operating Profit,65,15,93,78,62
OPM %,24%,11%,21%,22%,18%
Other Income +,0,1,0,0,1
Interest,4,4,5,6,6
Depreciation,11,11,14,15,15
Profit before tax,50,1,75,57,42
Tax %,80%,-151%,27%,31%,32%
Net Profit +,10,2,55,40,29
EPS in Rs,0.66,0.13,1.80,1.30,0.94
Raw PDF,,,,,

--- ANNUAL RESULTS ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Sales +,2,508,595,732,711,"1,194"
Expenses +,3,431,495,596,595,952
Operating Profit,-1,77,100,136,116,242
OPM %,-57%,15%,17%,19%,16%,20%
Other Income +,0,0,2,2,4,1
Interest,0,21,21,17,17,20
Depreciation,0,36,14,23,33,53
Profit before tax,-1,20,66,99,70,171
Tax %,3%,63%,42%,37%,62%,37%
Net Profit +,-1,7,39,62,27,108
EPS in Rs,-145.00,741.01,"3,947.58",4.06,1.77,3.57
Dividend Payout %,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Equity Capital,0.08,0.10,0.10,152,152,152
Reserves,-1,298,202,133,161,275
Borrowings +,347,174,199,276,177,289
Other Liabilities +,170,134,106,162,199,247
Total Liabilities,516,606,506,722,689,964
Fixed Assets +,288,282,100,169,256,322
CWIP,0,13,25,35,0,2
Investments,0,0,0,0,0,0
Other Assets +,228,310,381,518,433,639
Total Assets,516,606,506,722,689,964

--- CASH FLOW ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Cash from Operating Activity +,100,-38,54,99,124,18
Cash from Investing Activity +,-291,-47,-29,-155,-9,-34
Cash from Financing Activity +,193,84,-26,69,-129,16
Net Cash Flow,2,-1,0,14,-14,-1
Free Cash Flow,100,-81,26,-10,69,-15
CFO/OP,"-9,003%",-40%,64%,102%,129%,25%

--- RATIOS ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Debtor Days,"27,766",137,99,72,50,41
Inventory Days,"18,058",113,135,166,202,219
Days Payable,"31,435",118,92,118,167,120
Cash Conversion Cycle,"14,390",131,143,120,86,139
Working Capital Days,"-18,756",13,33,19,63,69
ROCE %,,10%,20%,24%,17%,32%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,73.94%,73.89%,73.88%,73.88%,73.87%,73.87%,73.84%,72.14%,72.13%,72.13%,72.11%,72.09%
FIIs +,11.49%,9.25%,5.94%,5.22%,5.94%,5.67%,5.35%,6.61%,6.67%,5.99%,6.15%,6.07%
DIIs +,6.63%,4.82%,7.07%,7.79%,9.44%,11.81%,11.40%,11.12%,11.79%,11.82%,11.71%,11.60%
Public +,7.93%,12.06%,13.12%,13.10%,10.76%,8.66%,9.40%,10.13%,9.42%,10.06%,10.03%,10.24%
No. of Shareholders,"1,91,736","2,65,590","2,65,079","2,84,564","2,53,286","2,11,263","2,11,896","2,11,265","1,98,551","1,97,302","1,87,304","1,79,881"

--- CAGR BOXES ---




