--- ABOUT ---
"Solara Active Pharma Sciences Ltd is engaged in business of manufacturing, production, processing, formulating, sale, import, export, merchandising, distributing, trading of APIs. [1] It was formed through demerger of API business from Strides Shasun Ltd (currently named as Stride Pharma Sciences). Subsequently, it also acquired the human API business from Sequent Scientific Ltd during the same time, making it a pure play API company. [2]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"2,691",563,734,

Book Value,Dividend Yield,ROCE,ROE
346,0.00,4.86,-0.13

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,380.62,352.31,425.24,211.94,299.43,363.49,346.95,300.31,273.01,319.15,313.54,349.00,387.29
Expenses +,331.85,333.19,387.61,373.63,289.67,321.57,285.64,242.63,227.64,262.13,278.81,311.66,329.63
Operating Profit,48.77,19.12,37.63,-161.69,9.76,41.92,61.31,57.68,45.37,57.02,34.73,37.34,57.66
OPM %,12.81%,5.43%,8.85%,-76.29%,3.26%,11.53%,17.67%,19.21%,16.62%,17.87%,11.08%,10.70%,14.89%
Other Income +,4.68,2.04,-4.04,-62.32,-120.48,0.56,0.32,1.49,5.95,0.98,0.49,-6.75,5.55
Interest,21.96,24.61,24.44,25.37,30.69,30.87,28.28,26.54,29.12,23.90,20.83,22.45,27.57
Depreciation,26.45,25.91,26.21,25.96,25.25,25.07,25.34,24.54,24.30,23.58,24.49,25.57,26.04
Profit before tax,5.04,-29.36,-17.06,-275.34,-166.66,-13.46,8.01,8.09,-2.10,10.52,-10.10,-17.43,9.60
Tax %,25.40%,-34.91%,0.00%,0.00%,53.28%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Net Profit +,3.76,-19.11,-17.06,-275.34,-255.45,-13.46,8.01,8.09,-2.10,10.52,-10.10,-17.43,9.60
EPS in Rs,0.79,-4.07,-3.58,-57.36,-53.20,-3.74,2.22,2.24,-0.58,2.91,-2.79,-4.82,2.65
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,521,"1,387","1,322","1,617","1,268","1,444","1,289","1,284","1,369"
Expenses +,464,"1,174","1,062","1,231","1,188","1,309","1,384","1,077","1,182"
Operating Profit,57,213,260,386,81,134,-95,206,187
OPM %,11%,15%,20%,24%,6%,9%,-7%,16%,14%
Other Income +,2,12,27,29,16,22,-185,8,0
Interest,25,82,78,84,75,90,105,115,95
Depreciation,34,83,94,109,112,111,103,99,100
Profit before tax,0,60,115,222,-91,-45,-488,1,-7
Tax %,-70%,1%,0%,0%,-36%,-50%,16%,0%,0%
Net Profit +,0,59,115,221,-58,-22,-567,1,-7
EPS in Rs,,17.30,32.01,46.22,-12.11,-4.62,-118.21,0.15,-2.05
Dividend Payout %,0%,22%,5%,11%,0%,-49%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,25,26,27,36,36,36,36,40,45
Reserves,739,930,"1,059","1,553","1,489","1,464",898,"1,054","1,208"
Borrowings +,633,538,722,621,"1,037","1,013","1,012",796,687
Other Liabilities +,425,466,346,404,383,386,406,342,393
Total Liabilities,"1,821","1,960","2,153","2,614","2,945","2,899","2,351","2,232","2,333"
Fixed Assets +,"1,086","1,218","1,397","1,382","1,356","1,364","1,268","1,193","1,238"
CWIP,71,40,40,88,239,238,256,280,205
Investments,1,0,0,0,0,2,2,2,5
Other Assets +,663,701,716,"1,144","1,350","1,295",825,757,886
Total Assets,"1,821","1,960","2,153","2,614","2,945","2,899","2,351","2,232","2,333"

--- CASH FLOW ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,49,166,242,155,-242,156,109,213,153
Cash from Investing Activity +,-85,-113,-359,-106,-243,-81,-4,-37,-99
Cash from Financing Activity +,68,-23,97,92,334,-113,-106,-180,-54
Net Cash Flow,31,30,-20,142,-151,-38,-0,-4,1
Free Cash Flow,14,108,-25,-16,-451,46,69,173,101
CFO/OP,92%,85%,103%,49%,-277%,106%,-113%,104%,83%

--- RATIOS ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
