--- ABOUT ---
"Incorporated in 2013, Aether Industries Limited is a manufacturer of specialty chemicals. The company is sole Indian manufacturer for chemicals such as 4-(2-Methoxyethyl) Phenol (4MEP), and 3-Methoxy-2-Methylbenzoyl Chloride (MMBC), Thiophene-2-Ethanol (T2E), Ortho Tolyl Benzo Nitrile (OTBN), N-Octyl-D-Glucamine, Delta-Valerolactone, and Bifenthrin Alcohol. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"15,425","1,162","1,275",68.2

Book Value,Dividend Yield,ROCE,ROE
185,0.00,11.9,9.66

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,184,161,164,155,118,180,199,220,240,256,280,319,305
Expenses +,124,116,118,124,107,137,145,155,161,175,192,207,222
Operating Profit,60,45,46,31,10,43,54,65,80,81,88,112,83
OPM %,32%,28%,28%,20%,9%,24%,27%,29%,33%,32%,31%,35%,27%
Other Income +,1,2,14,5,4,9,8,11,2,-0,6,-4,10
Interest,1,1,2,2,4,3,2,3,5,5,3,4,6
Depreciation,7,9,10,10,10,10,11,11,13,14,17,17,18
Profit before tax,52,37,49,24,0,39,49,61,64,62,74,87,68
Tax %,28%,19%,25%,27%,486%,24%,28%,29%,21%,24%,27%,26%,21%
Net Profit +,38,30,37,17,-1,30,35,43,50,47,54,64,54
EPS in Rs,3.02,2.25,2.77,1.31,-0.11,2.26,2.63,3.27,3.79,3.55,4.07,4.86,4.07
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,590,651,598,839,"1,160"
Expenses +,422,465,466,598,796
Operating Profit,168,186,132,241,364
OPM %,28%,29%,22%,29%,31%
Other Income +,7,17,25,30,12
Interest,13,5,9,13,18
Depreciation,15,23,40,45,66
Profit before tax,146,174,110,213,291
Tax %,26%,25%,25%,26%,25%
Net Profit +,109,130,82,158,219
EPS in Rs,9.67,10.47,6.22,11.95,16.54
Dividend Payout %,-0%,-0%,-0%,-0%,-0%

--- BALANCE SHEET ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,113,125,133,133,133
Reserves,274,"1,120","1,931","2,093","2,323"
Borrowings +,291,16,183,200,458
Other Liabilities +,92,120,154,218,288
Total Liabilities,770,"1,380","2,401","2,644","3,201"
Fixed Assets +,257,646,853,"1,117","1,506"
CWIP,58,37,232,363,506
Investments,17,1,0,0,0
Other Assets +,438,695,"1,315","1,163","1,189"
Total Assets,770,"1,380","2,401","2,644","3,201"

--- CASH FLOW ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-5,-7,-16,100,142
Cash from Investing Activity +,-151,-348,-424,-418,-619
Cash from Financing Activity +,169,439,894,2,244
Net Cash Flow,12,84,453,-316,-233
Free Cash Flow,-157,-363,-444,-352,-390
CFO/OP,17%,14%,1%,57%,54%

--- RATIOS ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,101,145,142,126,123
Inventory Days,221,301,411,356,326
Days Payable,95,99,124,114,120
Cash Conversion Cycle,227,348,429,367,330
Working Capital Days,82,268,279,238,160
ROCE %,,18%,7%,10%,12%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,81.80%,81.80%,81.79%,81.79%,81.79%,81.78%,81.77%,81.77%,74.99%,74.99%,74.98%,74.94%
FIIs +,1.87%,2.44%,1.97%,2.22%,2.90%,3.17%,3.32%,3.33%,5.03%,4.64%,5.81%,6.29%
DIIs +,13.65%,12.99%,11.79%,11.82%,11.55%,11.63%,11.49%,11.43%,13.41%,12.97%,12.25%,12.66%
Public +,2.67%,2.76%,4.44%,4.16%,3.74%,3.40%,3.41%,3.47%,6.55%,7.39%,6.96%,6.10%
No. of Shareholders,"55,208","60,466","84,000","78,655","71,683","67,251","66,677","64,034","72,628","73,806","67,806","65,562"

--- CAGR BOXES ---




