--- ABOUT ---
"Ashok Leyland is the flagship Company of the Hinduja group, having a long-standing presence in the domestic medium and heavy commercial vehicle (M&HCV) segment. The company has a strong brand and well-diversified distribution and service network across the country and has a presence in 50 countries, it is one of the most fully-integrated manufacturing companies. Its headquarter is in Chennai [1] They manage driver training institutes across India and have trained over 8,00,000 drivers since inception. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"92,020",157,215,24.7

Book Value,Dividend Yield,ROCE,ROE
24.2,2.23,13.8,28.1

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"13,203","9,691","11,429","11,093","13,542","10,724","11,148","11,995","14,696","11,709","12,577","14,830","17,246"
Expenses +,"11,245","8,183","9,559","9,131","10,975","8,856","9,108","9,659","11,705","9,535","10,136","12,008","13,938"
Operating Profit,"1,958","1,509","1,870","1,961","2,567","1,868","2,040","2,336","2,991","2,173","2,441","2,822","3,308"
OPM %,15%,16%,16%,18%,19%,17%,18%,19%,20%,19%,19%,19%,19%
Other Income +,97,53,-1,46,10,36,245,75,22,103,103,-140,186
Interest,582,655,715,783,829,904,962,"1,011","1,053","1,112","1,152","1,200","1,241"
Depreciation,259,227,227,241,233,235,244,268,340,273,268,282,314
Profit before tax,"1,214",679,927,984,"1,516",765,"1,078","1,132","1,621",891,"1,124","1,200","1,940"
Tax %,34%,14%,39%,38%,38%,28%,29%,28%,23%,26%,27%,28%,29%
Net Profit +,803,584,569,609,934,551,767,820,"1,246",658,820,862,"1,381"
EPS in Rs,1.28,0.93,0.90,0.95,1.45,0.87,1.20,1.30,1.92,1.04,1.29,1.38,2.20
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"15,708","21,260","22,871","29,636","33,197","21,951","19,454","26,237","41,673","45,703","48,535","56,362"
Expenses +,"14,191","18,281","19,826","25,387","28,287","18,718","16,992","23,472","36,580","37,848","39,327","45,617"
Operating Profit,"1,517","2,979","3,045","4,248","4,910","3,233","2,462","2,765","5,093","7,856","9,208","10,745"
OPM %,10%,14%,13%,14%,15%,15%,13%,11%,12%,17%,19%,19%
Other Income +,-106,-321,406,190,139,57,207,-230,166,160,405,252
Interest,872,925,"1,049","1,227","1,502","1,802","1,901","1,869","2,094","2,982","3,930","4,705"
Depreciation,580,524,573,646,676,750,836,866,900,927,"1,087","1,138"
Profit before tax,-42,"1,209","1,829","2,565","2,872",739,-67,-200,"2,265","4,106","4,596","5,155"
Tax %,415%,41%,11%,29%,24%,38%,4%,43%,40%,34%,26%,28%
Net Profit +,-205,712,"1,633","1,814","2,195",460,-70,-285,"1,359","2,696","3,383","3,721"
EPS in Rs,0.24,1.20,2.79,3.01,3.54,0.57,-0.28,-0.61,2.11,4.23,5.29,5.91
Dividend Payout %,96%,40%,28%,40%,44%,44%,-107%,-82%,62%,59%,59%,59%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,285,285,285,293,294,294,294,294,294,294,294,587
Reserves,"4,227","4,979","6,108","7,128","8,452","7,495","7,568","7,010","8,258","8,711","11,938","13,654"
Borrowings +,"9,070","11,054","13,168","15,791","19,168","22,417","24,077","24,145","31,161","40,802","49,962","63,936"
Other Liabilities +,"6,011","5,806","7,048","10,171","11,212","7,924","10,119","12,125","14,984","17,788","19,352","22,863"
Total Liabilities,"19,592","22,123","26,609","33,383","39,126","38,130","42,058","43,574","54,697","67,595","81,546","101,041"
Fixed Assets +,"6,529","5,890","6,591","6,596","6,695","8,031","8,484","7,895","8,146","8,157","8,837","10,826"
CWIP,216,87,244,439,678,574,336,240,268,415,577,549
Investments,"1,499","1,031","1,933","4,383","1,492",960,"1,096","2,652","4,852","2,329","6,610","7,467"
Other Assets +,"11,348","15,115","17,841","21,965","30,261","28,565","32,143","32,787","41,430","56,695","65,523","82,199"
Total Assets,"19,592","22,123","26,609","33,383","39,126","38,130","42,058","43,574","54,697","67,595","81,546","101,041"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,95,"-1,275",270,"1,462","-3,745",383,"-1,065","2,845","-4,499","-6,258",128,"-4,895"
Cash from Investing Activity +,-124,456,"-1,676","-3,163","1,897","-1,201",-973,"-1,917","-2,904","1,135","-5,759","-7,016"
Cash from Financing Activity +,781,"1,660",738,"1,905","2,398","1,239","1,331",-378,"7,281","8,432","6,958","11,617"
Net Cash Flow,752,841,-668,205,549,421,-707,550,-122,"3,309","1,327",-293
Free Cash Flow,162,"-1,331",-166,823,"-4,841",-940,"-1,791","2,443","-5,353","-7,346","-1,471","-7,712"
CFO/OP,14%,-25%,24%,48%,-61%,19%,-45%,105%,-77%,-69%,14%,-32%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,31,25,20,14,30,25,57,45,37,31,25,20
Inventory Days,58,50,73,42,52,42,76,53,44,50,49,50
Days Payable,108,71,85,96,88,90,162,150,96,85,99,100
Cash Conversion Cycle,-19,5,8,-39,-6,-22,-30,-52,-16,-4,-24,-30
Working Capital Days,-41,-23,-21,-54,-13,-31,-44,-52,-34,-45,-32,-1
ROCE %,8%,17%,15%,17%,16%,9%,5%,6%,11%,15%,14%,14%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,51.53%,51.53%,51.53%,51.52%,51.52%,51.52%,51.52%,51.52%,51.52%,51.51%,51.51%,51.51%
FIIs +,16.59%,20.21%,20.48%,21.45%,22.03%,24.39%,24.09%,23.50%,23.85%,24.32%,24.41%,24.57%
DIIs +,20.79%,16.51%,14.66%,12.23%,14.12%,12.34%,13.04%,14.06%,13.88%,13.59%,13.73%,13.06%
Government +,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%
Public +,11.02%,11.66%,13.25%,14.72%,12.24%,11.66%,11.28%,10.84%,10.67%,10.51%,10.30%,10.79%
No. of Shareholders,"10,99,982","12,06,482","13,39,744","14,91,397","14,75,874","14,59,212","14,56,048","14,44,998","13,92,223","14,50,991","14,43,916","15,02,640"

--- CAGR BOXES ---




