--- ABOUT ---
"Incorporated in 1961, WS Industries Ltd operates primarily in Infra segment [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
507,66.8,102 / 59.2,215

Book Value,Dividend Yield,ROCE,ROE
52.1,0.00,3.06,0.80

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,50.70,45.83,81.05,110.39,89.12,71.71,62.07,65.59,39.67,26.05,24.05,20.57,20.83
Expenses +,52.65,40.75,68.29,94.91,81.24,64.42,55.83,67.95,40.04,22.75,21.63,20.83,17.21
Operating Profit,-1.95,5.08,12.76,15.48,7.88,7.29,6.24,-2.36,-0.37,3.30,2.42,-0.26,3.62
OPM %,-3.85%,11.08%,15.74%,14.02%,8.84%,10.17%,10.05%,-3.60%,-0.93%,12.67%,10.06%,-1.26%,17.38%
Other Income +,3.55,1.49,0.17,0.14,0.04,0.68,0.83,1.41,1.08,1.08,0.64,0.73,2.01
Interest,1.91,1.52,1.31,1.51,1.63,1.66,1.88,2.31,2.30,2.16,2.26,2.23,2.15
Depreciation,0.08,0.08,0.19,0.20,0.26,0.36,0.55,0.56,0.55,0.44,0.44,0.45,0.44
Profit before tax,-0.39,4.97,11.43,13.91,6.03,5.95,4.64,-3.82,-2.14,1.78,0.36,-2.21,3.04
Tax %,0.00%,0.00%,0.00%,0.00%,-175.95%,37.82%,16.59%,520.16%,-22.90%,23.60%,19.44%,-8.60%,14.80%
Net Profit +,-0.40,4.97,11.43,13.91,16.64,3.70,3.87,-23.69,-1.65,1.36,0.29,-2.02,2.59
EPS in Rs,-0.10,1.11,2.43,2.96,3.31,0.61,0.61,-3.73,-0.24,0.23,0.06,-0.29,0.35
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015 6m,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,13.47,7.07,1.95,2.25,0.33,0.21,0.00,0.00,79.67,326.38,239.04,91.50
Expenses +,29.61,30.28,21.73,0.71,219.79,56.74,6.60,0.53,79.48,285.09,227.86,82.43
Operating Profit,-16.14,-23.21,-19.78,1.54,-219.46,-56.53,-6.60,-0.53,0.19,41.29,11.18,9.07
OPM %,-119.82%,-328.29%,"-1,014.36%",68.44%,"-66,503.03%","-26,919.05%",,,0.24%,12.65%,4.68%,9.91%
Other Income +,0.68,-4.08,23.62,39.54,9.34,0.00,-1.78,-55.38,23.97,1.83,3.95,4.46
Interest,25.30,5.30,3.88,-0.05,4.87,0.02,0.00,3.50,4.31,6.06,8.46,8.80
Depreciation,6.35,11.63,9.19,9.17,9.23,4.21,0.00,0.00,0.21,0.73,2.02,1.77
Profit before tax,-47.11,-44.22,-9.23,31.96,-224.22,-60.76,-8.38,-59.41,19.64,36.33,4.65,2.96
Tax %,-1.53%,1.33%,0.98%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-29.20%,481.72%,25.34%
Net Profit +,-46.39,-44.81,-9.33,31.96,-224.21,-60.76,-8.38,-59.41,19.64,46.94,-17.75,2.21
EPS in Rs,-22.10,-20.62,-4.41,15.12,-85.38,-23.14,-3.19,-22.62,4.70,9.33,-2.77,0.34
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,21.14,21.14,21.14,21.14,26.26,26.26,26.26,26.26,41.80,50.33,63.38,75.90
Reserves,-139.59,-183.18,-193.61,-161.15,-106.79,-111.31,-119.69,-49.42,23.15,87.10,135.08,319.23
Borrowings +,330.84,329.72,305.74,305.74,496.93,113.64,127.70,87.36,64.25,73.66,87.12,68.52
Other Liabilities +,180.65,187.24,168.26,91.46,59.24,44.81,38.35,17.36,109.83,138.15,123.17,76.57
