--- ABOUT ---
"Incorporated in 2010, Zomato Limited is one of the leading online Food Service platforms in terms of the value of food sold. Its offerings include food delivery, dining-out services, Loyalty programs, and others. As of December 31, 2020, Zomato has established a strong footprint across 23 countries with 131,233 active food delivery restaurants, 161,637 active delivery partners, and an average monthly food order of 10.7 million customers. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"2,55,059",264,368,697

Book Value,Dividend Yield,ROCE,ROE
32.1,0.00,2.97,1.19

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"2,056","2,416","2,848","3,288","3,562","4,206","4,799","5,405","5,833","7,167","13,590","16,315","17,292"
Expenses +,"2,282","2,464","2,895","3,237","3,476","4,029","4,573","5,243","5,761","7,052","13,351","15,947","16,806"
Operating Profit,-226,-48,-47,51,86,177,226,162,72,115,239,368,486
OPM %,-11%,-2%,-2%,2%,2%,4%,5%,3%,1%,2%,2%,2%,3%
Other Income +,171,181,212,219,235,236,221,252,368,354,352,348,342
Interest,15,18,16,18,20,25,30,43,56,67,86,107,132
Depreciation,134,130,128,128,140,149,180,247,287,314,376,439,468
Profit before tax,-204,-15,21,124,161,239,237,124,97,88,129,170,228
Tax %,-8%,-113%,-71%,-11%,-9%,-6%,26%,52%,60%,72%,50%,40%,24%
Net Profit +,-188,2,36,138,175,253,176,59,39,25,65,102,174
EPS in Rs,-0.22,0.00,0.04,0.16,0.20,0.29,0.20,0.06,0.04,0.03,0.07,0.11,0.18
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,466,"1,313","2,605","1,994","4,192","7,079","12,114","20,243","54,364"
Expenses +,558,"3,556","4,909","2,461","6,043","8,290","12,071","19,595","53,156"
Operating Profit,-92,"-2,243","-2,305",-467,"-1,851","-1,211",43,648,"1,208"
OPM %,-20%,-171%,-88%,-23%,-44%,-17%,0%,3%,2%
Other Income +,21,"1,285",16,-200,793,682,846,"1,066","1,396"
Interest,6,9,13,10,12,49,72,154,392
Depreciation,29,43,84,138,150,437,526,863,"1,597"
Profit before tax,-107,"-1,010","-2,386",-815,"-1,220","-1,015",291,697,615
Tax %,0%,0%,0%,0%,0%,-4%,-21%,24%,40%
Net Profit +,-107,"-1,010","-2,386",-816,"-1,222",-971,351,527,366
EPS in Rs,"-3,070.18","-28,574.18","-70,096.54","-23,123.76",-1.54,-1.14,0.40,0.55,0.38
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,0.03,0.03,0.03,0.00,764,836,868,907,919
Reserves,"1,036","2,356",457,"7,644","15,741","18,624","19,545","29,410","30,061"
Borrowings +,186,348,326,527,70,507,749,"2,045","4,592"
Other Liabilities +,152,709,"2,117",532,751,"1,632","2,194","3,261","5,164"
Total Liabilities,"1,374","3,413","2,900","8,704","17,327","21,599","23,356","35,623","40,736"
Fixed Assets +,190,389,"1,591","1,539","1,404","6,344","6,448","9,532","12,675"
CWIP,1,1,1,0,1,7,18,51,136
Investments,829,"2,145",324,"2,205","4,718","6,765","11,645","13,192","14,833"
Other Assets +,354,879,985,"4,959","11,204","8,483","5,245","12,848","13,092"
Total Assets,"1,374","3,413","2,900","8,704","17,327","21,599","23,356","35,623","40,736"

--- CASH FLOW ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,,,"-2,144","-1,018",-693,-844,646,308,632
Cash from Investing Activity +,,,"1,740","-5,245","-7,971",797,-348,"-7,993",536
Cash from Financing Activity +,,,359,"6,402","8,750",-127,-207,"8,042",-842
Net Cash Flow,,,-45,139,86,-174,91,357,326
Free Cash Flow,,,"-2,165","-1,028",-750,-945,444,-623,"-1,114"
CFO/OP,,,92%,222%,36%,67%,"1,747%",66%,52%

--- RATIOS ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,20,20,17,24,14,24,24,35,12
Inventory Days,,,,28,28,22,11,12,26
Days Payable,,,,565,298,178,112,101,36
Cash Conversion Cycle,20,20,17,-513,-257,-132,-77,-54,2
Working Capital Days,-43,-31,-20,96,316,200,41,45,57
ROCE %,,-115%,-135%,-12%,-13%,-6%,1%,3%,3%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
FIIs +,54.43%,54.72%,54.88%,55.11%,54.11%,52.53%,47.31%,44.36%,42.34%,39.04%,36.24%,32.61%
DIIs +,9.93%,13.04%,15.47%,15.28%,15.79%,17.32%,20.51%,23.47%,26.49%,30.04%,32.61%,35.88%
Government +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.10%,0.10%,0.10%,0.10%,0.10%
Public +,33.56%,30.42%,27.98%,28.05%,28.64%,28.86%,26.09%,26.08%,25.17%,25.12%,25.47%,26.68%
Others +,2.09%,1.82%,1.66%,1.58%,1.45%,1.27%,6.07%,5.98%,5.91%,5.71%,5.58%,4.73%
No. of Shareholders,"17,10,368","17,08,100","17,27,996","19,16,416","21,40,942","23,56,308","25,20,804","27,91,930","24,99,813","22,68,441","22,71,175","23,04,885"

--- CAGR BOXES ---




