--- ABOUT ---
"The Anup Engineering Limited demerged from its holding company Arvind Limited in 2018. [1] . It manufactures Heat Exchangers, Reactors, Pressure Vessels, Columns & Towers, Industrial Centrifuges and Formed Components. [2] The company's products are used in wide range of process industries including Oil & Gas, Petrochemicals, LNG, Fertilizers, Chemicals, Pharmaceuticals, Power, Water, Paper & Pulp and Aerospace. [2] [3]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"4,499","2,246","2,955",40.3

Book Value,Dividend Yield,ROCE,ROE
345,0.76,20.7,17.1

Face Value
10.0

--- QUARTERLY RESULTS ---
,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,101,114,144,125,140,146,193,172,222,175,232,207,208
Expenses +,80,92,114,97,108,113,150,133,172,135,181,163,170
Operating Profit,20,23,30,28,31,33,43,39,50,40,51,44,38
OPM %,20%,20%,21%,22%,22%,23%,22%,23%,22%,23%,22%,21%,18%
Other Income +,0,0,0,0,2,3,1,1,1,2,0,-1,0
Interest,0,1,0,0,0,1,1,1,1,1,2,4,2
Depreciation,3,3,4,3,4,5,6,6,6,7,7,7,8
Profit before tax,18,19,27,25,29,29,38,33,43,35,43,32,29
Tax %,26%,27%,27%,26%,26%,17%,14%,8%,27%,26%,26%,21%,8%
Net Profit +,13,14,19,19,22,24,33,30,32,26,32,26,27
EPS in Rs,6.53,7.01,9.83,9.37,10.97,12.07,16.26,15.09,15.75,13.11,16.00,12.74,13.25
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2025,Mar 2026
Sales +,245,279,288,411,733,822
Expenses +,176,209,217,327,565,648
Operating Profit,70,70,71,84,168,174
OPM %,28%,25%,25%,20%,23%,21%
Other Income +,4,3,4,1,5,2
Interest,2,2,2,3,6,9
Depreciation,9,11,12,13,24,28
Profit before tax,63,61,61,70,143,139
Tax %,32%,13%,-2%,27%,17%,21%
Net Profit +,43,54,62,51,118,110
EPS in Rs,21.06,27.17,31.34,25.97,59.07,55.11
Dividend Payout %,17%,13%,13%,29%,29%,22%

--- BALANCE SHEET ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2025,Mar 2026
Equity Capital,10,10,10,10,20,20
Reserves,313,327,384,428,592,671
Borrowings +,0,0,0,34,32,110
Other Liabilities +,99,94,132,171,282,170
Total Liabilities,422,431,525,643,926,971
Fixed Assets +,171,212,203,217,363,398
CWIP,12,2,31,87,10,2
Investments,44,0,0,0,11,0
Other Assets +,194,217,292,338,543,571
Total Assets,422,431,525,643,926,971

--- CASH FLOW ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2025,Mar 2026
Cash from Operating Activity +,32,53,74,30,-7,2
Cash from Investing Activity +,-15,-12,-61,-33,22,-36
Cash from Financing Activity +,-16,-38,-7,25,-30,36
Net Cash Flow,1,3,6,22,-15,2
Free Cash Flow,14,13,33,-45,-51,-51
CFO/OP,74%,93%,82%,51%,13%,19%

--- RATIOS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2025,Mar 2026
Debtor Days,96,144,158,132,141,185
Inventory Days,351,165,235,209,135,94
Days Payable,77,66,113,108,81,79
Cash Conversion Cycle,370,242,280,232,195,199
Working Capital Days,158,146,137,123,116,144
ROCE %,,19%,17%,17%,,21%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,42.93%,42.91%,42.91%,42.74%,41.24%,41.03%,40.98%,40.98%,40.98%,40.98%,40.92%,40.92%
FIIs +,2.35%,1.14%,0.75%,0.86%,1.18%,1.60%,3.51%,4.59%,4.72%,3.97%,4.03%,3.18%
DIIs +,11.53%,11.42%,11.09%,10.74%,11.06%,13.41%,14.53%,15.06%,15.21%,15.73%,16.11%,16.41%
Public +,43.17%,44.53%,45.25%,45.66%,46.53%,43.96%,40.98%,39.38%,39.09%,39.31%,38.93%,39.48%
No. of Shareholders,"83,012","84,159","83,755","85,438","92,381","90,453","96,076","96,237","98,011","99,596","98,168","99,220"

--- CAGR BOXES ---




