--- ABOUT ---
"I G Petrochemicals Ltd, incorporated in 1988, manufactures Phthalic Anhydride (PAN), Maleic Anhydride (MAN) and Benzoic Acid which are used in manufacturing of dyes, polyester resins etc. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,376",447,520,620

Book Value,Dividend Yield,ROCE,ROE
433,2.24,3.12,0.17

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,605,555,502,488,554,585,583,558,480,470,465,465,524
Expenses +,541,496,476,494,528,523,520,511,433,471,445,457,458
Operating Profit,64,59,26,-6,26,62,63,47,47,-1,20,8,67
OPM %,11%,11%,5%,-1%,5%,11%,11%,8%,10%,-0%,4%,2%,13%
Other Income +,6,7,7,7,9,9,4,8,5,10,6,5,5
Interest,7,6,7,8,9,9,16,3,11,9,11,10,11
Depreciation,12,12,13,12,15,16,16,16,16,16,16,16,20
Profit before tax,51,48,14,-20,11,45,34,36,25,-16,-1,-13,40
Tax %,25%,26%,28%,-24%,20%,23%,24%,21%,23%,-17%,42%,-16%,30%
Net Profit +,38,36,10,-15,9,35,26,29,19,-13,-2,-11,28
EPS in Rs,12.39,11.57,3.27,-4.95,2.94,11.37,8.50,9.27,6.16,-4.22,-0.65,-3.53,9.12
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,953,"1,037","1,144","1,304","1,059","1,124","1,883","2,352","2,099","2,206","1,925"
Expenses +,840,869,877,"1,078",987,825,"1,476","2,035","1,994","1,985","1,830"
Operating Profit,113,168,267,226,72,299,407,318,105,221,95
OPM %,12%,16%,23%,17%,7%,27%,22%,14%,5%,10%,5%
Other Income +,4,3,4,-1,6,3,6,22,30,24,26
Interest,23,18,15,12,16,15,13,24,30,39,41
Depreciation,18,21,26,26,30,34,44,47,52,65,69
Profit before tax,77,132,230,187,32,253,356,268,53,141,10
Tax %,21%,23%,37%,37%,35%,26%,26%,25%,26%,23%,79%
Net Profit +,60,102,146,117,21,188,264,200,40,109,2
EPS in Rs,19.55,32.98,47.42,37.94,6.78,61.08,85.89,64.95,12.83,35.30,0.72
Dividend Payout %,10%,0%,8%,11%,30%,12%,12%,15%,58%,28%,694%

--- BALANCE SHEET ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,31,31,31,31,31,31,31,31,31,31,31
Reserves,261,361,497,598,602,791,"1,031","1,204","1,216","1,308","1,302"
Borrowings +,116,82,87,194,230,165,173,254,368,269,362
Other Liabilities +,171,184,245,323,299,337,416,503,520,603,606
Total Liabilities,578,658,860,"1,146","1,161","1,324","1,651","1,992","2,135","2,211","2,300"
Fixed Assets +,322,324,403,389,471,702,736,717,"1,030","1,016","1,182"
CWIP,4,11,89,283,339,132,118,349,158,234,173
Investments,0,17,60,70,12,16,81,182,144,134,88
Other Assets +,252,306,308,404,339,475,716,745,803,826,858
Total Assets,578,658,860,"1,146","1,161","1,324","1,651","1,992","2,135","2,211","2,300"

--- CASH FLOW ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,69,94,201,139,84,183,109,233,37,261,102
Cash from Investing Activity +,-6,-42,-164,-216,-104,-72,-106,-255,-115,-92,-89
Cash from Financing Activity +,-64,-50,-35,58,35,-80,-19,21,48,-138,-53
Net Cash Flow,-1,2,2,-19,15,30,-15,-2,-29,31,-39
Free Cash Flow,60,66,77,-73,-84,113,11,-7,-136,125,-60
CFO/OP,76%,73%,95%,84%,127%,82%,46%,92%,43%,125%,115%

--- RATIOS ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,42,53,44,51,49,65,67,50,59,47,66
Inventory Days,45,47,47,52,42,81,45,34,42,64,50
Days Payable,77,83,75,92,89,124,87,76,79,98,94
Cash Conversion Cycle,10,17,16,11,3,21,25,8,21,13,23
Working Capital Days,8,20,9,2,-10,8,23,3,2,1,11
ROCE %,,34%,45%,29%,5%,29%,33%,21%,5%,11%,3%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,68.73%,68.73%,68.74%,68.74%,68.74%,68.74%,68.74%,68.74%,68.74%,68.74%,68.74%,68.74%
FIIs +,3.81%,3.74%,3.42%,3.00%,2.50%,2.73%,2.79%,3.09%,3.12%,2.96%,2.88%,2.92%
DIIs +,1.69%,1.80%,1.79%,1.79%,2.16%,2.70%,2.64%,1.44%,0.96%,0.96%,1.20%,1.45%
Public +,25.78%,25.74%,26.05%,26.47%,26.61%,25.84%,25.82%,26.73%,27.19%,27.35%,27.19%,26.89%
No. of Shareholders,"36,625","37,086","37,398","37,726","36,045","34,809","33,619","33,901","34,735","35,425","35,243","34,364"

--- CAGR BOXES ---




