--- ABOUT ---
Orchid Pharma is a pharmaceutical company engaged in the development and manufacture of active pharmaceutical ingredients (APIs) and finished dosage forms. It is also engaged in research of new drugs. [1]

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"4,966",979,"1,096",183

Book Value,Dividend Yield,ROCE,ROE
254,0.00,2.64,2.12

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,210,183,199,221,217,244,223,217,237,173,194,207,238
Expenses +,170,161,175,185,188,212,192,191,209,159,195,206,211
Operating Profit,40,22,23,35,29,32,30,26,28,14,-1,2,27
OPM %,19%,12%,12%,16%,13%,13%,14%,12%,12%,8%,-1%,1%,11%
Other Income +,34,2,8,8,13,8,8,8,4,11,11,-2,8
Interest,7,6,4,4,3,4,3,4,4,3,4,3,3
Depreciation,7,8,8,9,8,8,9,9,9,9,9,9,9
Profit before tax,59,11,20,30,30,28,26,22,19,14,-3,-12,23
Tax %,0%,0%,0%,0%,-10%,-1%,0%,0%,-0%,0%,0%,0%,0%
Net Profit +,59,9,20,29,33,29,27,21,22,15,-6,-13,24
EPS in Rs,14.49,1.85,3.90,5.80,6.50,5.79,5.37,4.10,4.39,2.94,-1.13,-2.49,4.69
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015 18m,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"1,747",873,797,683,600,484,450,560,666,819,922,811
Expenses +,"1,429",703,794,659,612,515,421,505,581,708,804,770
Operating Profit,317,171,3,24,-12,-31,29,55,84,111,118,41
OPM %,18%,20%,0%,4%,-2%,-6%,7%,10%,13%,14%,13%,5%
Other Income +,156,-28,-59,20,218,24,15,67,52,31,27,29
Interest,537,294,347,310,7,6,52,33,33,17,15,13
Depreciation,325,145,141,133,130,118,109,87,55,33,35,35
Profit before tax,-389,-296,-544,-399,69,-131,-117,2,48,92,96,21
Tax %,-49%,-6%,-9%,-12%,0%,0%,0%,0%,0%,-3%,-0%,-1%
Net Profit +,-197,-279,-495,-353,69,-131,-117,-2,46,92,100,21
EPS in Rs,-23.06,-31.37,-55.69,-39.65,7.80,-32.11,-28.55,-0.48,11.35,18.17,19.65,4.05
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,85,89,89,89,89,41,41,41,41,51,51,51
Reserves,244,-40,-556,-881,-793,725,612,607,648,"1,119","1,217","1,237"
Borrowings +,"3,211","3,215","3,106","3,202","3,230",566,453,268,331,135,175,363
Other Liabilities +,521,598,616,715,551,128,132,195,205,249,246,261
Total Liabilities,"4,061","3,862","3,256","3,125","3,077","1,460","1,237","1,111","1,225","1,554","1,688","1,911"
Fixed Assets +,"1,795","1,637","1,497","1,386","1,256",858,670,584,573,620,633,692
CWIP,282,280,288,272,278,26,7,10,46,31,81,341
Investments,1,1,1,1,0,0,15,45,44,46,50,53
Other Assets +,"1,984","1,944","1,470","1,467","1,542",576,544,472,561,857,925,826
Total Assets,"4,061","3,862","3,256","3,125","3,077","1,460","1,237","1,111","1,225","1,554","1,688","1,911"

--- CASH FLOW ---
