--- ABOUT ---
"Archean Chemical Industries Limited is India's largest exporter of bromine and industrial salt in Fiscal 2021. The company is the leading specialty marine chemical manufacturer in India and is focused on producing and exporting bromine, industrial salt, and sulphate of potash to customers around the world. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"6,516",528,728,63.3

Book Value,Dividend Yield,ROCE,ROE
157,0.47,7.41,5.42

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,382,343,290,413,284,213,240,242,346,292,233,255,301
Expenses +,188,208,195,267,197,141,166,162,257,214,171,200,257
Operating Profit,194,135,95,145,87,71,75,80,88,78,63,54,44
OPM %,51%,39%,33%,35%,31%,33%,31%,33%,26%,27%,27%,21%,15%
Other Income +,8,11,11,9,12,10,-29,9,8,8,6,7,5
Interest,3,3,2,2,2,2,3,3,0,5,6,4,10
Depreciation,17,18,18,18,18,19,19,20,21,23,24,24,23
Profit before tax,182,125,87,135,80,61,23,66,75,58,40,33,16
Tax %,25%,25%,24%,25%,28%,26%,31%,27%,28%,31%,27%,28%,23%
Net Profit +,137,94,66,102,58,45,16,48,54,40,29,24,12
EPS in Rs,11.09,7.63,5.36,8.23,4.67,3.64,1.28,3.89,4.34,3.26,2.36,1.91,1.09
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2020,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,608,"1,130","1,441","1,330","1,041","1,081"
Expenses +,460,663,807,867,726,842
Operating Profit,148,467,634,463,315,239
OPM %,24%,41%,44%,35%,30%,22%
Other Income +,9,12,43,43,-3,27
Interest,122,162,97,8,8,26
Depreciation,52,67,69,70,79,93
Profit before tax,-17,251,512,427,224,147
Tax %,117%,25%,25%,25%,28%,28%
Net Profit +,-36,188,383,319,162,105
EPS in Rs,-18.81,19.54,31.09,25.85,13.14,8.66
Dividend Payout %,0%,0%,8%,12%,23%,29%

--- BALANCE SHEET ---
,Mar 2020,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,19,25,25,25,25
Reserves,,243,"1,406","1,677","1,839","1,910"
Borrowings +,,897,69,98,235,466
Other Liabilities +,,372,255,255,290,264
Total Liabilities,,"1,531","1,755","2,055","2,389","2,665"
Fixed Assets +,,"1,086","1,110","1,160","1,378","1,383"
CWIP,,17,36,48,69,182
Investments,,11,210,350,339,257
Other Assets +,,417,399,497,603,843
Total Assets,,"1,531","1,755","2,055","2,389","2,665"

--- CASH FLOW ---
,Mar 2020,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,,315,496,379,176,140
Cash from Investing Activity +,,-110,-290,-307,-246,-293
Cash from Financing Activity +,,-224,-212,-33,65,154
Net Cash Flow,,-19,-6,40,-5,1
Free Cash Flow,,218,397,249,-81,-242
CFO/OP,,67%,82%,106%,73%,83%

--- RATIOS ---
,Mar 2020,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,,49,30,43,58,43
Inventory Days,,,,530,,"1,221"
Days Payable,,,,416,,598
Cash Conversion Cycle,,49,30,157,58,666
Working Capital Days,,49,41,54,84,11
ROCE %,,,45%,25%,13%,7%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,53.60%,53.60%,53.46%,53.46%,53.46%,53.46%,53.44%,53.44%,53.44%,53.44%,53.43%,53.43%
FIIs +,4.06%,2.92%,4.15%,5.86%,9.53%,10.17%,10.65%,10.93%,11.05%,11.16%,11.08%,11.09%
DIIs +,30.78%,30.38%,28.69%,27.13%,21.04%,22.02%,22.86%,23.17%,24.69%,25.51%,25.26%,25.83%
Government +,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Public +,11.55%,13.08%,13.71%,13.54%,15.96%,14.37%,13.06%,12.44%,10.84%,9.90%,10.24%,9.67%
No. of Shareholders,"62,548","73,821","92,571","1,06,788","98,762","95,999","94,958","85,856","75,697","70,852","69,900","64,925"

--- CAGR BOXES ---




