--- ABOUT ---
""

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"5,322",243,275,37.0

Book Value,Dividend Yield,ROCE,ROE
,0.00,12.4,11.0

Face Value
2.00

--- QUARTERLY RESULTS ---
""
Sales +
Expenses +
Operating Profit
OPM %
Other Income +
Interest
Depreciation
Profit before tax
Tax %
Net Profit +
EPS in Rs
Raw PDF

--- ANNUAL RESULTS ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"2,913","5,010","5,869","5,952","6,666"
Expenses +,"2,569","4,495","5,659","5,733","6,364"
Operating Profit,344,515,209,220,302
OPM %,12%,10%,4%,4%,5%
Other Income +,-164,45,21,"-1,225",28
Interest,40,54,46,55,63
Depreciation,34,36,47,50,63
Profit before tax,106,470,138,"-1,110",205
Tax %,62%,24%,24%,-24%,24%
Net Profit +,41,357,105,-839,155
EPS in Rs,550.13,16.13,4.72,-38.54,6.50
Dividend Payout %,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,0.33,44,44,44,44
Reserves,"1,675","1,967","2,065","1,188","1,329"
Borrowings +,512,812,372,535,925
Other Liabilities +,738,883,874,427,516
Total Liabilities,"2,925","3,706","3,355","2,194","2,813"
Fixed Assets +,"1,580","1,639","1,713",613,669
CWIP,43,36,44,26,150
Investments,16,37,36,37,32
Other Assets +,"1,286","1,995","1,562","1,519","1,963"
Total Assets,"2,925","3,706","3,355","2,194","2,813"

--- CASH FLOW ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,-85,-206,614,74,-92
Cash from Investing Activity +,-66,-81,-96,-134,-235
Cash from Financing Activity +,158,282,-488,31,326
Net Cash Flow,7,-5,30,-29,-1
Free Cash Flow,-147,-306,495,-69,-330
CFO/OP,-19%,-19%,317%,48%,-14%

--- RATIOS ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,67,44,35,38,43
Inventory Days,67,67,43,43,51
Days Payable,34,20,22,12,14
Cash Conversion Cycle,99,91,56,69,80
Working Capital Days,57,52,45,48,46
ROCE %,,20%,7%,8%,12%

--- SHAREHOLDING PATTERN ---
,Jun 2026
Promoters +,84.00%
FIIs +,1.57%
DIIs +,5.48%
Government +,0.03%
Public +,8.90%
No. of Shareholders,"1,51,925"

--- CAGR BOXES ---




