--- ABOUT ---
"Incorporated in 1995, PPAP Automotive Ltd develops plastic and driver-based extrusion systems, plastic injection moulding systems and  high-precision plastic injection tooling [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
361,255,295,191

Book Value,Dividend Yield,ROCE,ROE
242,0.98,3.53,0.60

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,132,116,148,122,136,123,145,139,147,117,137,139,175
Expenses +,124,110,136,114,124,111,129,125,132,107,124,126,158
Operating Profit,8,6,12,9,11,12,16,14,15,9,13,13,17
OPM %,6%,5%,8%,7%,8%,10%,11%,10%,10%,8%,9%,9%,10%
Other Income +,0,2,0,0,0,1,0,1,1,1,0,1,50
Interest,3,4,3,4,4,4,4,4,4,4,4,4,4
Depreciation,8,8,9,9,9,9,9,9,8,8,9,9,9
Profit before tax,-3,-4,0,-4,-1,0,4,2,3,-3,-0,0,53
Tax %,-12%,-31%,-17%,-25%,768%,0%,26%,16%,19%,-23%,-50%,-133%,15%
Net Profit +,-2,-3,1,-3,-8,0,3,2,2,-2,-0,0,45
EPS in Rs,-1.63,-1.96,0.39,-1.91,-5.83,0.07,2.03,1.15,1.72,-1.61,-0.04,0.05,32.20
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,319,343,398,404,359,322,422,511,523,554,567
Expenses +,265,277,313,327,309,290,386,474,483,496,516
Operating Profit,53,67,85,77,50,32,36,37,39,58,51
OPM %,17%,19%,21%,19%,14%,10%,8%,7%,8%,10%,9%
Other Income +,1,5,4,1,0,2,1,1,2,3,52
Interest,8,6,5,4,3,4,7,12,15,17,17
Depreciation,25,24,26,26,26,26,29,31,34,34,36
Profit before tax,22,41,59,49,22,3,0,-5,-8,9,50
Tax %,35%,32%,33%,30%,17%,35%,708%,16%,62%,21%,14%
Net Profit +,14,28,39,34,18,2,-1,-6,-13,7,43
EPS in Rs,10.02,19.97,28.08,24.10,13.00,1.50,-0.56,-4.24,-9.31,4.97,30.60
Dividend Payout %,20%,15%,16%,19%,23%,67%,-266%,-35%,-13%,50%,5%

--- BALANCE SHEET ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,14,14,14,14,14,14,14,14,14,14,14
Reserves,192,223,256,281,289,292,290,281,269,274,327
Borrowings +,74,52,30,25,22,52,110,152,162,175,207
Other Liabilities +,48,64,87,95,80,85,86,102,110,105,193
Total Liabilities,328,353,386,415,406,443,500,548,556,568,741
Fixed Assets +,217,197,211,237,230,244,284,319,313,316,321
CWIP,1,3,12,2,8,20,21,11,17,27,43
Investments,2,49,49,49,48,46,46,42,43,44,96
Other Assets +,108,103,115,127,119,133,148,177,183,181,281
Total Assets,328,353,386,415,406,443,500,548,556,568,741

--- CASH FLOW ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,41,70,78,59,36,26,21,30,41,52,33
Cash from Investing Activity +,-24,-43,-45,-43,-27,-49,-71,-58,-30,-35,-41
Cash from Financing Activity +,-18,-25,-33,-17,-6,21,49,28,-9,-17,8
Net Cash Flow,-1,2,-1,-1,3,-2,-1,0,1,-0,1
Free Cash Flow,14,40,29,16,11,-26,-49,-25,10,14,-19
CFO/OP,84%,115%,117%,98%,95%,87%,68%,88%,108%,94%,84%

--- RATIOS ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,46,52,51,52,41,68,48,46,47,48,67
Inventory Days,84,47,61,82,96,92,88,97,88,79,111
Days Payable,48,49,60,73,81,98,76,81,73,87,115
Cash Conversion Cycle,82,49,51,60,56,62,60,63,62,40,63
Working Capital Days,35,23,17,24,26,42,25,-2,-13,-19,4
ROCE %,,17%,22%,17%,8%,2%,2%,2%,2%,6%,4%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,65.01%,65.01%,65.01%,65.01%,64.60%,64.60%,64.60%,64.60%,64.47%,64.47%,64.47%,64.47%
FIIs +,5.70%,5.70%,5.70%,5.75%,5.67%,5.76%,5.67%,5.67%,5.65%,5.65%,5.69%,5.66%
Public +,29.30%,29.30%,29.29%,29.23%,29.73%,29.64%,29.73%,29.73%,29.86%,29.86%,29.82%,29.85%
No. of Shareholders,"16,860","16,482","16,654","16,939","17,024","17,097","17,568","17,103","16,093","15,752","15,450","15,228"

--- CAGR BOXES ---




