--- ABOUT ---
Hyderabad based CDMO company that offers services to leading global pharmaceutical and fine chemical majors in their NCE development endeavours. From process research & development to late-stage clinical and commercial manufacturing we are committed to provide customers with products fulfilling customer needs and expectations. [1]

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"15,526",406,"1,121",78.7

Book Value,Dividend Yield,ROCE,ROE
102,0.00,8.35,7.04

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,369.36,347.55,231.05,219.82,252.93,488.08,603.77,676.23,840.42,549.31,555.57,544.55,619.12
Expenses +,197.50,180.59,133.09,153.74,179.58,362.98,398.40,438.86,611.20,437.30,434.62,449.20,520.44
Operating Profit,171.86,166.96,97.96,66.08,73.35,125.10,205.37,237.37,229.22,112.01,120.95,95.35,98.68
OPM %,46.53%,48.04%,42.40%,30.06%,29.00%,25.63%,34.01%,35.10%,27.27%,20.39%,21.77%,17.51%,15.94%
Other Income +,11.40,10.67,19.84,14.34,17.05,19.41,16.19,21.56,-3.73,6.07,15.60,1.30,-18.35
Interest,5.03,1.15,0.50,2.16,2.30,10.20,9.61,10.80,10.45,10.18,8.76,9.11,9.19
Depreciation,12.02,12.54,11.89,12.79,17.25,31.28,37.79,43.56,54.17,45.14,44.02,46.94,51.23
Profit before tax,166.21,163.94,105.41,65.47,70.85,103.03,174.16,204.57,160.87,62.76,83.77,40.60,19.91
Tax %,25.41%,26.44%,24.51%,28.59%,24.67%,26.85%,20.62%,24.97%,27.18%,26.07%,20.75%,28.52%,58.26%
Net Profit +,123.97,120.59,79.56,46.75,53.37,75.37,138.24,153.48,117.15,46.40,66.39,29.02,8.31
EPS in Rs,4.87,4.74,3.13,1.84,2.10,2.96,5.44,6.01,4.73,1.28,1.94,0.96,0.51
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,378,834,"1,010","1,320","1,340","1,051","1,198","2,269"
Expenses +,206,449,567,738,766,645,822,"1,842"
Operating Profit,172,385,443,582,574,406,375,427
OPM %,45%,46%,44%,44%,43%,39%,31%,19%
Other Income +,1,66,68,133,46,62,58,5
Interest,3,23,12,9,13,7,12,37
Depreciation,12,24,32,39,48,55,77,187
Profit before tax,158,405,468,668,560,406,344,207
Tax %,31%,22%,23%,32%,27%,26%,23%,27%
Net Profit +,109,317,362,454,411,300,265,150
EPS in Rs,,12.45,14.23,17.83,16.16,11.80,10.52,4.68
Dividend Payout %,0%,20%,14%,28%,37%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,0.00,13,25,25,25,25,25,38
Reserves,578,832,"1,155","1,502","1,710","2,025","1,671","3,873"
Borrowings +,83,186,143,97,70,65,279,400
Other Liabilities +,123,142,151,205,160,138,"1,056","1,418"
Total Liabilities,783,"1,173","1,474","1,830","1,966","2,254","3,031","5,730"
Fixed Assets +,271,357,441,534,663,670,"1,713","3,373"
CWIP,111,102,96,30,165,179,256,173
Investments,7,338,542,598,536,904,337,529
Other Assets +,394,376,395,667,601,501,725,"1,655"
Total Assets,783,"1,173","1,474","1,830","1,966","2,254","3,031","5,730"

--- CASH FLOW ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,50,407,383,330,457,358,288,368
Cash from Investing Activity +,-65,-413,-311,-136,-195,-362,-253,-255
Cash from Financing Activity +,26,7,-76,-156,-242,-14,3,-165
Net Cash Flow,11,1,-5,37,20,-18,38,-51
Free Cash Flow,-6,304,272,255,171,307,132,169
CFO/OP,49%,128%,111%,88%,105%,115%,99%,102%

--- RATIOS ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,142,51,37,65,30,46,87,110
Inventory Days,556,278,243,259,279,268,199,310
Days Payable,190,113,100,97,63,49,96,157
Cash Conversion Cycle,509,217,180,228,247,265,190,263
Working Capital Days,205,64,56,108,99,115,74,175
ROCE %,,50%,40%,41%,32%,19%,15%,8%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,60.00%,60.00%,60.00%,50.10%,50.10%,50.10%,50.10%,50.10%,66.41%,57.49%,57.49%,57.49%
FIIs +,9.50%,10.01%,10.14%,9.54%,9.80%,10.70%,10.84%,11.05%,7.23%,6.51%,6.01%,5.59%
DIIs +,10.63%,14.13%,15.94%,17.24%,17.42%,16.95%,16.67%,16.60%,11.40%,20.81%,21.57%,21.79%
Government +,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%
Public +,19.88%,15.85%,13.93%,23.11%,22.67%,22.26%,22.37%,22.24%,14.95%,15.16%,14.91%,15.11%
No. of Shareholders,"72,167","73,715","70,052","68,932","65,777","69,337","84,210","86,325","80,910","75,284","81,877","85,230"

--- CAGR BOXES ---




