--- ABOUT ---
"Incorporated in 1996 as a broking arm of the IIFL Group, IIFL Securities Limited provides retail and institutional equities, financial products distribution, commodity broking, currency broking, investment banking, financial planning and wealth management services to retail and institutional customers across India. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"10,734",344,411,19.1

Book Value,Dividend Yield,ROCE,ROE
98.4,0.87,23.2,20.2

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,402,409,507,559,686,640,645,583,537,617,572,586,644
Expenses +,250,271,348,318,350,340,379,337,351,396,359,396,421
Operating Profit,152,138,159,240,337,300,266,245,186,221,213,190,224
OPM %,38%,34%,31%,43%,49%,47%,41%,42%,35%,36%,37%,32%,35%
Other Income +,3,2,27,23,18,4,58,64,36,63,-25,134,10
Interest,19,21,30,43,54,44,48,45,43,40,53,53,63
Depreciation,17,16,16,18,63,12,13,14,16,16,15,17,17
Profit before tax,119,102,140,203,237,248,264,250,163,228,120,254,155
Tax %,27%,27%,23%,26%,24%,26%,22%,21%,22%,23%,29%,26%,26%
Net Profit +,86,75,108,151,181,182,205,197,128,176,85,188,115
EPS in Rs,2.83,2.45,3.52,4.88,5.84,5.91,6.64,6.36,4.13,5.66,2.72,6.01,3.68
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,933,870,758,841,"1,295","1,361","2,217","2,520","2,420"
Expenses +,491,461,432,487,749,886,"1,284","1,405","1,572"
Operating Profit,441,409,326,354,546,475,933,"1,115",848
OPM %,47%,47%,43%,42%,42%,35%,42%,44%,35%
Other Income +,14,6,134,27,22,10,14,48,183
Interest,145,115,103,50,102,77,150,183,210
Depreciation,37,42,55,46,63,67,114,55,65
Profit before tax,274,258,301,285,402,341,683,925,756
Tax %,34%,34%,22%,23%,24%,27%,25%,23%,25%
Net Profit +,181,171,234,220,306,250,513,713,564
EPS in Rs,96.47,91.58,7.32,7.27,10.07,8.19,16.64,22.98,18.02
Dividend Payout %,0%,0%,27%,14%,30%,37%,18%,13%,17%

--- BALANCE SHEET ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,0.00,0.00,64,61,61,61,62,62,62
Reserves,560,667,816,907,"1,121","1,289","1,725","2,445","3,003"
Borrowings +,"1,097",759,459,292,607,486,"1,154",937,"1,821"
Other Liabilities +,"1,205","1,624","1,095","2,285","4,252","3,401","4,934","4,511","4,671"
Total Liabilities,"2,862","3,050","2,434","3,544","6,041","5,237","7,875","7,956","9,558"
Fixed Assets +,512,393,402,403,482,440,379,388,295
CWIP,84,86,130,132,3,1,1,2,1
Investments,159,140,231,74,228,90,159,486,390
Other Assets +,"2,107","2,431","1,671","2,936","5,329","4,707","7,335","7,080","8,872"
Total Assets,"2,862","3,050","2,434","3,544","6,041","5,237","7,875","7,956","9,558"

--- CASH FLOW ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-110,587,352,152,795,-793,-118,871,"-1,070"
Cash from Investing Activity +,-118,0,21,148,-86,163,-74,-177,314
Cash from Financing Activity +,462,-494,-514,-361,108,-296,430,-490,568
Net Cash Flow,234,93,-141,-62,817,-925,239,204,-187
Free Cash Flow,-208,527,423,89,822,-798,-138,922,-936
CFO/OP,-0%,166%,122%,59%,161%,-146%,7%,96%,-102%

--- RATIOS ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,10,10,16,15,8,6,8,7,9
Inventory Days,,,,,,,,,
Days Payable,,,,,,,,,
Cash Conversion Cycle,10,10,16,15,8,6,8,7,9
Working Capital Days,-409,-522,-239,-498,-891,-551,-497,-346,-361
ROCE %,,24%,22%,25%,32%,23%,35%,33%,23%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,31.13%,31.11%,30.97%,30.91%,30.88%,30.79%,30.72%,30.70%,31.02%,30.98%,30.93%,30.87%
FIIs +,16.33%,13.59%,15.54%,15.18%,17.51%,19.00%,19.12%,18.98%,17.24%,16.93%,16.51%,16.33%
DIIs +,3.24%,3.31%,3.29%,3.37%,3.18%,3.70%,3.99%,4.31%,4.92%,5.04%,5.39%,5.56%
Public +,49.29%,51.99%,50.20%,50.55%,48.43%,46.52%,46.18%,46.02%,46.84%,47.07%,47.17%,47.24%
No. of Shareholders,"64,424","62,407","64,307","70,003","68,061","68,268","79,299","77,538","74,622","74,006","67,865","66,511"

--- CAGR BOXES ---




