--- ABOUT ---
"Incorporated in 1977, Atlanta Ltd is engaged in the Construction business [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
340,41.7,73.4 / 29.4,

Book Value,Dividend Yield,ROCE,ROE
26.1,0.00,1.95,-0.81

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,4,14,13,15,91,15,13,14,25,15,12,17,31
Expenses +,8,5,6,4,64,8,7,9,11,7,28,11,-8
Operating Profit,-4,8,7,10,27,7,6,5,14,8,-16,6,38
OPM %,-105%,61%,57%,72%,30%,47%,47%,36%,56%,55%,-135%,37%,126%
Other Income +,2,2,314,2,161,22,2,4,3,5,4,7,4
Interest,1,1,1,1,1,1,-0,2,1,3,2,3,3
Depreciation,10,9,9,9,9,11,11,11,11,11,11,11,12
Profit before tax,-13,1,311,2,178,18,-2,-4,5,-2,-26,-1,28
Tax %,180%,0%,0%,0%,14%,26%,-11%,-712%,-75%,12%,-20%,-25%,23%
Net Profit +,-36,1,311,2,153,13,-2,22,9,-2,-21,-1,22
EPS in Rs,-4.42,0.16,38.07,0.29,18.76,1.63,-0.21,2.66,1.14,-0.21,-2.55,-0.10,2.65
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,540.58,159.28,262.91,189.65,48.21,96.22,88.33,234.50,51.65,132.77,68.10,73.90
Expenses +,425.03,146.66,124.20,133.65,67.89,56.78,47.51,522.04,31.98,79.53,35.37,37.71
Operating Profit,115.55,12.62,138.71,56.00,-19.68,39.44,40.82,-287.54,19.67,53.24,32.73,36.19
OPM %,21.38%,7.92%,52.76%,29.53%,-40.82%,40.99%,46.21%,-122.62%,38.08%,40.10%,48.06%,48.97%
Other Income +,1.64,0.52,6.38,-25.39,38.63,-729.54,0.58,-14.31,8.13,479.80,31.44,19.65
Interest,49.79,54.49,41.99,72.31,75.29,66.97,65.37,63.68,6.12,4.44,3.83,10.88
Depreciation,11.41,5.54,51.47,33.47,36.20,37.35,40.75,25.14,30.89,35.79,42.55,45.54
Profit before tax,55.99,-46.89,51.63,-75.17,-92.54,-794.42,-64.72,-390.67,-9.21,492.81,17.79,-0.58
Tax %,12.72%,-15.59%,42.13%,-16.55%,-0.56%,0.49%,8.37%,3.02%,251.79%,5.06%,-139.24%,196.55%
Net Profit +,48.39,-39.58,29.88,-62.73,-92.02,-798.34,-70.14,-402.47,-32.40,467.86,42.57,-1.71
EPS in Rs,5.93,-4.85,3.67,-7.70,-11.29,-97.96,-8.61,-49.38,-3.98,57.41,5.22,-0.21
Dividend Payout %,5.06%,0.00%,8.18%,-3.90%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%

--- BALANCE SHEET ---
