--- ABOUT ---
"Jubilant Ingrevia, a global integrated Life Science products and Innovative Solutions provider serving, Pharmaceutical, Nutrition, Agrochemical, Consumer and Industrial customers with our customised products and solutions that are innovative, cost-effective and conforming to excellent quality standards. Jubilant Ingrevia’s portfolio also extends to custom research and manufacturing for pharmaceutical and agrochemical customers on an exclusive basis. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"10,157",638,852,35.3

Book Value,Dividend Yield,ROCE,ROE
196,0.78,11.4,9.51

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"1,145","1,075","1,020",966,"1,074","1,024","1,045","1,057","1,051","1,038","1,121","1,051","1,179"
Expenses +,"1,043",958,902,871,983,915,921,918,905,896,985,924,"1,016"
Operating Profit,102,117,118,96,91,110,124,138,147,142,135,126,163
OPM %,9%,11%,12%,10%,8%,11%,12%,13%,14%,14%,12%,12%,14%
Other Income +,9,8,9,9,10,10,10,9,8,11,11,-4,9
Interest,6,11,13,15,14,14,15,12,14,13,12,12,12
Depreciation,30,32,34,34,36,39,40,40,39,41,41,45,48
Profit before tax,76,81,80,55,51,66,80,96,102,100,93,65,112
Tax %,31%,29%,28%,30%,43%,26%,26%,27%,27%,25%,25%,28%,23%
Net Profit +,52,58,57,39,29,49,59,69,74,75,69,47,86
EPS in Rs,3.28,3.62,3.61,2.42,1.84,3.06,3.70,4.36,4.65,4.71,4.36,2.94,5.43
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,0,684,"4,949","4,773","4,136","4,178","4,388"
Expenses +,0,567,"4,108","4,224","3,708","3,658","3,821"
Operating Profit,-0,117,841,549,427,519,567
OPM %,,17%,17%,11%,10%,12%,13%
Other Income +,0,-10,22,32,29,38,27
Interest,0,7,31,22,53,56,49
Depreciation,0,22,123,122,136,158,175
Profit before tax,-0,77,709,437,268,344,370
Tax %,0%,30%,33%,30%,32%,27%,25%
Net Profit +,-0,54,477,308,183,251,278
EPS in Rs,-3.40,3.41,29.93,19.31,11.48,15.77,17.45
Dividend Payout %,0%,10%,17%,26%,43%,31%,14%

--- BALANCE SHEET ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,0.05,16,16,16,16,16,16
Reserves,-0,"1,907","2,417","2,650","2,722","2,911","3,110"
Borrowings +,0,556,238,407,740,764,792
Other Liabilities +,0,888,"1,111","1,176","1,241","1,324","1,566"
Total Liabilities,0,"3,366","3,782","4,249","4,719","5,015","5,484"
Fixed Assets +,0,"1,805","1,798","1,846","2,539","2,581","3,183"
CWIP,0,65,174,525,331,525,154
Investments,0,50,6,8,15,37,33
Other Assets +,0,"1,446","1,804","1,870","1,834","1,872","2,113"
Total Assets,0,"3,366","3,782","4,249","4,719","5,015","5,484"

--- CASH FLOW ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,0,112,453,462,430,508,524
Cash from Investing Activity +,0,33,-71,-469,-568,-389,-276
Cash from Financing Activity +,0,-72,-418,42,144,-129,-155
Net Cash Flow,0,73,-36,35,6,-9,93
Free Cash Flow,0,85,225,-16,-136,156,235
CFO/OP,0%,106%,69%,98%,111%,113%,111%

--- RATIOS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,,251,43,39,50,53,65
Inventory Days,,601,119,146,160,163,140
Days Payable,,685,104,113,131,141,150
Cash Conversion Cycle,,167,58,72,80,75,55
Working Capital Days,,220,49,42,37,29,22
ROCE %,,8%,29%,16%,10%,11%,11%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,51.47%,51.47%,51.47%,51.47%,51.47%,51.47%,51.47%,51.47%,45.22%,45.22%,45.22%,45.22%
FIIs +,6.15%,6.30%,6.35%,6.58%,6.55%,7.22%,6.89%,7.12%,6.96%,5.96%,6.15%,6.49%
DIIs +,6.72%,9.18%,11.17%,13.60%,14.07%,15.47%,15.99%,15.91%,21.81%,23.04%,24.00%,24.76%
Government +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.02%,0.02%
Public +,34.83%,32.22%,30.17%,27.53%,27.10%,25.09%,24.90%,24.76%,25.30%,24.94%,23.80%,22.53%
Others +,0.82%,0.82%,0.82%,0.81%,0.81%,0.77%,0.74%,0.73%,0.72%,0.82%,0.80%,0.98%
No. of Shareholders,"1,86,294","1,73,533","1,62,202","1,50,388","1,42,736","1,25,367","1,24,830","1,20,406","1,23,748","1,25,749","1,17,529","1,12,696"

--- CAGR BOXES ---




