--- ABOUT ---
"Kamat Hotels India Ltd is one of the companies of the Kamats Group. KHIL is engaged in the Hospitality business and other related services like hotel consultancy, setup, etc… [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
504,171,369 / 140,11.8

Book Value,Dividend Yield,ROCE,ROE
107,0.00,15.8,14.4

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,80,70,64,86,85,74,85,105,92,83,75,118,110
Expenses +,53,47,45,60,61,61,63,61,68,65,67,79,78
Operating Profit,27,23,19,26,23,13,22,44,25,18,8,39,32
OPM %,34%,33%,29%,30%,27%,18%,26%,42%,27%,22%,10%,33%,29%
Other Income +,232,-0,2,35,5,5,2,2,2,2,4,-2,10
Interest,-10,16,16,13,15,11,8,6,5,6,6,7,10
Depreciation,4,4,4,5,5,5,5,5,5,6,7,7,8
Profit before tax,265,3,0,43,8,2,12,36,16,8,-1,23,24
Tax %,-2%,57%,92%,2%,74%,45%,29%,26%,32%,46%,311%,17%,27%
Net Profit +,271,1,0,42,2,1,8,26,11,4,-2,19,17
EPS in Rs,109.99,0.45,0.01,16.86,0.82,0.40,2.83,8.88,3.73,1.23,-1.00,5.87,5.56
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,162,182,183,201,236,222,66,144,295,304,357,386
Expenses +,130,142,130,147,164,158,58,108,186,213,252,289
Operating Profit,33,40,53,54,72,64,8,36,109,91,105,97
OPM %,20%,22%,29%,27%,31%,29%,12%,25%,37%,30%,29%,25%
Other Income +,5,19,40,-195,-4,16,5,1,245,41,10,14
Interest,81,41,28,16,22,37,42,50,22,61,30,29
Depreciation,31,25,24,23,18,18,18,17,15,18,20,28
Profit before tax,-74,-7,41,-180,28,24,-46,-30,316,54,65,54
Tax %,-11%,483%,-1%,7%,39%,-2%,-21%,-25%,1%,17%,29%,29%
Net Profit +,-65,-39,42,-192,17,25,-36,-23,313,45,47,39
EPS in Rs,-27.66,-16.71,17.62,-81.50,7.16,10.50,-15.39,-9.61,126.91,17.31,15.80,14.49
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,24,24,24,24,24,24,24,24,25,26,30,30
Reserves,32,-8,4,-189,-172,-147,-183,-205,129,179,248,286
Borrowings +,669,664,621,547,495,458,470,460,346,265,204,233
Other Liabilities +,129,175,144,120,137,151,154,188,109,144,107,131
Total Liabilities,855,855,793,503,484,486,465,467,609,615,589,680
Fixed Assets +,708,685,622,386,375,373,356,348,363,394,402,479
CWIP,0,0,1,0,0,5,6,1,2,4,8,5
Investments,0,0,4,4,5,1,1,0,3,4,4,0
