--- ABOUT ---
Biocon is engaged in the business of manufacture of biotechnology products and research services.(Source : 202003-01 Annual Report Page No:195)

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"67,349",416,440,173

Book Value,Dividend Yield,ROCE,ROE
210,0.12,3.75,1.40

Face Value
5.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"3,774","3,423","3,462","3,954","3,917","3,433","3,590","3,821","4,417","3,942","4,296","4,173","4,517"
Expenses +,"2,817","2,741","2,745","3,051","3,004","2,812","2,905","3,070","3,339","3,193","3,460","3,340","3,496"
Operating Profit,957,681,717,903,913,620,685,752,"1,078",749,835,834,"1,020"
OPM %,25%,20%,21%,23%,23%,18%,19%,20%,24%,19%,19%,20%,23%
Other Income +,152,94,134,587,40,"1,166",58,53,57,80,81,-176,-28
Interest,249,233,248,267,227,236,226,223,212,277,272,210,232
Depreciation,364,358,389,414,407,405,420,425,436,455,473,515,513
Profit before tax,497,184,214,808,319,"1,146",98,156,487,97,171,-68,248
Tax %,17%,19%,19%,7%,30%,25%,72%,48%,6%,8%,22%,-24%,20%
Net Profit +,414,149,173,753,223,862,27,81,459,89,133,-52,199
EPS in Rs,2.61,0.84,1.05,5.50,1.13,5.49,-0.13,0.21,2.87,0.23,0.63,1.08,0.78
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"3,090","3,347","3,891","4,123","5,514","6,300","7,143","8,184","11,174","14,756","15,262","16,927"
Expenses +,"2,394","2,957","2,912","3,294","4,121","4,696","5,562","6,391","8,762","11,540","12,008","13,472"
Operating Profit,696,390,980,829,"1,394","1,604","1,581","1,793","2,412","3,216","3,254","3,455"
OPM %,23%,12%,25%,20%,25%,25%,22%,22%,22%,22%,21%,20%
Other Income +,158,639,173,228,340,199,260,72,18,853,"1,217",-60
Interest,9,29,26,62,71,65,58,68,419,974,897,990
Depreciation,221,249,277,385,448,552,715,814,"1,113","1,569","1,687","1,957"
Profit before tax,624,751,850,610,"1,215","1,186","1,068",983,897,"1,525","1,887",448
Tax %,15%,19%,19%,26%,17%,27%,21%,22%,28%,15%,24%,18%
Net Profit +,528,609,688,453,"1,003",871,846,772,643,"1,298","1,429",369
EPS in Rs,4.14,4.59,5.10,3.10,7.54,6.24,6.17,5.40,3.85,8.52,8.44,2.38
Dividend Payout %,20%,18%,10%,16%,7%,0%,0%,9%,39%,6%,6%,21%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,100,100,100,300,300,600,600,600,600,600,600,810
Reserves,"3,171","3,934","4,738","4,881","5,798","6,106","7,027","7,832","17,267","19,183","21,044","33,221"
Borrowings +,"1,117","2,478","2,302","2,264","2,422","2,715","4,481","5,147","18,019","16,277","18,362","15,434"
Other Liabilities +,"1,988","1,947","2,254","2,545","3,672","4,993","6,382","6,763","15,856","19,693","18,534","14,185"
Total Liabilities,"6,375","8,458","9,394","9,990","12,192","14,414","18,490","20,342","51,742","55,753","58,540","63,651"
Fixed Assets +,"1,630","1,748","3,626","3,700","4,471","5,971","6,364","6,569","29,468","30,644","31,963","38,860"
CWIP,"1,677","2,240",839,"1,303","1,899","2,196","2,800","4,110","7,317","7,993","8,508","4,613"
Investments,230,902,"1,253",675,"1,012",966,"1,952","1,588","2,069","1,000","1,127","1,779"
Other Assets +,"2,839","3,569","3,676","4,312","4,811","5,281","7,374","8,074","12,888","16,117","16,941","18,399"
Total Assets,"6,375","8,458","9,394","9,990","12,192","14,414","18,490","20,342","51,742","55,753","58,540","63,651"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,211,371,640,662,"1,155","1,283","1,160","1,177","1,852","2,954","4,061","1,994"
Cash from Investing Activity +,-491,"-1,138",-510,-684,-703,"-1,505","-3,651","-1,662","-14,260","-1,002",-203,"-2,082"
Cash from Financing Activity +,186,"1,068",-178,-240,-242,388,"2,564",242,"13,049","-2,333","-1,854",-924
Net Cash Flow,-94,300,-47,-261,210,165,72,-243,641,-380,"2,004","-1,012"
Free Cash Flow,-627,-246,32,-251,-337,-546,-577,-746,129,"1,046","1,718",82
CFO/OP,49%,158%,86%,104%,104%,101%,86%,80%,86%,101%,139%,65%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,91,78,83,94,86,71,77,92,117,154,131,129
Inventory Days,132,153,160,161,199,263,304,309,423,368,346,390
Days Payable,125,172,187,224,231,243,246,216,383,467,460,434
Cash Conversion Cycle,98,59,57,31,53,91,134,184,157,55,18,85
Working Capital Days,-19,-12,24,6,-2,-31,8,71,3,-68,-63,-2
ROCE %,12%,9%,12%,8%,13%,13%,10%,9%,6%,6%,6%,4%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,60.64%,60.64%,60.64%,60.64%,60.64%,60.64%,60.64%,60.64%,54.45%,54.45%,54.45%,44.91%
FIIs +,9.52%,7.97%,6.55%,5.63%,5.90%,5.93%,5.66%,5.67%,6.04%,6.61%,7.39%,7.52%
DIIs +,12.59%,14.08%,14.51%,13.69%,14.29%,14.44%,15.36%,15.73%,22.83%,22.06%,21.67%,24.01%
Government +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.03%,0.05%
Public +,16.77%,16.92%,17.96%,19.74%,18.90%,18.74%,18.11%,17.77%,16.51%,16.70%,16.34%,23.40%
Others +,0.49%,0.39%,0.33%,0.32%,0.28%,0.25%,0.22%,0.21%,0.18%,0.14%,0.12%,0.09%
