--- ABOUT ---
Graphite India Ltd is mainly engaged in the business of manufacturing and selling of graphite & carbon and other products. [1]

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"12,495",640,802,68.8

Book Value,Dividend Yield,ROCE,ROE
300,1.09,4.57,3.10

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,815,747,793,690,720,728,643,523,666,665,729,642,816
Expenses +,753,838,823,703,730,615,533,531,627,622,686,600,955
Operating Profit,62,-91,-30,-13,-10,113,110,-8,39,43,43,42,-139
OPM %,8%,-12%,-4%,-2%,-1%,16%,17%,-2%,6%,6%,6%,7%,-17%
Other Income +,5,78,"1,045",63,72,194,168,19,57,150,89,81,55
Interest,4,6,4,4,3,3,4,2,2,2,3,2,18
Depreciation,15,18,19,21,22,20,22,23,25,24,24,24,23
Profit before tax,48,-37,992,25,37,284,252,-14,69,167,105,97,-125
Tax %,40%,-19%,19%,32%,57%,17%,23%,50%,29%,20%,28%,31%,-16%
Net Profit +,29,-30,802,17,16,236,194,-21,49,133,76,67,-105
EPS in Rs,1.48,-1.54,41.15,0.92,0.82,12.13,9.98,-1.02,2.56,6.86,3.94,3.48,-5.32
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"1,711","1,532","1,468","3,266","7,858","3,094","1,958","3,027","3,181","2,950","2,560","2,852"
Expenses +,"1,574","1,398","1,428","1,821","2,838","3,180","2,173","2,568","2,869","3,093","2,307","2,651"
Operating Profit,137,135,40,"1,445","5,020",-86,-215,458,312,-143,253,201
OPM %,8%,9%,3%,44%,64%,-3%,-11%,15%,10%,-5%,10%,7%
Other Income +,29,49,86,88,155,174,316,294,80,"1,258",438,163
Interest,16,9,8,8,12,18,6,5,13,17,11,25
Depreciation,44,49,46,52,62,51,52,55,57,80,90,95
Profit before tax,107,125,72,"1,473","5,101",19,43,693,322,"1,017",591,244
Tax %,46%,34%,2%,30%,33%,-134%,175%,27%,38%,21%,22%,30%
Net Profit +,58,83,70,"1,032","3,396",45,-32,505,199,805,458,171
EPS in Rs,2.95,4.24,3.61,52.82,173.80,2.30,-1.64,25.83,10.20,41.36,23.65,8.96
Dividend Payout %,68%,47%,55%,32%,32%,87%,-305%,39%,83%,27%,47%,78%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,39,39,39,39,39,39,39,39,39,39,39,39
