--- ABOUT ---
"Incorporated in 2000, Fractal Analytics Ltd is in the business of offering Analytics and AI based solutions [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"16,557",963,"1,120",55.1

Book Value,Dividend Yield,ROCE,ROE
185,0.00,12.6,12.2

Face Value
1.00

--- QUARTERLY RESULTS ---
,Dec 2024,Mar 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,707,758,798,854,886
Expenses +,622,635,724,744,713
Operating Profit,86,122,75,110,173
OPM %,12%,16%,9%,13%,20%
Other Income +,50,8,16,2,20
Interest,10,11,12,11,13
Depreciation,24,34,34,36,37
Profit before tax,102,86,46,65,143
Tax %,10%,35%,28%,-54%,19%
Net Profit +,92,56,33,100,116
EPS in Rs,27.78,16.36,2.50,7.44,6.85
Raw PDF,,,,,

--- ANNUAL RESULTS ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,873,"1,295","1,985","2,196","2,765","3,300"
Expenses +,774,"1,379","2,102","2,139","2,445","2,862"
Operating Profit,100,-84,-116,57,320,438
OPM %,11%,-6%,-6%,3%,12%,13%
Other Income +,19,19,553,40,78,52
Interest,16,14,45,44,58,47
Depreciation,52,69,78,83,102,136
Profit before tax,51,-148,313,-30,238,307
Tax %,29%,1%,38%,79%,7%,6%
Net Profit +,36,-148,194,-55,221,287
EPS in Rs,12.01,-45.80,59.45,-16.63,65.85,16.99
Dividend Payout %,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,2,3,3,3,3,17
Reserves,433,"1,100","1,360","1,403","1,750","3,168"
Borrowings +,293,301,326,364,430,418
Other Liabilities +,276,441,520,575,619,804
Total Liabilities,"1,004","1,845","2,209","2,344","2,802","4,407"
Fixed Assets +,172,552,"1,006",626,687,800
CWIP,20,30,1,6,14,0
Investments,96,404,292,879,994,"1,238"
Other Assets +,717,860,910,833,"1,107","2,369"
Total Assets,"1,004","1,845","2,209","2,344","2,802","4,407"

--- CASH FLOW ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,81,-117,-31,160,397,409
Cash from Investing Activity +,-53,-797,118,-146,-191,"-1,422"
Cash from Financing Activity +,-17,724,-57,-145,-22,938
Net Cash Flow,10,-190,30,-132,184,-76
Free Cash Flow,56,-167,-64,135,314,190
CFO/OP,102%,119%,8%,336%,141%,110%

--- RATIOS ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,86,112,92,89,77,79
Inventory Days,,,,,,
Days Payable,,,,,,
Cash Conversion Cycle,86,112,92,89,77,79
Working Capital Days,36,45,43,38,26,95
ROCE %,,-13%,-9%,0%,12%,13%

--- SHAREHOLDING PATTERN ---
,Mar 2026
Promoters +,16.97%
FIIs +,40.48%
DIIs +,13.25%
Public +,29.30%
No. of Shareholders,"1,01,465"

--- CAGR BOXES ---




