--- ABOUT ---
"Incorporated in 2005, Sutlej Textiles and Industries Ltd deals primarily in cotton and man-made fibre yarn and home textiles products [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
626,38.2,51.7,

Book Value,Dividend Yield,ROCE,ROE
49.8,0.00,-2.17,-8.55

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,744,704,735,607,656,658,686,654,679,605,642,636,693
Expenses +,718,706,769,613,652,640,674,651,670,609,630,619,664
Operating Profit,26,-1,-34,-6,4,18,12,4,9,-4,11,16,29
OPM %,3%,-0%,-5%,-1%,1%,3%,2%,1%,1%,-1%,2%,3%,4%
Other Income +,-8,6,5,4,0,7,4,3,7,5,2,4,-5
Interest,17,18,17,14,15,16,16,16,16,17,16,16,17
Depreciation,32,31,29,29,28,28,28,28,28,27,28,27,27
Profit before tax,-31,-45,-76,-45,-39,-19,-28,-37,-27,-43,-30,-23,-21
Tax %,-24%,-32%,-35%,-32%,-34%,-39%,-32%,-30%,-53%,-30%,-28%,-31%,-12%
Net Profit +,-24,-30,-49,-30,-26,-11,-19,-26,-13,-30,-22,-16,-18
EPS in Rs,-1.46,-1.86,-3.02,-1.84,-1.56,-0.70,-1.14,-1.57,-0.77,-1.84,-1.33,-0.99,-1.11
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"2,476","2,614","2,417","1,884","3,076","3,074","2,703","2,677","2,575"
Expenses +,"2,229","2,402","2,245","1,780","2,698","2,814","2,740","2,634","2,523"
Operating Profit,247,212,172,104,379,260,-37,43,53
OPM %,10%,8%,7%,6%,12%,8%,-1%,2%,2%
Other Income +,76,28,21,31,28,-10,16,22,5
Interest,59,57,46,38,50,58,65,63,66
Depreciation,107,101,101,96,121,127,117,111,110
Profit before tax,157,83,46,2,236,65,-204,-110,-117
Tax %,28%,29%,40%,276%,36%,43%,-33%,-38%,-27%
Net Profit +,113,58,28,-4,150,37,-136,-68,-86
EPS in Rs,6.92,3.56,1.69,-0.22,9.17,2.28,-8.27,-4.18,-5.27
Dividend Payout %,19%,18%,18%,-134%,20%,44%,-12%,0%,0%

--- BALANCE SHEET ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,16,16,16,16,16,16,16,16,16
Reserves,891,925,943,938,"1,084","1,093",945,878,799
Borrowings +,"1,047",923,875,909,943,953,846,879,931
Other Liabilities +,234,268,291,275,382,370,301,278,304
Total Liabilities,"2,188","2,133","2,125","2,139","2,425","2,432","2,109","2,051","2,050"
Fixed Assets +,"1,116","1,061","1,044","1,199","1,181","1,114","1,057","1,006",962
CWIP,10,21,177,42,16,9,8,7,9
Investments,51,26,1,1,1,1,0,0,1
Other Assets +,"1,012","1,024",903,897,"1,227","1,308","1,044","1,038","1,078"
Total Assets,"2,188","2,133","2,125","2,139","2,425","2,432","2,109","2,051","2,050"

--- CASH FLOW ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,157,216,319,89,95,196,222,66,72
Cash from Investing Activity +,-73,-14,-209,-92,-76,-118,-38,-25,-58
Cash from Financing Activity +,-74,-207,-109,3,-18,-81,-190,-32,-20
Net Cash Flow,11,-4,2,1,1,-2,-7,9,-5
Free Cash Flow,65,161,76,-10,11,69,172,6,15
CFO/OP,74%,110%,195%,87%,35%,88%,-553%,154%,142%

--- RATIOS ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,49,43,40,53,52,39,46,47,53
Inventory Days,133,134,128,160,139,167,111,124,129
Days Payable,26,29,33,40,35,32,33,39,46
Cash Conversion Cycle,156,148,134,173,156,173,124,132,136
Working Capital Days,39,42,35,38,38,33,25,22,14
ROCE %,,7%,5%,2%,15%,8%,-7%,-3%,-2%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,63.96%,63.96%,63.96%,63.96%,63.96%,63.96%,63.96%,63.96%,63.96%,63.96%,63.96%,63.96%
FIIs +,0.90%,0.83%,0.83%,0.87%,0.87%,1.45%,1.49%,1.45%,1.44%,1.41%,1.40%,1.04%
DIIs +,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%
Public +,35.12%,35.18%,35.20%,35.16%,35.15%,34.57%,34.53%,34.56%,34.57%,34.61%,34.60%,34.96%
No. of Shareholders,"24,770","26,325","28,876","29,900","29,758","29,647","28,810","28,619","27,951","27,747","27,049","26,541"

--- CAGR BOXES ---




