--- ABOUT ---
"Incorporated in 1994, Aditya Birla Sun Life AMC is set up as a joint venture between Aditya Birla Capital Ltd and Sun Life AMC. The Co. offers Mutual Fund services, Portfolio Management services, offshore and real estate offerings. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"34,140","1,181","1,189",34.9

Book Value,Dividend Yield,ROCE,ROE
140,2.03,32.2,25.2

Face Value
5.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,297,311,335,341,366,387,424,445,429,447,461,478,458
Expenses +,139,141,143,147,161,166,174,171,185,181,179,188,192
Operating Profit,158,170,192,194,205,220,250,274,244,266,283,290,266
OPM %,53%,55%,57%,57%,56%,57%,59%,62%,57%,59%,61%,61%,58%
Other Income +,32,78,56,80,74,95,96,38,72,118,45,82,-33
Interest,1,1,2,1,2,1,1,2,1,1,1,1,1
Depreciation,8,7,9,9,10,9,10,11,10,10,11,12,13
Profit before tax,181,240,237,264,268,305,335,300,305,372,316,358,219
Tax %,25%,23%,25%,21%,22%,23%,28%,25%,25%,26%,24%,25%,15%
Net Profit +,136,185,178,209,208,236,242,224,228,277,241,270,187
EPS in Rs,4.71,6.41,6.18,7.27,7.23,8.18,8.41,7.78,7.91,9.60,8.36,9.33,6.48
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"1,013","1,324","1,407","1,235","1,202","1,405","1,349","1,636","1,982","1,845"
Expenses +,670,771,723,532,467,473,521,592,696,740
Operating Profit,344,552,684,703,735,932,828,"1,044","1,287","1,105"
OPM %,34%,42%,49%,57%,61%,66%,61%,64%,65%,60%
Other Income +,1,0,0,0,4,3,5,5,4,212
Interest,0,5,6,6,6,5,4,6,6,5
Depreciation,8,26,32,37,37,36,34,35,40,46
Profit before tax,337,522,646,661,696,895,794,"1,008","1,245","1,266"
Tax %,34%,33%,31%,25%,24%,25%,25%,23%,25%,23%
Net Profit +,223,349,447,494,526,673,596,780,931,975
EPS in Rs,124.01,193.64,248.22,274.67,292.38,23.36,20.71,27.09,32.26,33.76
Dividend Payout %,22%,57%,67%,67%,27%,49%,50%,50%,74%,76%

--- BALANCE SHEET ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,18,18,18,18,18,144,144,144,144,144
Reserves,924,"1,120","1,203","1,299","1,687","2,052","2,373","3,025","3,583","3,897"
Borrowings +,0,70,72,62,59,54,48,79,68,64
Other Liabilities +,258,342,206,193,221,184,223,254,320,310
Total Liabilities,"1,200","1,549","1,498","1,572","1,985","2,435","2,788","3,502","4,114","4,415"
Fixed Assets +,18,90,95,86,77,72,70,111,107,119
CWIP,0,0,2,1,1,3,2,2,1,2
Investments,901,"1,141","1,138","1,263","1,726","2,121","2,359","3,122","3,692","3,946"
Other Assets +,281,318,263,221,180,239,357,267,315,348
Total Assets,"1,200","1,549","1,498","1,572","1,985","2,435","2,788","3,502","4,114","4,415"

--- CASH FLOW ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,0,346,315,497,512,563,437,685,708,812
Cash from Investing Activity +,0,-69,62,-66,-340,-298,-134,-511,-305,-95
Cash from Financing Activity +,0,-259,-384,-423,-162,-256,-335,-169,-399,-703
Net Cash Flow,0,18,-6,8,10,9,-32,5,5,15
Free Cash Flow,0,330,295,481,502,547,419,655,678,766
CFO/OP,0%,89%,79%,95%,90%,86%,75%,83%,78%,102%

--- RATIOS ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,20,12,7,12,9,7,7,9,11,11
Inventory Days,,,,,,,,,,
Days Payable,,,,,,,,,,
Cash Conversion Cycle,20,12,7,12,9,7,7,9,11,11
Working Capital Days,-18,-10,7,-1,-25,-5,11,-2,-5,-26
ROCE %,,49%,52%,50%,45%,45%,33%,35%,36%,32%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,86.49%,86.48%,86.48%,75.32%,75.00%,74.95%,74.90%,74.90%,74.88%,74.85%,74.82%,74.82%
FIIs +,1.68%,1.68%,1.74%,4.37%,4.62%,4.54%,5.04%,5.32%,5.52%,6.18%,6.05%,5.75%
DIIs +,4.69%,4.72%,5.21%,12.08%,11.59%,12.37%,11.51%,10.92%,10.80%,10.30%,10.79%,11.55%
Government +,0.00%,0.00%,0.00%,0.00%,0.02%,0.02%,0.02%,0.02%,0.03%,0.03%,0.03%,0.03%
Public +,7.15%,7.10%,6.57%,8.24%,8.78%,8.13%,8.52%,8.84%,8.77%,8.64%,8.31%,7.85%
No. of Shareholders,"4,18,859","4,04,493","3,82,248","3,65,456","3,44,787","2,97,030","2,88,489","2,86,736","2,71,241","2,59,806","2,52,480","2,44,638"

--- CAGR BOXES ---




