--- ABOUT ---
"Incorporated in 1988, ASK Automotive Limited is a manufacturer of Advance Braking Systems for two-wheelers in India. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"9,266",470,578,31.2

Book Value,Dividend Yield,ROCE,ROE
66.5,0.39,25.5,25.3

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,569,657,794,762,783,862,974,915,850,891,"1,054","1,084","1,147"
Expenses +,521,593,719,682,700,762,857,804,746,772,917,943,"1,015"
Operating Profit,48,64,74,80,82,101,117,111,104,120,137,141,132
OPM %,8%,10%,9%,11%,11%,12%,12%,12%,12%,13%,13%,13%,12%
Other Income +,3,3,7,12,4,4,3,5,6,4,7,5,7
Interest,4,4,8,8,8,8,9,8,9,10,12,12,14
Depreciation,15,15,17,18,19,20,22,23,25,26,28,29,31
Profit before tax,32,48,57,66,60,76,89,86,76,87,104,105,95
Tax %,29%,27%,28%,24%,20%,25%,25%,23%,24%,24%,23%,24%,25%
Net Profit +,23,35,41,50,48,57,67,66,58,66,80,80,72
EPS in Rs,1.14,1.77,2.09,2.53,2.42,2.88,3.41,3.34,2.92,3.35,4.05,4.05,3.63
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"1,785","1,645","1,544","2,013","2,555","2,995","3,601","4,176"
Expenses +,"1,559","1,434","1,358","1,847","2,325","2,694","3,169","3,645"
Operating Profit,226,211,186,166,231,301,432,531
OPM %,13%,13%,12%,8%,9%,10%,12%,13%
Other Income +,12,-6,19,11,11,27,18,22
Interest,20,20,11,8,11,29,34,48
Depreciation,37,52,52,56,61,69,89,114
Profit before tax,181,133,143,113,170,230,327,391
Tax %,33%,20%,26%,27%,28%,24%,24%,24%
Net Profit +,114,107,106,83,123,174,248,297
EPS in Rs,25.58,21.03,5.22,4.11,6.24,8.81,12.56,15.08
Dividend Payout %,0%,2%,8%,0%,0%,11%,12%,12%

--- BALANCE SHEET ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,9,10,41,40,39,39,39,39
Reserves,415,509,582,592,604,777,"1,004","1,272"
Borrowings +,307,149,54,175,328,346,412,679
Other Liabilities +,234,206,246,298,310,402,469,567
Total Liabilities,965,874,922,"1,106","1,281","1,565","1,924","2,557"
Fixed Assets +,560,607,603,738,726,992,"1,267","1,614"
CWIP,61,16,10,3,118,64,65,148
Investments,19,16,3,0,4,20,37,0
Other Assets +,326,235,306,365,433,488,555,794
Total Assets,965,874,922,"1,106","1,281","1,565","1,924","2,557"

--- CASH FLOW ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,176,247,136,144,139,303,360,301
Cash from Investing Activity +,-297,-60,-6,-80,-161,-278,-339,-479
Cash from Financing Activity +,119,-186,-115,-81,23,-16,-14,171
Net Cash Flow,-3,2,15,-17,1,10,8,-7
Free Cash Flow,-88,219,104,59,-11,23,30,-175
CFO/OP,98%,132%,91%,105%,79%,122%,100%,71%

--- RATIOS ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,33,16,31,36,30,26,20,26
Inventory Days,31,33,41,33,31,32,34,41
Days Payable,39,34,55,47,35,47,47,49
Cash Conversion Cycle,26,14,18,22,27,11,7,18
Working Capital Days,-2,-5,13,5,4,2,-1,2
ROCE %,,23%,21%,16%,20%,24%,28%,25%

--- SHAREHOLDING PATTERN ---
,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,85.00%,85.00%,85.00%,78.95%,78.95%,78.95%,78.95%,78.95%,74.95%,74.95%
FIIs +,4.92%,4.48%,4.91%,9.16%,9.91%,9.94%,10.24%,10.34%,9.72%,9.29%
DIIs +,3.83%,4.02%,4.20%,4.51%,4.66%,4.95%,5.00%,4.82%,9.13%,10.25%
Public +,6.25%,6.51%,5.87%,7.38%,6.47%,6.16%,5.82%,5.87%,6.20%,5.52%
No. of Shareholders,"91,238","88,349","76,532","81,907","85,600","81,492","78,376","84,144","84,119","83,847"

--- CAGR BOXES ---




