--- ABOUT ---
"Incorporated in 2007, Pace Digitek provides solutions for telecom infra and solar industries. It is involved in the manufacturing, installation and commissioning of DC Power systems, lithium batteries, monitoring systems and inverter. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"3,925",182,232,13.2

Book Value,Dividend Yield,ROCE,ROE
102,0.00,21.3,17.6

Face Value
2.00

--- QUARTERLY RESULTS ---
,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,342,846,567,683,367,533,644,"1,097"
Expenses +,245,659,446,607,287,439,526,934
Operating Profit,97,187,121,76,80,94,118,163
OPM %,28%,22%,21%,11%,22%,18%,18%,15%
Other Income +,16,0,0,7,6,10,10,20
Interest,45,41,22,7,10,7,9,34
Depreciation,2,2,1,2,2,2,5,3
Profit before tax,66,145,98,75,74,96,114,146
Tax %,25%,29%,28%,25%,26%,29%,31%,27%
Net Profit +,50,102,71,56,55,68,79,106
EPS in Rs,89.94,170.68,24.08,3.21,3.03,3.59,3.51,4.59
Raw PDF,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,406,503,"2,434","2,439","2,641"
Expenses +,377,474,"2,032","1,954","2,186"
Operating Profit,29,29,403,485,455
OPM %,7%,6%,17%,20%,17%
Other Income +,8,11,25,22,46
Interest,11,13,116,117,60
Depreciation,10,6,5,6,12
Profit before tax,16,22,307,384,430
Tax %,27%,25%,25%,27%,28%
Net Profit +,12,17,230,279,307
EPS in Rs,21.94,28.58,438.88,15.00,13.79
Dividend Payout %,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,5,5,5,36,43
Reserves,299,313,535,"1,134","2,164"
Borrowings +,133,192,494,162,981
Other Liabilities +,276,330,"1,221","1,318","2,126"
Total Liabilities,713,840,"2,254","2,649","5,314"
Fixed Assets +,142,139,139,146,209
CWIP,6,10,10,32,38
Investments,0,0,0,0,0
Other Assets +,565,692,"2,105","2,470","5,067"
Total Assets,713,840,"2,254","2,649","5,314"

--- CASH FLOW ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,57,-44,214,-176,-917
Cash from Investing Activity +,-22,-55,-318,244,-416
Cash from Financing Activity +,13,47,189,-85,"1,524"
Net Cash Flow,48,-51,85,-17,192
Free Cash Flow,54,-50,208,-212,-998
CFO/OP,215%,-123%,59%,-18%,-165%

--- RATIOS ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,301,286,161,276,286
Inventory Days,158,118,65,51,182
Days Payable,800,422,241,459,603
Cash Conversion Cycle,-340,-18,-14,-132,-136
Working Capital Days,75,60,-14,113,117
ROCE %,,7%,53%,41%,21%

--- SHAREHOLDING PATTERN ---
,Dec 2025,Mar 2026
Promoters +,69.52%,69.52%
FIIs +,2.31%,0.56%
DIIs +,5.18%,5.99%
Public +,23.00%,23.94%
No. of Shareholders,"79,347","78,483"

--- CAGR BOXES ---




