--- ABOUT ---
"EClerx Services Ltd incorporated in 2000, provides business process management, automation and analytics services to a number of Fortune 2000 enterprises, including some of the world's leading financial services, communications, retail, fashion, media & entertainment, manufacturing, travel & leisure and technology companies [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"13,343","1,419","2,498",18.9

Book Value,Dividend Yield,ROCE,ROE
272,0.04,34.8,29.0

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,693,684,722,753,767,782,832,854,898,935,"1,005","1,070","1,107"
Expenses +,486,517,517,546,571,616,616,646,680,714,734,794,824
Operating Profit,207,167,205,207,196,166,216,207,219,221,271,276,284
OPM %,30%,24%,28%,28%,26%,21%,26%,24%,24%,24%,27%,26%,26%
Other Income +,5,8,14,19,23,21,13,21,32,14,27,30,30
Interest,6,6,6,6,6,8,8,8,11,10,11,10,12
Depreciation,32,28,30,34,34,32,33,36,41,37,42,46,50
Profit before tax,174,141,182,187,179,148,188,184,199,188,245,250,252
Tax %,24%,24%,25%,26%,28%,24%,26%,25%,23%,25%,25%,23%,25%
Net Profit +,132,107,136,139,130,112,140,137,153,142,183,192,190
EPS in Rs,13.51,10.84,13.86,14.13,13.31,11.38,14.72,14.38,15.97,14.87,19.22,20.40,20.13
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,942,"1,314","1,330","1,365","1,431","1,438","1,564","2,160","2,648","2,926","3,366","4,117"
Expenses +,626,833,869,998,"1,122","1,111","1,115","1,498","1,925","2,150","2,557","3,066"
Operating Profit,316,482,461,368,309,326,450,662,723,776,809,"1,051"
OPM %,34%,37%,35%,27%,22%,23%,29%,31%,27%,27%,24%,26%
Other Income +,32,36,28,61,49,45,34,24,66,64,87,101
Interest,1,1,2,1,1,20,21,23,22,24,36,42
Depreciation,50,57,52,48,45,71,82,103,114,126,141,175
Profit before tax,298,460,436,380,311,281,381,560,653,689,719,935
Tax %,23%,26%,19%,24%,27%,26%,26%,25%,25%,26%,25%,24%
Net Profit +,230,342,354,290,228,209,283,418,489,512,541,706
EPS in Rs,18.90,27.90,29.65,25.00,19.66,18.83,26.99,41.08,49.83,52.14,56.78,75.09
Dividend Payout %,46%,1%,1%,1%,2%,2%,1%,1%,1%,1%,1%,1%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,30,41,40,38,38,36,34,33,48,48,47,92
Reserves,685,"1,052","1,176","1,167","1,344","1,270","1,467","1,534","1,667","2,199","2,259","2,469"
Borrowings +,0,4,1,6,2,157,175,163,194,266,358,385
Other Liabilities +,242,192,182,208,201,260,315,324,365,393,475,751
Total Liabilities,957,"1,288","1,398","1,419","1,584","1,723","1,991","2,055","2,274","2,906","3,139","3,697"
Fixed Assets +,167,365,325,343,348,480,728,713,773,850,974,"1,054"
CWIP,1,0,2,0,0,1,0,2,21,1,0,5
Investments,155,219,252,165,286,437,229,196,275,406,309,308
Other Assets +,634,704,820,910,950,806,"1,033","1,145","1,206","1,649","1,856","2,330"
Total Assets,957,"1,288","1,398","1,419","1,584","1,723","1,991","2,055","2,274","2,906","3,139","3,697"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,243,418,312,305,206,333,365,444,493,526,655,873
Cash from Investing Activity +,-62,-167,-175,26,-230,24,-2,44,-55,-483,143,-141
Cash from Financing Activity +,-115,-165,-245,-304,-54,-308,-188,-416,-440,-107,-610,-622
