--- ABOUT ---
"Incorporated in 1996, Worth Peripherals Ltd does manufacturing and sale of Corrugated Boxes [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
203,129,202,13.8

Book Value,Dividend Yield,ROCE,ROE
119,0.77,12.9,8.14

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,67.53,58.91,60.74,59.50,59.31,66.33,70.25,68.06,71.16,76.23,77.46,75.09,76.13
Expenses +,59.76,53.42,56.06,54.31,53.32,60.25,64.01,60.91,62.77,68.97,68.77,66.88,67.10
Operating Profit,7.77,5.49,4.68,5.19,5.99,6.08,6.24,7.15,8.39,7.26,8.69,8.21,9.03
OPM %,11.51%,9.32%,7.70%,8.72%,10.10%,9.17%,8.88%,10.51%,11.79%,9.52%,11.22%,10.93%,11.86%
Other Income +,0.85,1.78,0.92,1.14,4.60,0.96,1.03,1.14,1.52,1.13,1.35,0.20,0.05
Interest,0.31,0.39,0.59,0.51,0.19,0.21,0.21,0.18,1.36,0.43,0.46,0.47,0.31
Depreciation,1.69,1.52,1.55,1.79,1.29,1.70,1.63,1.68,1.57,1.67,1.70,1.70,1.72
Profit before tax,6.62,5.36,3.46,4.03,9.11,5.13,5.43,6.43,6.98,6.29,7.88,6.24,7.05
Tax %,29.76%,29.29%,19.36%,28.78%,24.70%,26.90%,32.41%,27.06%,25.36%,30.84%,29.70%,34.62%,35.46%
Net Profit +,4.64,3.79,2.78,2.88,6.87,3.75,3.68,4.70,5.20,4.34,5.55,4.08,4.56
EPS in Rs,2.60,2.25,1.73,1.92,4.18,2.10,1.93,2.60,3.17,2.18,2.90,2.02,2.19
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,138,158,193,175,217,293,297,238,276,305
Expenses +,122,136,167,151,189,264,263,217,248,272
Operating Profit,16,22,26,24,28,29,34,21,28,33
OPM %,11%,14%,13%,14%,13%,10%,12%,9%,10%,11%
Other Income +,6,3,1,4,6,7,2,8,5,3
Interest,3,2,2,2,2,1,1,2,2,2
Depreciation,4,4,5,6,6,6,6,6,7,7
Profit before tax,15,19,20,20,26,29,29,22,24,27
Tax %,29%,61%,26%,23%,30%,28%,28%,26%,28%,33%
Net Profit +,11,7,15,15,18,21,21,16,17,19
EPS in Rs,9.30,4.70,8.24,9.73,10.15,12.15,11.47,10.08,9.80,9.29
Dividend Payout %,0%,0%,18%,23%,20%,8%,9%,10%,10%,11%

--- BALANCE SHEET ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,12,16,16,16,16,16,16,16,16,16
Reserves,30,50,63,76,91,110,128,143,158,172
Borrowings +,24,15,10,21,21,19,4,10,20,42
Other Liabilities +,14,19,27,27,31,38,36,37,36,49
Total Liabilities,79,100,115,139,159,183,183,207,230,278
Fixed Assets +,49,52,56,83,79,76,79,91,84,80
CWIP,0,0,0,0,0,1,1,1,1,79
Investments,0,0,0,0,0,0,0,0,0,0
Other Assets +,30,47,59,56,79,107,103,115,144,120
Total Assets,79,100,115,139,159,183,183,207,230,278

--- CASH FLOW ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,10,8,16,17,13,16,34,13,21,30
Cash from Investing Activity +,-6,-7,5,-37,-7,-9,-23,-18,-26,-50
Cash from Financing Activity +,-5,11,-9,9,-2,-3,-17,5,7,19
Net Cash Flow,-1,12,12,-11,4,3,-6,-0,2,0
Free Cash Flow,5,1,13,-13,9,11,26,-3,16,-52
CFO/OP,89%,63%,89%,92%,63%,82%,120%,89%,98%,116%

--- RATIOS ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,40,39,48,52,59,53,46,60,56,45
Inventory Days,38,45,41,42,41,41,25,42,28,30
Days Payable,46,35,38,33,30,27,17,22,15,16
Cash Conversion Cycle,33,49,51,61,70,67,54,81,70,59
Working Capital Days,18,38,45,62,64,42,48,70,47,36
ROCE %,,29%,24%,21%,18%,20%,19%,14%,13%,13%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,74.30%,74.30%,74.30%,74.51%,74.51%,74.51%,68.16%,68.16%,68.16%,68.16%,68.16%,68.16%
FIIs +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%
Public +,25.70%,25.70%,25.70%,25.49%,25.49%,25.49%,31.84%,31.84%,31.84%,31.83%,31.84%,31.85%
No. of Shareholders,"7,131","7,783","7,634","8,166","7,679","7,750","7,161","7,153","6,892","6,777","6,491","6,252"

--- CAGR BOXES ---




