--- ABOUT ---
"Vaibhav Global Limited (VGL), through its distinctive business model, has created a niche for itself in the global retail space, especially in the jewellery, accessories and lifestyle product segments of two of the largest economies of the world - the US and UK. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"4,089",244,293 / 174,15.4

Book Value,Dividend Yield,ROCE,ROE
98.6,2.46,16.3,17.8

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,693,658,705,888,789,756,796,977,850,814,877,"1,066",935
Expenses +,646,600,642,795,736,699,736,868,788,752,800,930,851
Operating Profit,46,58,63,93,53,57,60,110,62,62,78,136,83
OPM %,7%,9%,9%,11%,7%,8%,8%,11%,7%,8%,9%,13%,9%
Other Income +,9,7,3,2,6,9,9,2,8,13,11,5,13
Interest,3,3,3,3,3,3,4,4,4,4,3,4,4
Depreciation,22,22,23,23,25,25,26,26,25,25,24,25,28
Profit before tax,30,40,41,68,32,37,39,82,41,46,60,112,64
Tax %,23%,27%,30%,31%,33%,27%,29%,22%,17%,18%,21%,20%,-43%
Net Profit +,23,30,29,47,21,27,28,64,34,38,48,90,91
EPS in Rs,1.42,1.80,1.78,2.87,1.29,1.67,1.67,3.84,2.05,2.26,2.85,5.38,5.46
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"1,376","1,277","1,439","1,571","1,814","1,986","2,540","2,752","2,691","3,041","3,380","3,692"
Expenses +,"1,242","1,218","1,353","1,422","1,611","1,725","2,170","2,471","2,491","2,772","3,090","3,334"
Operating Profit,134,58,86,148,203,262,370,281,200,269,290,358
OPM %,10%,5%,6%,9%,11%,13%,15%,10%,7%,9%,9%,10%
Other Income +,13,17,16,10,14,14,18,50,28,19,27,41
Interest,7,7,6,4,5,9,5,6,8,12,15,15
Depreciation,12,24,29,25,25,31,39,55,78,93,102,103
Profit before tax,128,45,66,129,188,236,344,271,141,182,200,282
Tax %,19%,11%,2%,13%,18%,20%,21%,12%,26%,30%,24%,6%
Net Profit +,103,40,65,112,154,190,272,237,105,127,153,266
EPS in Rs,6.37,2.45,3.97,6.90,9.43,11.77,16.70,14.50,6.36,7.72,9.22,15.93
Dividend Payout %,9%,-0%,-0%,-0%,21%,57%,30%,41%,94%,78%,16%,38%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,32,32,33,33,33,32,33,33,33,33,33,33
Reserves,296,335,402,518,664,719,931,"1,094","1,168","1,225","1,317","1,615"
