--- ABOUT ---
"Balkrishna Industries Limited (BKT) started its Off-Highway tyre business in 1987. For over 30 years, BKT has successfully focused on specialist segments such as agricultural, construction and industrial as well as earthmoving, port and mining, ATV, and gardening applications. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"43,375","2,244","2,801 / 1,970",34.9

Book Value,Dividend Yield,ROCE,ROE
567,0.71,12.4,11.6

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"2,317","2,159","2,253","2,274","2,682","2,714","2,420","2,560","2,752","2,760","2,393","2,737","2,933"
Expenses +,"1,837","1,658","1,720","1,734","2,001","2,051","1,840","1,960","2,139","2,254","1,882","2,094","2,293"
Operating Profit,480,501,533,541,681,664,580,601,614,506,511,643,640
OPM %,21%,23%,24%,24%,25%,24%,24%,23%,22%,18%,21%,24%,22%
Other Income +,57,106,107,66,171,162,90,187,99,107,71,77,-4
Interest,26,22,24,36,31,22,41,16,50,31,33,34,36
Depreciation,156,155,160,161,174,163,166,173,178,188,193,195,199
Profit before tax,355,430,456,409,647,640,463,600,485,394,357,491,401
Tax %,27%,23%,24%,25%,25%,23%,25%,25%,24%,27%,24%,22%,25%
Net Profit +,260,332,347,305,487,490,347,449,369,288,273,382,299
EPS in Rs,13.44,17.17,17.97,15.80,25.18,25.35,17.95,23.25,19.06,14.91,14.13,19.77,15.49
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"3,813","3,237","3,723","4,444","5,210","4,811","5,783","8,295","9,760","9,369","10,447","10,823"
Expenses +,"3,086","2,371","2,592","3,341","3,904","3,537","3,972","6,286","8,047","7,113","7,989","8,523"
Operating Profit,727,866,"1,131","1,103","1,306","1,274","1,811","2,009","1,712","2,256","2,458","2,300"
OPM %,19%,27%,30%,25%,25%,26%,31%,24%,18%,24%,24%,21%
Other Income +,277,131,254,340,215,250,171,438,342,449,539,252
Interest,48,40,22,15,12,11,12,9,48,113,129,134
Depreciation,244,282,304,311,333,374,416,455,571,651,681,775
Profit before tax,713,674,"1,059","1,116","1,177","1,140","1,555","1,982","1,435","1,941","2,187","1,644"
Tax %,34%,34%,32%,34%,34%,16%,24%,28%,26%,24%,24%,24%
Net Profit +,473,446,717,736,774,960,"1,178","1,435","1,057","1,471","1,655","1,243"
EPS in Rs,24.45,23.06,37.08,38.06,40.02,49.64,60.91,74.25,54.70,76.12,85.61,64.30
Dividend Payout %,5%,12%,11%,21%,20%,40%,28%,38%,29%,21%,19%,12%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,19,19,19,39,39,39,39,39,39,39,39,39
Reserves,"2,257","2,756","3,524","4,045","4,615","4,970","5,961","6,894","7,518","8,815","10,349","10,917"
