--- ABOUT ---
"Westlife Development Limited focuses on establishing and operating McDonald’s restaurants across West and South India, through its wholly owned subsidiary Hardcastle Restaurants Pvt Ltd [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"7,284",467,819,"1,414"

Book Value,Dividend Yield,ROCE,ROE
39.7,0.16,6.11,0.84

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,556.37,614.54,614.73,600.25,562.28,616.33,618.01,653.72,603.14,657.63,641.85,670.72,655.36
Expenses +,467.70,510.38,516.51,508.23,487.35,537.71,541.99,565.58,526.10,572.31,574.70,573.21,568.49
Operating Profit,88.67,104.16,98.22,92.02,74.93,78.62,76.02,88.14,77.04,85.32,67.15,97.51,86.87
OPM %,15.94%,16.95%,15.98%,15.33%,13.33%,12.76%,12.30%,13.48%,12.77%,12.97%,10.46%,14.54%,13.26%
Other Income +,5.59,5.28,3.30,4.70,5.18,5.11,6.47,2.94,9.95,6.80,63.50,-2.27,6.49
Interest,25.33,26.01,27.38,28.12,28.21,29.83,31.57,32.92,32.82,35.43,36.29,36.98,36.79
Depreciation,41.20,42.85,43.94,45.50,49.94,49.38,50.21,51.67,52.84,55.03,57.40,56.24,57.53
Profit before tax,27.73,40.58,30.20,23.10,1.96,4.52,0.71,6.49,1.33,1.66,36.96,2.02,-0.96
Tax %,27.55%,28.98%,25.96%,25.32%,60.71%,27.88%,49.30%,-8.01%,-14.29%,25.90%,25.00%,49.01%,-346.88%
Net Profit +,20.09,28.83,22.37,17.24,0.76,3.25,0.36,7.01,1.52,1.23,27.71,1.02,2.38
EPS in Rs,1.29,1.85,1.43,1.11,0.05,0.21,0.02,0.45,0.10,0.08,1.78,0.07,0.15
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,764,833,931,"1,135","1,402","1,548",986,"1,576","2,278","2,392","2,491","2,626"
Expenses +,745,786,881,"1,050","1,277","1,329",925,"1,379","1,896","2,015","2,162","2,289"
Operating Profit,19,48,50,84,125,219,61,197,382,377,329,337
OPM %,2%,6%,5%,7%,9%,14%,6%,13%,17%,16%,13%,13%
Other Income +,12,28,17,11,8,-8,34,20,12,11,15,75
Interest,10,15,15,15,18,81,85,83,93,110,127,145
Depreciation,50,58,64,67,80,138,140,136,152,182,204,226
Profit before tax,-29,3,-12,13,35,-9,-129,-2,149,96,13,40
Tax %,0%,8%,0%,0%,39%,-16%,-23%,-19%,25%,28%,7%,18%
Net Profit +,-29,3,-12,13,21,-7,-99,-2,112,69,12,32
EPS in Rs,-1.87,0.18,-0.78,0.83,1.37,-0.47,-6.38,-0.11,7.16,4.44,0.78,2.07
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,48%,78%,96%,"3,473%"

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,31,31,31,31,31,31,31,31,31,31,31,31
Reserves,502,507,496,511,553,546,450,431,535,557,572,588
Borrowings +,134,150,190,184,234,966,968,"1,055","1,203","1,363","1,623","1,805"
Other Liabilities +,105,150,162,203,206,220,274,281,330,335,381,406
Total Liabilities,773,838,880,929,"1,024","1,763","1,724","1,798","2,099","2,286","2,608","2,830"
Fixed Assets +,464,502,531,554,595,"1,409","1,284","1,362","1,623","1,817","2,051","2,252"
CWIP,21,18,17,20,28,23,26,36,57,45,26,69
Investments,148,156,170,184,204,157,198,150,130,138,159,120
Other Assets +,140,161,162,171,196,175,215,249,289,286,372,390
Total Assets,773,838,880,929,"1,024","1,763","1,724","1,798","2,099","2,286","2,608","2,830"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,19,80,66,137,112,200,129,171,349,340,345,352
Cash from Investing Activity +,-84,-80,-91,-111,-145,-68,-74,-56,-265,-185,-221,-202
Cash from Financing Activity +,61,-0,26,-22,32,-139,-45,-102,-98,-149,-79,-192
Net Cash Flow,-5,-1,0,4,-1,-7,10,12,-15,6,45,-42
Free Cash Flow,-86,3,-25,31,-31,74,80,71,79,124,127,115
CFO/OP,98%,168%,131%,165%,92%,99%,207%,90%,103%,101%,107%,109%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,2,2,2,2,3,1,3,3,2,3,3,2
