--- ABOUT ---
"The Company is engaged in the manufacturing of bead wire, a high-carbon steel wire utilized in the production of tires. Additionally, the Company produces drawn steel wire, commonly referred to as black wire, which finds applications in various industries such as automobile, construction, and engineering. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"2,278",449,540,32.5

Book Value,Dividend Yield,ROCE,ROE
128,0.45,13.3,11.6

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,219,204,214,233,240,220,245,218,251,247,294,302,314
Expenses +,186,179,180,198,205,191,207,192,218,216,254,261,286
Operating Profit,34,25,34,34,34,30,38,26,33,31,40,40,29
OPM %,15%,12%,16%,15%,14%,13%,15%,12%,13%,13%,14%,13%,9%
Other Income +,1,1,1,-0,1,1,0,0,1,1,1,1,3
Interest,4,5,5,5,4,5,8,8,7,7,8,7,6
Depreciation,5,4,4,5,5,5,6,6,6,7,7,7,8
Profit before tax,26,17,26,24,26,20,25,12,20,18,27,27,18
Tax %,21%,27%,25%,20%,23%,25%,23%,25%,24%,24%,23%,23%,13%
Net Profit +,20,12,19,20,20,15,19,9,15,14,21,21,15
EPS in Rs,3.99,2.45,3.84,3.88,3.99,3.00,3.75,1.83,2.99,2.66,4.05,4.08,3.04
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,274,283,283,345,493,480,547,893,895,890,935,"1,156"
Expenses +,249,241,242,311,440,412,454,711,733,763,808,"1,017"
Operating Profit,25,42,41,33,52,68,92,182,162,128,127,140
OPM %,9%,15%,14%,10%,11%,14%,17%,20%,18%,14%,14%,12%
Other Income +,1,1,2,7,2,1,2,2,3,3,2,6
Interest,14,15,11,9,11,13,13,15,17,20,28,28
Depreciation,7,7,7,8,9,12,14,16,18,18,23,28
Profit before tax,5,21,25,23,34,44,66,153,130,94,77,89
Tax %,65%,23%,26%,27%,22%,24%,20%,19%,23%,23%,24%,21%
Net Profit +,2,16,19,17,27,33,53,124,100,72,59,70
EPS in Rs,0.36,3.24,3.71,3.36,5.25,6.51,10.46,24.49,19.72,14.15,11.58,13.81
Dividend Payout %,24%,3%,3%,4%,3%,6%,15%,8%,10%,14%,17%,14%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,4,4,4,4,4,10,10,10,10,10,10,10
Reserves,47,63,92,111,138,163,216,331,429,482,549,640
Borrowings +,122,99,94,97,137,146,142,137,171,191,237,324
Other Liabilities +,47,39,41,47,53,59,70,139,128,143,163,185
Total Liabilities,221,204,232,259,333,378,439,617,739,826,960,"1,159"
Fixed Assets +,103,100,115,129,168,229,242,281,325,364,532,619
CWIP,1,6,2,6,32,10,9,30,140,191,72,88
Investments,0,0,0,0,0,0,0,0,0,0,0,1
Other Assets +,117,99,114,124,132,139,188,306,274,271,355,450
Total Assets,221,204,232,259,333,378,439,617,739,826,960,"1,159"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,20,34,32,39,48,51,39,122,159,106,57,75
Cash from Investing Activity +,-4,-8,-15,-18,-71,-45,-27,-96,-167,-96,-57,-113
Cash from Financing Activity +,-12,-28,-17,-18,22,-6,-10,-28,10,-10,8,50
Net Cash Flow,4,-3,-0,3,-2,-0,3,-2,2,0,8,11
Free Cash Flow,16,25,17,18,-24,6,12,35,-6,-14,-1,-40
CFO/OP,96%,91%,87%,129%,102%,87%,56%,81%,117%,101%,55%,62%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,81,75,85,76,53,64,78,74,56,63,71,81
Inventory Days,79,66,75,59,50,51,55,56,57,45,68,54
Days Payable,68,59,70,61,40,50,53,77,63,68,81,72
Cash Conversion Cycle,92,82,89,74,63,65,80,52,50,40,59,62
Working Capital Days,-36,-27,-16,-18,-14,-4,22,26,15,15,22,12
ROCE %,11%,21%,20%,15%,18%,19%,23%,40%,27%,18%,14%,13%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,65.10%,65.10%,65.10%,65.13%,65.13%,65.13%,65.13%,65.13%,65.13%,65.13%,65.13%,65.20%
FIIs +,0.68%,0.65%,0.73%,0.87%,0.29%,0.27%,0.16%,0.21%,0.14%,0.57%,0.50%,0.57%
DIIs +,8.28%,8.42%,8.69%,7.97%,8.19%,8.25%,8.21%,8.19%,8.26%,8.29%,8.27%,8.30%
Public +,25.95%,25.83%,25.48%,26.02%,26.37%,26.34%,26.49%,26.47%,26.47%,26.01%,26.09%,25.92%
No. of Shareholders,"75,943","78,086","73,913","74,022","73,221","69,578","68,778","66,292","65,750","65,101","65,547","64,168"

--- CAGR BOXES ---




