--- ABOUT ---
"PTC India Limited was established in 1999 by the Government of India as a Public-Private Initiative and is in the power trading business. It is promoted by Power Grid Corporation of India Limited (PGCIL), NTPC Limited (NTPC), Power Finance Corporation Limited (PFC) and NHPC Limited (NHPC). [1] [2]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"5,525",187,230 / 150,9.08

Book Value,Dividend Yield,ROCE,ROE
202,6.27,13.4,10.3

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"3,573","4,758","5,070","3,428","3,507","4,555","5,128","3,421","2,924","4,009","5,459","3,405","3,898"
Expenses +,"3,295","4,492","4,775","3,178","3,256","4,311","4,822","3,111","2,768","3,721","5,183","3,232","3,753"
Operating Profit,278,267,295,250,251,244,306,310,156,288,275,173,145
OPM %,8%,6%,6%,7%,7%,5%,6%,9%,5%,7%,5%,5%,4%
Other Income +,16,13,72,-7,-22,173,77,9,421,95,127,68,75
Interest,106,110,109,104,100,173,91,85,99,92,101,64,53
Depreciation,3,2,2,3,3,2,2,2,3,2,3,3,3
Profit before tax,185,168,255,136,126,242,290,232,475,289,298,175,164
Tax %,25%,25%,21%,29%,28%,22%,19%,22%,22%,16%,26%,25%,26%
Net Profit +,140,125,202,97,91,189,234,181,372,243,222,131,121
EPS in Rs,4.29,3.79,6.13,2.68,2.91,5.87,7.34,5.32,11.88,6.59,6.46,3.85,3.56
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"13,838","13,447","15,311","12,766","15,155","18,101","18,346","16,856","15,971","16,763","16,241","16,771"
Expenses +,"12,836","12,333","13,918","11,612","13,201","16,275","16,646","15,276","14,616","15,694","15,104","15,888"
Operating Profit,"1,002","1,114","1,393","1,154","1,954","1,826","1,699","1,580","1,355","1,070","1,137",883
OPM %,7%,8%,9%,9%,13%,10%,9%,9%,8%,6%,7%,5%
Other Income +,6,154,203,147,130,23,8,23,32,75,467,364
Interest,422,633,802,946,"1,243","1,159",928,757,605,431,356,310
Depreciation,8,10,21,97,97,100,100,101,102,10,9,10
Profit before tax,577,624,772,258,744,589,679,745,680,703,"1,239",926
Tax %,32%,35%,34%,36%,34%,31%,33%,26%,25%,24%,21%,22%
Net Profit +,326,406,506,165,490,406,458,552,507,533,976,717
EPS in Rs,8.66,10.90,14.01,6.75,14.37,12.42,15.16,17.10,15.05,16.11,30.41,20.46
Dividend Payout %,25%,23%,21%,59%,28%,44%,49%,46%,52%,48%,38%,42%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,296,296,296,296,296,296,296,296,296,296,296,296
Reserves,"2,786","3,255","3,559","3,423","3,666","3,891","4,124","4,427","4,723","4,846","5,509","5,685"
Borrowings +,"5,110","7,724","9,999","12,353","13,320","11,408","11,479","9,771","6,546","4,327","2,962","1,769"
