--- ABOUT ---
"Incorporated in 1989, Rashi Peripherals Ltd operates in ICT product distribution business and after-sale services [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"4,947",751,763,17.8

Book Value,Dividend Yield,ROCE,ROE
307,0.27,16.8,14.7

Face Value
5.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"2,259","2,446","3,023","2,624","3,002","4,267","3,706","2,826","2,973","3,152","4,155","4,030","4,489"
Expenses +,"2,197","2,354","2,953","2,560","2,934","4,184","3,607","2,805","2,879","3,049","4,052","3,911","4,357"
Operating Profit,62,92,69,64,68,83,99,21,94,104,104,119,133
OPM %,3%,4%,2%,2%,2%,2%,3%,1%,3%,3%,2%,3%,3%
Other Income +,3,4,1,4,16,7,5,48,5,8,4,12,16
Interest,23,25,29,30,23,14,17,23,24,27,24,26,29
Depreciation,5,4,5,5,5,4,4,4,5,4,5,6,6
Profit before tax,37,67,36,34,56,73,83,43,71,80,79,99,114
Tax %,35%,25%,39%,26%,15%,24%,16%,25%,25%,23%,25%,24%,24%
Net Profit +,24,50,22,25,47,55,70,32,53,62,59,75,87
EPS in Rs,,,,,6.04,8.38,10.58,4.83,7.78,9.31,8.88,11.16,12.78
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"3,991","3,934","5,925","9,313","9,454","11,095","13,773","15,827"
Expenses +,"3,932","3,847","5,713","9,012","9,198","10,798","13,468","15,369"
Operating Profit,59,87,212,301,256,297,305,459
OPM %,1%,2%,4%,3%,3%,3%,2%,3%
Other Income +,5,8,5,8,15,25,63,41
Interest,18,36,31,58,90,111,82,106
Depreciation,3,8,8,12,17,19,17,22
Profit before tax,44,51,179,240,165,192,269,371
Tax %,35%,25%,24%,24%,25%,25%,22%,24%
Net Profit +,29,38,136,183,123,144,210,282
EPS in Rs,,,,,,21.43,31.57,42.12
Dividend Payout %,0%,0%,0%,0%,2%,5%,3%,5%

--- BALANCE SHEET ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,0.99,1,1,21,21,33,33,33
Reserves,195,262,393,554,679,"1,518","1,709","1,992"
Borrowings +,370,327,490,882,"1,082",700,910,991
Other Liabilities +,401,494,708,"1,209","1,010","1,569","1,610","2,312"
Total Liabilities,967,"1,084","1,593","2,666","2,793","3,819","4,262","5,327"
Fixed Assets +,24,60,62,70,77,71,63,80
CWIP,0,1,3,0,4,0,0,0
Investments,13,2,0,7,6,0,0,0
Other Assets +,929,"1,020","1,527","2,588","2,706","3,748","4,198","5,247"
Total Assets,967,"1,084","1,593","2,666","2,793","3,819","4,262","5,327"

--- CASH FLOW ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-26,82,-109,-315,-115,-102,-299,114
Cash from Investing Activity +,-7,3,-1,-6,-4,1,53,19
Cash from Financing Activity +,33,-81,134,338,108,211,123,-80
Net Cash Flow,-0,4,24,16,-11,110,-123,53
Free Cash Flow,-36,79,-115,-327,-126,-109,-307,106
CFO/OP,-19%,110%,-35%,-80%,-24%,-18%,-86%,42%

--- RATIOS ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,46,39,49,45,34,46,48,50
Inventory Days,32,48,37,50,61,63,56,62
Days Payable,37,44,43,47,39,52,43,53
Cash Conversion Cycle,42,43,43,48,56,57,60,60
Working Capital Days,15,18,22,19,23,43,44,43
ROCE %,,15%,28%,25%,16%,14%,14%,17%

--- SHAREHOLDING PATTERN ---
,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,63.41%,63.41%,63.41%,63.41%,63.61%,63.65%,63.80%,63.98%,64.01%
FIIs +,1.63%,1.39%,0.90%,1.67%,1.11%,1.05%,1.39%,0.66%,0.78%
DIIs +,14.41%,16.18%,15.28%,16.09%,16.36%,16.39%,17.84%,18.45%,17.45%
Public +,20.55%,19.03%,20.41%,18.83%,18.93%,18.92%,16.98%,16.91%,17.76%
No. of Shareholders,"64,015","55,358","52,704","51,814","52,289","51,874","49,866","47,002","43,946"

--- CAGR BOXES ---




