--- ABOUT ---
"Indian Oil Corporation Ltd is a Maharatna Company controlled by GOI [1] that has business interests straddling the entire hydrocarbon value chain - from Refining, Pipeline transportation and marketing of Petroleum products to R&D, Exploration & production, marketing of natural gas and petrochemicals. It has the leadership position in the Oil refining & petroleum marketing sector of India. [2]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"2,02,541",143,189 / 130,4.81

Book Value,Dividend Yield,ROCE,ROE
155,4.88,18.8,20.7

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"203,872","198,551","179,246","199,906","198,650","193,845","174,976","194,014","195,270","192,341","178,628","205,157","208,289"
Expenses +,"186,236","174,851","156,075","183,172","186,675","183,923","171,509","186,442","180,241","179,073","162,383","182,412","183,485"
Operating Profit,"17,637","23,700","23,171","16,733","11,975","9,921","3,467","7,573","15,029","13,267","16,245","22,745","24,804"
OPM %,9%,12%,13%,8%,6%,5%,2%,4%,8%,7%,9%,11%,12%
Other Income +,"1,368",970,829,"1,916","1,686","1,102","2,556","1,936","1,519","1,732","1,356","1,627","2,424"
Interest,"1,957","1,743","1,977","1,958","2,147","2,080","2,546","2,458","2,178","2,070","2,270","2,088","1,880"
Depreciation,"3,288","3,476","3,610","4,686","4,094","4,103","4,065","4,284","4,325","4,179","4,227","4,457","5,557"
Profit before tax,"13,759","19,450","18,413","12,005","7,420","4,841",-589,"2,766","10,045","8,750","11,104","17,827","19,791"
Tax %,21%,24%,26%,23%,26%,23%,-24%,22%,17%,22%,26%,24%,23%
Net Profit +,"10,841","14,735","13,713","9,225","5,488","3,723",-449,"2,147","8,368","6,808","8,191","13,502","15,176"
EPS in Rs,7.29,10.22,9.29,6.39,3.65,2.50,-0.12,1.50,5.75,4.83,5.54,9.21,10.24
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"449,507","346,045","355,379","421,492","528,158","483,763","363,950","589,321","841,756","776,352","758,106","784,415"
Expenses +,"438,932","324,007","321,230","379,834","492,896","467,710","324,021","541,563","811,073","700,702","722,063","707,354"
Operating Profit,"10,575","22,038","34,149","41,658","35,262","16,053","39,929","47,758","30,683","75,650","36,043","77,062"
OPM %,2%,6%,10%,10%,7%,3%,11%,8%,4%,10%,5%,10%
Other Income +,"5,860","5,219","4,356","4,331","4,097","-7,165","4,696","4,332","5,124","5,384","7,112","7,139"
Interest,"4,201","3,487","3,743","3,875","4,925","5,792","2,933","5,454","7,588","7,881","9,315","8,308"
Depreciation,"5,219","5,698","6,806","7,664","8,506","10,273","10,941","12,348","13,181","15,866","16,777","18,420"
Profit before tax,"7,014","18,072","27,956","34,450","25,927","-7,177","30,751","34,289","15,038","57,288","17,063","57,472"
Tax %,31%,31%,27%,34%,33%,-74%,29%,25%,22%,25%,19%,24%
Net Profit +,"4,872","12,413","20,385","22,626","17,274","-1,876","21,762","25,727","11,704","43,161","13,789","43,677"
EPS in Rs,3.37,8.25,13.63,15.23,12.31,-0.63,15.32,17.78,6.93,29.55,9.63,29.81
Dividend Payout %,33%,28%,45%,90%,49%,-437%,51%,46%,42%,40%,30%,4%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,"2,428","2,370","4,739","9,479","9,181","9,181","9,181","9,181","13,772","13,772","13,772","13,772"
Reserves,"66,404","87,610","97,357","104,395","103,288","86,217","102,657","124,354","125,949","169,645","172,716","205,746"
Borrowings +,"64,893","58,552","63,271","65,650","96,765","129,790","116,649","132,020","148,977","132,628","152,271","131,822"
Other Liabilities +,"100,158","83,184","108,352","116,336","126,128","104,773","126,658","145,327","153,298","166,639","168,464","177,615"
Total Liabilities,"233,883","231,715","273,719","295,860","335,363","329,962","355,145","410,882","441,995","482,683","507,222","528,955"
Fixed Assets +,"76,781","100,033","115,958","124,053","132,494","147,022","157,085","160,514","180,048","195,998","201,142","211,722"
CWIP,"40,378","26,219","16,778","19,130","28,281","32,845","36,291","47,469","51,133","61,032","77,921","82,897"
Investments,"16,069","31,185","43,687","44,806","44,112","35,571","44,717","52,352","52,190","65,542","67,218","73,298"
Other Assets +,"100,655","74,278","97,295","107,871","130,476","114,524","117,053","150,546","158,624","160,111","160,940","161,039"
