--- ABOUT ---
"Incorporated in 1999, Rubicon Research Limited is a pharmaceutical company engaged in the development, manufacturing, & commercialization of differentiated formulations. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"22,522","1,362","1,400",91.3

Book Value,Dividend Yield,ROCE,ROE
78.1,0.00,28.4,27.0

Face Value
1.00

--- QUARTERLY RESULTS ---
,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,296,313,358,352,412,476,514
Expenses +,234,244,286,273,318,367,395
Operating Profit,62,70,72,79,94,108,119
OPM %,21%,22%,20%,22%,23%,23%,23%
Other Income +,3,0,0,1,1,4,3
Interest,7,8,12,11,11,10,10
Depreciation,8,9,10,10,12,12,12
Profit before tax,49,53,51,60,72,91,99
Tax %,30%,28%,29%,27%,25%,20%,22%
Net Profit +,34,38,36,43,54,73,77
EPS in Rs,2.27,2.50,2.35,2.81,3.49,4.42,4.65
Raw PDF,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,263,315,314,394,854,"1,284","1,754"
Expenses +,182,223,353,375,699,"1,028","1,354"
Operating Profit,81,92,-39,18,155,256,400
OPM %,31%,29%,-12%,5%,18%,20%,23%
Other Income +,18,10,17,25,18,12,8
Interest,6,9,10,19,31,37,42
Depreciation,18,29,34,36,39,37,45
Profit before tax,74,63,-66,-11,103,195,321
Tax %,33%,51%,2%,53%,12%,31%,23%
Net Profit +,49,31,-67,-17,91,134,247
EPS in Rs,97.46,60.53,-132.39,-33.31,5.98,8.72,14.95
Dividend Payout %,2%,2%,-0%,-2%,0%,0%,10%

--- BALANCE SHEET ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,5,5,5,5,15,15,17
Reserves,335,369,300,281,370,526,"1,272"
Borrowings +,30,93,175,320,425,418,311
Other Liabilities +,60,71,79,144,300,493,727
Total Liabilities,430,538,560,750,"1,109","1,451","2,327"
Fixed Assets +,157,188,193,199,307,327,532
CWIP,2,6,3,25,10,7,40
Investments,19,14,0,0,0,0,27
Other Assets +,252,330,364,526,793,"1,118","1,728"
Total Assets,430,538,560,750,"1,109","1,451","2,327"

--- CASH FLOW ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,5,62,-63,-75,21,159,205
Cash from Investing Activity +,-84,-46,-46,-32,-68,-65,-410
Cash from Financing Activity +,80,52,63,123,44,-40,283
Net Cash Flow,1,67,-45,16,-4,54,78
Free Cash Flow,-54,-10,-117,-119,-35,91,-24
CFO/OP,40%,104%,138%,-394%,25%,77%,78%

--- RATIOS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,194,158,162,209,129,92,106
Inventory Days,360,508,502,609,428,574,479
Days Payable,183,271,320,353,252,263,248
Cash Conversion Cycle,371,395,345,465,305,403,337
Working Capital Days,183,149,107,75,57,46,104
ROCE %,,17%,-12%,1%,19%,26%,28%

--- SHAREHOLDING PATTERN ---
,Dec 2025,Mar 2026
Promoters +,59.99%,59.86%
FIIs +,7.99%,7.54%
DIIs +,9.45%,10.02%
Public +,22.57%,22.57%
No. of Shareholders,"31,914","33,738"

--- CAGR BOXES ---




