--- ABOUT ---
Muthoot Finance is NBFC engaged in the business of providing gold loans. The company predominately operates in Southern India [1]

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,25,503","3,126","4,150",11.8

Book Value,Dividend Yield,ROCE,ROE
975,0.96,15.8,30.9

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue +,"3,275","3,472","3,606","3,820","4,164","4,474","4,929","5,190","5,622","6,450","7,283","8,188","9,289"
Interest,"1,091","1,236","1,335","1,412","1,447","1,595","1,807","1,900","2,111","2,355","2,571","2,919","3,155"
Expenses +,829,847,805,872,"1,121","1,226","1,324","1,405","1,549","1,441","1,480","1,426","1,528"
Financing Profit,"1,355","1,389","1,467","1,536","1,596","1,653","1,798","1,885","1,961","2,654","3,232","3,843","4,606"
Financing Margin %,41%,40%,41%,40%,38%,37%,36%,36%,35%,41%,44%,47%,50%
Other Income +,23,37,26,23,16,19,29,32,6,35,50,20,3
Depreciation,23,19,22,24,27,26,25,31,35,35,38,40,24
Profit before tax,"1,355","1,407","1,470","1,534","1,585","1,646","1,802","1,886","1,932","2,654","3,244","3,822","4,584"
Tax %,26%,26%,26%,25%,25%,27%,27%,26%,25%,26%,26%,26%,26%
Net Profit +,"1,009","1,045","1,095","1,145","1,182","1,196","1,321","1,392","1,444","1,974","2,412","2,823","3,397"
EPS in Rs,24.25,25.46,26.39,27.49,28.37,28.99,31.67,34.60,36.81,50.22,60.29,69.84,83.43
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue +,"4,336","4,936","5,935","6,714","7,594","9,684","11,535","12,186","11,898","15,062","20,214","31,209"
Interest,"2,114","2,288","2,374","2,132","2,543","3,180","4,109","4,268","4,225","5,452","7,461","11,000"
Expenses +,"1,110","1,268","1,554","1,656","1,747","2,207","2,259","2,490","2,747","3,622","5,481","5,822"
Financing Profit,"1,112","1,381","2,007","2,927","3,305","4,298","5,167","5,428","4,926","5,988","7,272","14,388"
Financing Margin %,26%,28%,34%,44%,44%,44%,45%,45%,41%,40%,36%,46%
Other Income +,1,5,3,67,6,22,32,52,75,101,110,54
Depreciation,84,59,52,52,52,59,67,70,78,92,116,137
Profit before tax,"1,029","1,327","1,959","2,942","3,260","4,260","5,131","5,410","4,923","5,996","7,266","14,305"
Tax %,35%,38%,38%,37%,35%,26%,26%,25%,25%,26%,26%,26%
Net Profit +,672,818,"1,200","1,844","2,103","3,169","3,819","4,031","3,670","4,468","5,352","10,607"
EPS in Rs,16.86,20.41,30.03,45.74,51.86,78.25,94.83,100.08,89.98,107.71,132.84,263.79
Dividend Payout %,36%,29%,20%,22%,23%,19%,21%,20%,24%,22%,20%,11%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,398,399,399,400,401,401,401,401,401,401,401,401
Reserves,"4,686","5,223","6,139","7,457","9,531","11,428","15,174","18,384","21,264","24,706","28,965","38,729"
Borrowing,"19,621","18,854","22,177","23,891","30,128","40,952","50,414","54,569","55,804","68,125","99,383","151,806"
Other Liabilities +,"2,292","2,918","3,469","1,925","1,675","2,085","2,638","2,946","2,664","3,221","4,085","4,817"
Total Liabilities,"26,996","27,395","32,184","33,672","41,734","54,867","68,627","76,300","80,134","96,453","132,835","195,754"
Fixed Assets +,269,235,257,251,259,314,327,342,386,482,682,721
CWIP,7,11,10,6,23,29,39,52,67,89,13,10
Investments,20,49,97,177,211,630,809,523,546,712,"2,401",550
Other Assets +,"26,700","27,100","31,820","33,237","41,241","53,894","67,453","75,382","79,135","95,170","129,739","194,472"
Total Assets,"26,996","27,395","32,184","33,672","41,734","54,867","68,627","76,300","80,134","96,453","132,835","195,754"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-479,108,"-2,186","-1,432","-4,824","-4,970","-7,814","-1,596","-2,804","-13,605","-26,525","-47,393"
Cash from Investing Activity +,21,-43,-177,-126,-162,-385,37,410,180,48,"-1,375","2,458"
Cash from Financing Activity +,249,"-1,102","3,027",824,"6,351","9,193","9,712","3,445",395,"11,809","30,041","49,320"
Net Cash Flow,-209,"-1,036",664,-734,"1,364","3,838","1,935","2,260","-2,229","-1,749","2,142","4,385"
Free Cash Flow,-503,80,"-2,240","-1,467","-4,901","-5,062","-7,904","-1,691","-2,944","-13,826","-26,740","-47,543"
CFO/OP,-4%,13%,-30%,-8%,-62%,-52%,-70%,-2%,-16%,-105%,-168%,-172%

--- RATIOS ---
