--- ABOUT ---
"Eicher Motors Limited, incorporated in 1982, is the listed company of the Eicher Group in India and a leading player in the Indian automobile industry and the global leader in middleweight motorcycles. Eicher has a joint venture with Sweden’s AB Volvo to create Volvo Eicher Commercial Vehicles Limited (VECV). VECV is engaged in truck and bus operations, auto components business, and technical consulting services business [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"2,08,781","7,611","8,233 / 5,353",37.6

Book Value,Dividend Yield,ROCE,ROE
915,0.92,30.5,24.0

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"3,804","3,986","4,115","4,179","4,256","4,393","4,263","4,973","5,241","5,042","6,172","6,114","6,080"
Expenses +,"2,871","2,966","3,027","3,089","3,127","3,228","3,175","3,772","3,983","3,839","4,660","4,557","4,566"
Operating Profit,934,"1,021","1,087","1,090","1,129","1,165","1,088","1,201","1,258","1,203","1,512","1,557","1,514"
OPM %,25%,26%,26%,26%,27%,27%,26%,24%,24%,24%,24%,25%,25%
Other Income +,379,344,375,368,437,457,468,452,628,603,486,465,675
Interest,8,10,13,12,15,12,13,13,16,15,19,17,20
Depreciation,148,142,143,148,165,169,180,179,201,198,200,211,232
Profit before tax,"1,156","1,212","1,307","1,298","1,385","1,441","1,362","1,461","1,669","1,593","1,779","1,793","1,937"
Tax %,22%,24%,22%,23%,23%,24%,19%,20%,18%,24%,23%,21%,22%
Net Profit +,906,918,"1,016",996,"1,070","1,101","1,100","1,170","1,362","1,205","1,369","1,421","1,520"
EPS in Rs,33.11,33.58,37.12,36.38,39.10,40.20,40.15,42.70,49.68,43.95,49.93,51.79,55.41
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Dec 2014,Mar 2016 15m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"8,738","6,173","7,033","8,965","9,797","9,154","8,720","10,298","14,442","16,536","18,870","23,408"
Expenses +,"7,621","4,484","4,859","6,156","6,893","6,971","6,937","8,120","10,996","12,206","14,148","17,622"
Operating Profit,"1,118","1,690","2,174","2,809","2,904","2,183","1,783","2,178","3,446","4,329","4,723","5,785"
OPM %,13%,27%,31%,31%,30%,24%,20%,21%,24%,26%,25%,25%
Other Income +,105,326,416,536,701,572,482,496,908,"1,521","1,994","2,229"
Interest,10,2,4,5,7,19,16,19,28,51,54,72
Depreciation,220,137,154,223,300,382,451,452,526,598,729,840
Profit before tax,993,"1,877","2,433","3,116","3,297","2,355","1,798","2,203","3,800","5,202","5,933","7,102"
Tax %,29%,29%,30%,30%,33%,22%,25%,24%,23%,23%,20%,22%
Net Profit +,702,"1,338","1,667","1,960","2,203","1,827","1,347","1,677","2,914","4,001","4,734","5,515"
EPS in Rs,22.71,49.27,61.27,71.89,80.75,66.91,49.28,61.32,106.55,146.13,172.69,201.06
Dividend Payout %,22%,20%,16%,15%,15%,19%,34%,34%,35%,35%,41%,41%

--- BALANCE SHEET ---
,Dec 2014,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,27,27,27,27,27,27,27,27,27,27,27,27
Reserves,"2,489","3,626","5,318","7,003","8,891","9,954","11,411","12,581","14,963","18,018","21,269","25,073"
Borrowings +,58,23,112,151,187,249,219,108,288,419,458,514
Other Liabilities +,"3,829","1,263","1,552","2,341","2,281","2,220","2,901","3,424","3,919","4,650","5,420","6,549"
