--- ABOUT ---
"Incorporated in 1995, Mankind Pharma Limited develops, manufactures, and markets pharmaceutical formulations in various acute and chronic therapeutic areas and several consumer healthcare products. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"99,705","2,414","2,727",49.6

Book Value,Dividend Yield,ROCE,ROE
395,0.04,13.5,13.1

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"2,053","2,579","2,708","2,607","2,422","2,868","3,061","3,199","3,079","3,570","3,697","3,567","3,443"
Expenses +,"1,636","1,924","2,025","2,000","1,836","2,196","2,214","2,383","2,396","2,724","2,776","2,648","2,513"
Operating Profit,417,655,683,606,586,672,847,816,683,847,921,919,930
OPM %,20%,25%,25%,23%,24%,23%,28%,26%,22%,24%,25%,26%,27%
Other Income +,50,63,63,75,94,108,109,87,249,83,94,-31,94
Interest,5,6,9,9,9,11,7,221,191,171,170,157,142
Depreciation,85,87,96,110,100,103,100,187,231,219,222,223,223
Profit before tax,377,624,641,562,572,666,849,495,511,540,624,509,659
Tax %,22%,21%,20%,18%,17%,18%,22%,22%,17%,18%,17%,19%,15%
Net Profit +,294,494,511,460,477,543,659,385,425,445,520,414,559
EPS in Rs,7.13,12.15,12.51,11.33,11.76,13.39,16.31,9.22,10.20,10.62,12.39,9.90,13.43
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"3,334","5,865","6,214","7,782","8,749","10,260","12,207","14,278"
Expenses +,"2,748","4,427","4,565","5,791","6,848","7,743","9,182","10,660"
Operating Profit,586,"1,438","1,649","1,991","1,902","2,517","3,026","3,617"
OPM %,18%,25%,27%,26%,22%,25%,25%,25%
Other Income +,76,122,183,210,141,295,548,241
Interest,2,23,21,60,46,34,432,639
Depreciation,39,99,119,167,326,378,621,886
Profit before tax,621,"1,438","1,692","1,975","1,671","2,399","2,521","2,333"
Tax %,29%,27%,24%,26%,22%,19%,20%,17%
Net Profit +,445,"1,056","1,293","1,453","1,310","1,942","2,011","1,938"
EPS in Rs,219.33,25.72,31.59,35.78,32.00,47.75,48.26,46.34
Dividend Payout %,0%,0%,24%,0%,0%,0%,0%,2%

--- BALANCE SHEET ---
,Mar 2015,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,20,40,40,40,40,40,41,41
Reserves,"2,035","3,445","4,682","6,115","7,395","9,323","14,291","16,259"
Borrowings +,0,131,241,873,170,207,"8,511","6,312"
Other Liabilities +,968,"1,449","1,397","2,080","2,080","2,313","4,808","5,468"
Total Liabilities,"3,022","5,065","6,360","9,108","9,686","11,883","27,652","28,080"
Fixed Assets +,316,"1,600","1,664","3,588","4,251","4,545","19,005","19,093"
CWIP,47,317,372,701,550,282,826,655
Investments,959,829,"1,512","1,109","1,346","2,568","2,042","1,985"
Other Assets +,"1,700","2,319","2,811","3,709","3,538","4,488","5,780","6,346"
Total Assets,"3,022","5,065","6,360","9,108","9,686","11,883","27,652","28,080"

--- CASH FLOW ---
,Mar 2015,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,,"1,070","1,137",920,"1,813","2,152","2,413","3,121"
Cash from Investing Activity +,,-436,"-1,222","-1,369","-1,052","-2,081","-12,624",-196
Cash from Financing Activity +,,-531,-8,605,-740,5,"10,233","-2,953"
Net Cash Flow,,103,-92,156,22,77,22,-28
Free Cash Flow,,853,826,"-1,423",987,"1,771","1,895","2,387"
CFO/OP,,97%,96%,71%,112%,103%,98%,103%

--- RATIOS ---
,Mar 2015,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,22,33,19,18,24,30,46,44
Inventory Days,166,175,243,265,188,180,219,193
Days Payable,71,145,137,162,126,90,119,121
Cash Conversion Cycle,117,63,125,121,86,120,146,117
Working Capital Days,56,30,32,24,39,53,-28,-1
ROCE %,,,37%,32%,22%,26%,16%,14%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,76.50%,76.50%,76.50%,74.88%,74.87%,74.87%,72.71%,72.70%,72.67%,72.67%,72.66%,72.66%
FIIs +,4.18%,4.18%,6.74%,9.87%,11.58%,12.37%,13.34%,12.92%,13.07%,12.83%,11.34%,10.24%
DIIs +,4.65%,4.56%,9.78%,11.14%,9.94%,9.91%,11.05%,11.47%,11.50%,11.91%,13.26%,14.46%
Public +,14.67%,14.76%,6.97%,4.10%,3.61%,2.86%,2.89%,2.89%,2.75%,2.57%,2.75%,2.63%
No. of Shareholders,"1,31,918","1,34,731","1,27,449","1,35,116","1,53,450","1,63,854","1,71,281","1,80,597","1,79,549","1,70,347","1,77,539","1,77,606"

--- CAGR BOXES ---




