--- ABOUT ---
"Supreme Industries Limited is India’s leading plastics product manufacturer, offering a wide and comprehensive range of plastic products in India. The company operates in various product categories viz. Plastic Piping System, Cross Laminated Films & Products, Protective Packaging Products, Industrial Moulded Components, Moulded Furniture, Storage & Material Handling Products, Performance Packaging Films and Composite LPG Cylinders. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"44,783","3,526","4,665",48.0

Book Value,Dividend Yield,ROCE,ROE
486,1.02,20.7,15.8

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"2,598","2,369","2,309","2,449","3,008","2,636","2,273","2,510","3,027","2,609","2,394","2,687","3,528"
Expenses +,"2,118","2,047","1,952","2,070","2,517","2,249","1,954","2,201","2,611","2,290","2,096","2,373","2,905"
Operating Profit,480,322,356,379,491,387,319,309,416,319,297,314,623
OPM %,18%,14%,15%,15%,16%,15%,14%,12%,14%,12%,12%,12%,18%
Other Income +,61,36,37,42,59,59,43,31,45,42,30,13,60
Interest,4,2,2,5,8,3,3,3,3,3,6,11,9
Depreciation,72,72,72,77,77,86,90,91,91,93,104,110,121
Profit before tax,465,283,319,338,465,357,270,245,367,265,218,206,553
Tax %,23%,24%,24%,24%,24%,23%,23%,24%,20%,24%,24%,26%,22%
Net Profit +,359,216,243,256,355,273,207,187,294,202,165,153,434
EPS in Rs,28.30,16.97,19.14,20.17,27.93,21.52,16.26,14.72,23.14,15.93,12.97,12.07,34.13
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Jun 2015,Mar 2016 9m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"4,254","2,960","4,462","4,969","5,612","5,512","6,355","7,773","9,202","10,134","10,446","11,218"
Expenses +,"3,588","2,498","3,700","4,182","4,827","4,676","5,071","6,531","8,002","8,587","9,015","9,664"
Operating Profit,666,462,762,787,785,835,"1,284","1,242","1,200","1,547","1,432","1,553"
OPM %,16%,16%,17%,16%,14%,15%,20%,16%,13%,15%,14%,14%
Other Income +,5,-4,8,38,89,32,163,224,183,173,178,146
Interest,60,32,34,21,26,20,22,5,8,16,12,29
Depreciation,139,105,154,167,184,206,213,230,263,298,359,428
Profit before tax,472,322,582,637,664,641,"1,212","1,232","1,111","1,405","1,239","1,242"
Tax %,34%,37%,35%,32%,32%,27%,19%,21%,22%,24%,22%,23%
Net Profit +,322,221,430,432,449,467,978,968,865,"1,070",961,954
EPS in Rs,25.38,17.43,33.88,33.99,35.32,36.80,77.00,76.24,68.12,84.21,75.64,75.10
Dividend Payout %,35%,43%,44%,35%,37%,38%,29%,31%,38%,36%,45%,48%

--- BALANCE SHEET ---
,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,25,25,25,25,25,25,25,25,25,25,25,25
Reserves,"1,186","1,290","1,670","1,869","2,129","2,236","3,144","3,819","4,377","5,083","5,635","6,144"
Borrowings +,393,412,279,248,162,441,38,46,51,55,76,91
Other Liabilities +,753,697,832,793,913,917,"1,075","1,106","1,241","1,392","1,432","1,535"
Total Liabilities,"2,357","2,425","2,807","2,936","3,229","3,619","4,282","4,996","5,694","6,556","7,168","7,795"
Fixed Assets +,"1,033","1,185","1,263","1,353","1,521","1,608","1,714","1,767","2,064","2,322","2,669","3,673"
CWIP,100,68,47,75,90,93,51,156,84,149,407,136
Investments,121,126,175,194,222,207,337,476,577,638,720,762
Other Assets +,"1,104","1,046","1,322","1,314","1,396","1,711","2,180","2,597","2,969","3,447","3,372","3,223"
Total Assets,"2,357","2,425","2,807","2,936","3,229","3,619","4,282","4,996","5,694","6,556","7,168","7,795"

--- CASH FLOW ---
,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,601,296,465,508,556,539,"1,246",470,890,"1,413","1,004","1,225"
Cash from Investing Activity +,-186,-218,-202,-267,-240,-196,-199,-403,-345,-591,-798,"-1,024"
Cash from Financing Activity +,-260,-234,-210,-284,-316,-156,-506,-310,-327,-382,-440,-496
Net Cash Flow,155,-155,52,-43,0,188,542,-243,219,441,-234,-295
Free Cash Flow,407,65,255,226,230,300,"1,025",4,469,866,116,416
CFO/OP,112%,91%,83%,92%,103%,84%,115%,61%,94%,112%,91%,95%

--- RATIOS ---
,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,20,29,23,28,25,21,22,22,20,18,19,16
Inventory Days,60,107,101,80,74,94,70,88,78,74,70,80
Days Payable,39,66,59,56,55,58,60,55,51,55,47,51
Cash Conversion Cycle,42,70,64,52,44,57,33,54,47,37,42,45
Working Capital Days,2,3,19,23,24,14,19,45,40,30,29,34
ROCE %,34%,22%,33%,32%,28%,26%,42%,35%,26%,29%,22%,21%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,48.85%,48.85%,48.85%,48.85%,48.85%,48.85%,48.85%,48.85%,48.90%,48.90%,48.96%,48.96%
FIIs +,19.06%,23.85%,24.65%,24.68%,25.05%,25.93%,24.69%,22.94%,21.94%,20.66%,19.23%,17.12%
DIIs +,17.12%,12.54%,11.95%,11.41%,11.50%,10.62%,11.96%,13.25%,14.59%,15.96%,17.12%,19.14%
Government +,0.00%,0.00%,0.25%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.09%,0.10%,0.10%
Public +,14.98%,14.76%,14.32%,15.07%,14.60%,14.60%,14.51%,14.96%,14.55%,14.39%,14.61%,14.69%
No. of Shareholders,"64,520","71,259","67,837","67,813","69,383","80,278","76,210","82,311","83,346","78,801","86,450","85,804"

--- CAGR BOXES ---




