--- ABOUT ---
Kabra Extrusiontechnik Limited was incorporated in 1982. It is part of the Kolsite group and operates in the business of plastic extrusion machinery. KET specializes in providing plastic extrusion machinery for manufacturing pipes and films. It has two manufacturing locations in Daman. Co. has also started Lithium ion battery packs business from FY21 [1] [2]

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
831,238,330,

Book Value,Dividend Yield,ROCE,ROE
126,1.05,0.65,-1.14

Face Value
5.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,177.96,133.64,182.39,123.86,167.98,88.20,128.00,121.17,139.54,85.97,134.60,110.34,120.15
Expenses +,154.58,121.23,171.00,115.23,140.04,83.26,106.04,107.14,135.19,88.94,125.63,108.85,117.21
Operating Profit,23.38,12.41,11.39,8.63,27.94,4.94,21.96,14.03,4.35,-2.97,8.97,1.49,2.94
OPM %,13.14%,9.29%,6.24%,6.97%,16.63%,5.60%,17.16%,11.58%,3.12%,-3.45%,6.66%,1.35%,2.45%
Other Income +,0.44,1.49,2.40,2.10,3.39,5.38,2.01,2.85,16.17,4.05,1.15,1.41,16.83
Interest,2.99,2.44,2.44,2.37,2.53,2.42,2.38,3.02,3.36,2.66,2.68,2.97,3.09
Depreciation,3.57,3.72,3.87,3.95,4.08,5.05,5.31,4.94,5.40,6.25,7.99,8.10,7.92
Profit before tax,17.26,7.74,7.48,4.41,24.72,2.85,16.28,8.92,11.76,-7.83,-0.55,-8.17,8.76
Tax %,28.22%,25.32%,24.87%,21.77%,23.26%,29.47%,24.26%,21.08%,7.91%,-2.68%,-160.00%,-39.05%,21.35%
Net Profit +,12.39,5.78,5.63,3.45,18.97,2.01,12.33,7.04,10.83,-7.61,0.33,-4.98,6.90
EPS in Rs,3.69,1.72,1.61,0.99,5.42,0.57,3.53,2.01,3.10,-2.18,0.09,-1.42,1.97
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,299,276,268,245,220,276,406,670,608,477,451
Expenses +,261,246,240,225,208,235,351,596,547,427,441
Operating Profit,38,30,28,21,12,41,55,74,61,50,10
OPM %,13%,11%,10%,8%,6%,15%,14%,11%,10%,10%,2%
Other Income +,4,2,3,20,3,3,2,3,9,22,23
Interest,2,2,1,2,1,3,3,9,10,11,11
Depreciation,9,7,8,7,8,10,11,14,16,21,30
Profit before tax,31,23,21,31,6,32,44,54,44,40,-8
Tax %,29%,11%,6%,21%,-19%,22%,30%,31%,24%,19%,-31%
Net Profit +,22,20,20,24,7,25,30,38,34,32,-5
EPS in Rs,7.03,6.40,6.27,7.64,2.32,7.70,9.43,11.16,9.67,9.21,-1.54
Dividend Payout %,32%,31%,32%,0%,65%,32%,32%,31%,36%,27%,0%

--- BALANCE SHEET ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,16,16,16,16,16,16,16,17,17,17,17
Reserves,140,210,217,230,216,262,313,367,434,445,424
Borrowings +,17,8,4,9,27,24,58,74,86,128,145
Other Liabilities +,74,68,100,87,110,97,181,177,179,196,181
Total Liabilities,248,303,337,343,369,399,569,635,716,787,767
Fixed Assets +,107,113,108,120,134,140,157,169,185,204,250
CWIP,0,1,0,1,7,1,0,7,24,50,9
Investments,16,63,57,51,42,85,55,43,72,80,40
Other Assets +,124,126,172,170,186,173,356,415,435,453,469
Total Assets,248,303,337,343,369,399,569,635,716,787,767

--- CASH FLOW ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,33,18,12,6,28,38,-62,-4,33,43,9
Cash from Investing Activity +,-17,-7,1,1,-39,-32,7,-29,-52,-64,-6
Cash from Financing Activity +,-14,-11,-13,-5,9,-5,53,34,23,17,-3
Net Cash Flow,2,1,-0,1,-1,1,-2,2,5,-4,-0
Free Cash Flow,-16,4,10,-15,-5,27,-85,-36,-14,-25,-29
CFO/OP,119%,81%,54%,42%,242%,96%,-104%,15%,72%,103%,106%

--- RATIOS ---
