--- ABOUT ---
"Jindal Steel & Power Ltd is one of the India's leading steel producers with significant presence in sectors like steel and mining. The group has global presence through subsidiaries, mainly in Australia, Botswana, Indonesia, Mauritius, Mozambique, Madagascar, Namibia, South Africa, Tanzania and Zambia. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,16,055","1,138","1,306 / 892",28.8

Book Value,Dividend Yield,ROCE,ROE
499,0.18,9.70,8.22

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"13,692","12,588","12,250","11,701","13,487","13,618","11,213","11,751","13,183","12,294","11,686","13,027","16,218"
Expenses +,"11,505","9,960","9,965","8,859","11,042","10,779","9,013","9,567","10,922","9,289","9,605","11,398","13,289"
Operating Profit,"2,187","2,628","2,285","2,843","2,444","2,839","2,200","2,184","2,262","3,006","2,081","1,629","2,929"
OPM %,16%,21%,19%,24%,18%,21%,20%,19%,17%,24%,18%,13%,18%
Other Income +,-138,55,32,35,35,34,35,26,"-1,158",30,22,-45,-550
Interest,371,329,329,315,321,332,326,313,342,297,371,406,442
Depreciation,873,588,604,636,995,683,696,698,691,722,750,839,862
Profit before tax,805,"1,767","1,384","1,927","1,164","1,859","1,213","1,199",72,"2,018",982,339,"1,074"
Tax %,42%,4%,-0%,-0%,20%,28%,29%,21%,523%,26%,35%,44%,3%
Net Profit +,466,"1,692","1,390","1,928",933,"1,338",860,951,-304,"1,496",635,189,"1,041"
EPS in Rs,4.53,16.54,13.60,18.90,9.17,13.14,8.44,9.32,-3.33,14.65,6.26,1.87,10.24
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"19,359","19,469","21,603","33,286","46,966","37,923","34,579","51,166","53,212","50,354","50,129","53,225"
Expenses +,"13,919","16,032","16,894","26,817","38,553","31,092","21,472","35,650","43,270","40,153","40,640","43,581"
Operating Profit,"5,440","3,437","4,709","6,469","8,412","6,831","13,107","15,515","9,942","10,202","9,488","9,644"
OPM %,28%,18%,22%,19%,18%,18%,38%,30%,19%,20%,19%,18%
Other Income +,"-1,644",-79,-362,-584,"-1,470",74,"-1,861","-1,840",-539,156,"-1,065",-543
Interest,"2,606","3,254","3,441","3,866","4,264","3,768","2,753","1,888","1,446","1,294","1,312","1,517"
Depreciation,"2,733","4,068","3,949","3,883","5,480","3,429","2,414","2,097","2,691","2,822","2,768","3,171"
Profit before tax,"-1,543","-3,964","-3,043","-1,864","-2,802",-291,"6,078","9,690","5,266","6,241","4,344","4,413"
Tax %,-6%,-22%,-17%,-13%,-14%,37%,30%,30%,25%,5%,34%,24%
Net Profit +,"-1,452","-3,087","-2,538","-1,616","-2,412",-400,"4,267","6,766","3,974","5,943","2,846","3,361"
EPS in Rs,-13.97,-32.42,-24.93,-14.56,-17.00,-1.07,35.62,56.40,31.11,58.21,27.57,33.01
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,5%,6%,3%,7%,6%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,91,91,92,97,97,102,102,101,100,100,101,102
Reserves,"20,951","32,345","29,959","30,288","31,988","32,035","31,713","35,524","38,606","44,216","47,084","50,797"
Borrowings +,"42,466","46,797","45,850","42,962","39,559","36,824","29,910","13,502","13,046","16,472","18,406","22,610"
Other Liabilities +,"12,028","13,166","14,674","15,884","17,357","20,780","16,116","27,517","17,674","17,888","20,175","24,253"
Total Liabilities,"75,537","92,398","90,575","89,230","89,001","89,742","77,840","76,644","69,427","78,676","85,766","97,762"
Fixed Assets +,"46,643","65,038","65,932","68,450","69,039","69,382","54,350","45,488","43,542","48,384","48,989","65,209"
CWIP,"9,068","11,827","9,716","4,978","4,027","3,126","1,712","2,538","7,870","9,611","16,725","7,265"
Investments,"1,785",392,368,146,150,181,"1,156",470,907,819,"2,201","3,168"
Other Assets +,"18,040","15,142","14,559","15,657","15,784","17,054","20,624","28,147","17,108","19,862","17,851","22,120"
Total Assets,"75,537","92,398","90,575","89,230","89,001","89,742","77,840","76,644","69,427","78,676","85,766","97,762"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,"1,182","4,333","6,850","7,724","9,027","8,814","11,961","16,048","7,347","6,008","10,824","7,204"
Cash from Investing Activity +,"-6,717","-2,262","-1,998","-1,431",-832,"-1,476","-1,884","-2,331","-4,090","-8,344","-12,323","-10,734"
Cash from Financing Activity +,"5,708","-2,672","-5,108","-6,276","-8,261","-7,016","-4,612","-15,120","-2,500","1,381",809,"2,803"
Net Cash Flow,173,-601,-256,17,-67,322,"5,465","-1,403",757,-955,-689,-727
Free Cash Flow,"-3,868",480,"4,496","6,103","7,837","7,308","11,124","13,176",945,"-2,418",334,"-2,343"
CFO/OP,28%,127%,144%,120%,107%,128%,91%,116%,101%,66%,130%,89%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,32,27,29,20,24,34,30,9,7,12,10,12
Inventory Days,323,181,185,191,146,207,196,130,87,117,87,115
Days Payable,137,129,150,162,117,181,133,94,69,78,88,126
Cash Conversion Cycle,218,79,64,50,53,60,92,45,24,52,8,1
Working Capital Days,87,-83,-141,-62,-58,-79,-65,-1,-38,-21,-35,3
ROCE %,5%,-1%,1%,3%,4%,5%,17%,24%,14%,13%,11%,10%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,61.21%,61.21%,61.21%,61.21%,61.19%,61.19%,61.19%,62.22%,62.36%,62.38%,62.71%,62.71%
FIIs +,12.71%,12.23%,11.75%,11.93%,12.64%,12.19%,10.99%,9.59%,9.76%,9.43%,9.02%,9.19%
DIIs +,14.74%,15.22%,15.33%,14.73%,15.34%,16.05%,17.26%,17.72%,18.09%,18.74%,19.10%,19.14%
Public +,9.86%,9.88%,9.99%,10.41%,10.01%,9.75%,9.75%,9.65%,9.54%,9.20%,8.93%,8.73%
Others +,1.48%,1.48%,1.73%,1.73%,0.81%,0.81%,0.81%,0.81%,0.25%,0.25%,0.25%,0.25%
No. of Shareholders,"2,30,774","2,38,054","2,50,732","2,59,991","2,80,533","2,87,902","2,98,258","3,05,285","3,02,190","2,90,386","2,82,086","2,71,333"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,11%
5 Years:,9%
3 Years:,0%
TTM:,6%

Compounded Profit Growth
10 Years:,13%
5 Years:,1%
3 Years:,1%
TTM:,15%

Stock Price CAGR
10 Years:,33%
5 Years:,24%
3 Years:,25%
1 Year:,27%

Return on Equity
10 Years:,6%
5 Years:,11%
3 Years:,10%
Last Year:,8%

